,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
48304,255,eGain,EGAN,7.55,7.95,7.55,7.95,0.45,6.00,"166,391",8.50,1.30,...,...,...,51.43,Thursday,Thursday,2018/03/29
48305,249,eGain,EGAN,8.4,8.75,8.4,8.7,0.30,3.57,"203,447",8.75,1.30,...,...,...,65.71,Wednesday,Wednesday,2018/04/11
48306,244,eGain,EGAN,8.85,9.13,8.62,9.0,0.30,3.45,"235,096",9.13,1.3,...,...,...,71.43,Thursday,Thursday,2018/04/12
48307,246,eGain,EGAN,8.6,9.25,8.6,9.2,0.60,6.98,"131,014",9.3,1.4,...,...,...,75.24,Tuesday,Tuesday,2018/04/17
48308,250,eGain,EGAN,9.3,9.5,8.95,9.1,-0.10,-1.09,"149,182",9.50,1.40,...,...,...,73.33,Wednesday,Wednesday,2018/04/18
48309,240,eGain,EGAN,9.1,9.25,8.9,9.0,-0.10,-1.10,"94,148",9.5,1.4,...,...,...,71.43,Thursday,Thursday,2018/04/19
48310,243,eGain,EGAN,8.95,9.0,8.71,8.95,-0.05,-0.56,"78,611",9.50,1.45,...,...,...,70.48,Friday,Friday,2018/04/20
48311,253,eGain,EGAN,9.15,9.15,8.55,8.6,-0.55,-6.01,"139,977",9.5,1.45,...,...,...,63.81,Tuesday,Tuesday,2018/04/24
48312,246,eGain,EGAN,8.55,8.85,8.3,8.55,-0.05,-0.58,"87,977",9.50,1.45,...,...,...,62.86,Wednesday,Wednesday,2018/04/25
48313,238,eGain,EGAN,8.9,8.9,8.4,8.5,-0.35,-3.95,"122,899",9.5,1.45,...,...,...,61.90,Friday,Friday,2018/04/27
48314,249,eGain,EGAN,8.45,8.8,8.3,8.65,0.15,1.76,"67,651",9.5,1.45,...,...,...,64.76,Monday,Monday,2018/04/30
48315,239,eGain,EGAN,8.65,8.9,8.6,8.9,0.25,2.89,"82,505",9.50,1.45,...,...,...,69.52,Tuesday,Tuesday,2018/05/01
48316,241,eGain,EGAN,8.75,9.1,8.5,9.0,0.20,2.27,"88,074",9.50,1.45,...,...,...,71.43,Thursday,Thursday,2018/05/03
48317,241,eGain,EGAN,9.0,9.1,8.8,8.9,-0.10,-1.11,"46,874",9.50,1.45,...,...,...,69.52,Friday,Friday,2018/05/04
48318,257,eGain,EGAN,9.00,9.25,8.9,9.15,0.25,2.81,"175,574",9.50,1.45,...,...,...,74.29,Monday,Monday,2018/05/07
48319,243,eGain,EGAN,9.3,10.7,9.28,10.55,1.40,15.30,"405,130",10.7,1.45,...,...,...,100.95,Tuesday,Tuesday,2018/05/08
48320,253,eGain,EGAN,10.5,10.5,9.4,9.9,-0.65,-6.16,"359,125",10.7,1.45,...,...,...,88.57,Wednesday,Wednesday,2018/05/09
