,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
54346,286,Fibrocell Science,FCSC,0.56,0.59,0.56,0.59,...,0.31,"152,986",4.64,0.51,...,...,...,-7.81,Thursday,Thursday,2018/03/29
54347,283,Fibrocell Science,FCSC,0.56,0.63,0.56,0.6,-0.02,-2.88,"160,842",4.64,0.51,...,...,...,-6.22,Wednesday,Wednesday,2018/04/11
54348,278,Fibrocell Science,FCSC,0.58,0.62,0.58,0.61,0.01,1.97,"131,370",4.64,0.51,...,...,...,-4.38,Thursday,Thursday,2018/04/12
54349,279,Fibrocell Science,FCSC,0.65,0.65,0.62,0.62,-0.02,-3.11,"108,569",4.64,0.51,...,...,...,-3.11,Tuesday,Tuesday,2018/04/17
54350,283,Fibrocell Science,FCSC,0.62,0.67,0.57,0.64,0.02,2.42,"1,198,169",4.64,0.51,...,...,...,-0.77,Wednesday,Wednesday,2018/04/18
54351,272,Fibrocell Science,FCSC,0.62,0.66,0.6,0.64,...,0.46,"145,998",4.64,0.51,...,...,...,-0.31,Thursday,Thursday,2018/04/19
54352,274,Fibrocell Science,FCSC,0.61,0.64,0.6,0.62,-0.02,-2.51,"147,808",4.64,0.51,...,...,...,-2.81,Friday,Friday,2018/04/20
54353,285,Fibrocell Science,FCSC,0.59,0.6,0.56,0.59,...,...,"142,996",4.64,0.51,...,...,...,-7.81,Tuesday,Tuesday,2018/04/24
54354,275,Fibrocell Science,FCSC,0.59,0.59,0.55,0.56,-0.03,-5.51,"159,393",4.64,0.51,...,...,...,-12.89,Wednesday,Wednesday,2018/04/25
54355,271,Fibrocell Science,FCSC,0.58,0.58,0.55,0.57,0.02,3.90,"128,928",4.64,0.51,...,...,...,-10.55,Friday,Friday,2018/04/27
54356,284,Fibrocell Science,FCSC,0.58,0.59,0.55,0.57,-0.00,-0.44,"86,149",4.64,0.51,...,...,...,-10.94,Monday,Monday,2018/04/30
54357,273,Fibrocell Science,FCSC,0.56,0.57,0.55,0.56,-0.01,-1.75,"49,161",4.64,0.51,...,...,...,-12.50,Tuesday,Tuesday,2018/05/01
54358,275,Fibrocell Science,FCSC,0.56,0.57,0.55,0.56,-0.00,-0.36,"78,683",4.64,0.51,...,...,...,-12.81,Thursday,Thursday,2018/05/03
54359,270,Fibrocell Science,FCSC,0.55,0.57,0.55,0.56,...,0.36,"48,331",4.64,0.51,...,...,...,-12.50,Friday,Friday,2018/05/04
54360,292,Fibrocell Science,FCSC,0.56,0.57,0.56,0.56,...,0.04,"35,919",4.64,0.51,...,...,...,-12.47,Monday,Monday,2018/05/07
54361,275,Fibrocell Science,FCSC,0.59,0.59,0.56,0.57,0.01,1.54,"107,175",4.64,0.51,...,...,...,-11.13,Tuesday,Tuesday,2018/05/08
54362,286,Fibrocell Science,FCSC,0.58,0.63,0.57,0.62,0.05,9.00,"431,494",4.64,0.51,...,...,...,-3.13,Wednesday,Wednesday,2018/05/09
54363,279,Fibrocell Science,FCSC,0.65,0.65,0.58,0.64,0.02,3.21,"475,773",4.64,0.51,...,...,...,-0.02,Thursday,Thursday,2018/05/10
54364,281,Fibrocell Science,FCSC,0.63,0.63,0.59,0.62,-0.02,-3.11,"224,277",4.64,0.51,...,...,...,-3.13,Friday,Friday,2018/05/11
54365,278,Fibrocell Science,FCSC,0.63,0.65,0.58,0.61,-0.01,-1.61,"142,503",4.64,0.51,...,...,...,-4.69,Monday,Monday,2018/05/14
54366,280,Fibrocell Science,FCSC,0.6,0.61,0.58,0.61,-0.00,-0.51,"90,509",4.64,0.51,...,...,...,-5.17,Tuesday,Tuesday,2018/05/15
54367,282,Fibrocell Science,FCSC,0.61,0.61,0.58,0.6,-0.01,-1.40,"178,479",4.64,0.51,...,...,...,-6.50,Wednesday,Wednesday,2018/05/16
54368,275,Fibrocell Science,FCSC,0.69,0.97,0.69,0.96,0.36,60.43,"9,970,731",4.64,0.51,...,...,...,50.00,Thursday,Thursday,2018/05/17
54369,276,Fibrocell Science,FCSC,0.88,0.9,0.77,0.8,-0.16,-16.67,"3,215,331",4.64,0.51,...,...,...,25.00,Friday,Friday,2018/05/18
54370,284,Fibrocell Science,FCSC,0.89,0.92,0.71,0.76,-0.04,-5.00,"3,924,917",4.64,0.51,...,...,...,18.75,Monday,Monday,2018/05/21
54371,286,Fibrocell Science,FCSC,0.75,0.75,0.65,0.7,-0.06,-7.34,"1,494,345",4.64,0.51,...,...,...,10.03,Tuesday,Tuesday,2018/05/22
54372,278,Fibrocell Science,FCSC,0.7,0.72,0.65,0.67,-0.03,-4.87,"483,937",4.64,0.51,...,...,...,4.67,Wednesday,Wednesday,2018/05/23
54373,285,Fibrocell Science,FCSC,0.7,0.7,0.63,0.63,-0.04,-5.81,"809,635",4.64,0.51,...,...,...,-1.41,Thursday,Thursday,2018/05/24
54374,273,Fibrocell Science,FCSC,3.18,5.17,2.72,2.87,-0.28,-9.03,"6,775,396",...,...,...,...,...,-10.31,Friday,Friday,2018/05/25
54375,281,Fibrocell Science,FCSC,2.77,2.81,2.39,2.54,-0.33,-11.50,"763,727",23.18,2.39,...,...,...,-20.63,Tuesday,Tuesday,2018/05/29
54376,283,Fibrocell Science,FCSC,2.59,2.59,2.45,2.57,0.03,1.18,"224,131",23.18,2.39,...,...,...,-19.69,Wednesday,Wednesday,2018/05/30
54377,281,Fibrocell Science,FCSC,2.58,2.59,2.4,2.56,-0.01,-0.39,"361,297",23.18,2.39,...,...,...,-20.00,Thursday,Thursday,2018/05/31
54378,281,Fibrocell Science,FCSC,2.55,2.55,2.21,2.40,-0.16,-6.25,"269,886",23.18,2.21,...,...,...,-25.00,Friday,Friday,2018/06/01
54379,278,Fibrocell Science,FCSC,2.45,2.48,2.28,2.34,-0.06,-2.50,"231,200",23.18,2.21,...,...,...,-26.88,Monday,Monday,2018/06/04
54380,279,Fibrocell Science,FCSC,2.38,2.41,2.21,2.30,-0.04,-1.71,"195,808",23.18,2.21,...,...,...,-28.13,Tuesday,Tuesday,2018/06/05
54381,283,Fibrocell Science,FCSC,2.28,2.48,2.27,2.35,0.05,2.17,"210,961",23.18,2.21,...,...,...,-26.56,Wednesday,Wednesday,2018/06/06
54382,283,Fibrocell Science,FCSC,2.37,2.58,2.35,2.5,0.15,6.38,"546,894",23.18,2.21,...,...,...,-21.88,Thursday,Thursday,2018/06/07
54383,282,Fibrocell Science,FCSC,2.5,2.66,2.37,2.55,0.05,2.00,"2,315,711",23.18,2.21,...,...,...,-20.31,Friday,Friday,2018/06/08
54384,278,Fibrocell Science,FCSC,2.57,2.62,2.45,2.56,0.01,0.39,"412,917",23.18,2.21,...,...,...,-20.00,Monday,Monday,2018/06/11
54385,278,Fibrocell Science,FCSC,2.56,2.61,2.37,2.4,-0.16,-6.25,"496,683",23.18,2.21,...,...,...,-25.00,Tuesday,Tuesday,2018/06/12
54386,277,Fibrocell Science,FCSC,2.41,2.58,2.3,2.38,-0.02,-0.83,"438,799",23.18,2.21,...,...,...,-25.63,Wednesday,Wednesday,2018/06/13
54387,283,Fibrocell Science,FCSC,2.37,2.5,2.35,2.45,0.07,2.94,"237,982",23.18,2.21,...,...,...,-23.44,Thursday,Thursday,2018/06/14
54388,269,Fibrocell Science,FCSC,2.42,2.48,2.35,2.36,-0.09,-3.67,"111,248",23.18,2.21,...,...,...,-26.25,Friday,Friday,2018/06/15
54389,275,Fibrocell Science,FCSC,2.35,2.45,2.32,2.35,-0.01,-0.42,"190,398",23.18,2.21,...,...,...,-26.56,Monday,Monday,2018/06/18
54390,272,Fibrocell Science,FCSC,2.35,2.45,2.3,2.36,0.01,0.43,"228,657",23.18,2.21,...,...,...,-26.25,Tuesday,Tuesday,2018/06/19
54391,275,Fibrocell Science,FCSC,2.42,2.58,2.42,2.48,0.12,5.08,"392,764",23.18,2.21,...,...,...,-22.50,Wednesday,Wednesday,2018/06/20
54392,280,Fibrocell Science,FCSC,2.5,3.45,2.46,3.31,0.83,33.47,"3,161,625",23.18,2.21,...,...,...,3.44,Thursday,Thursday,2018/06/21
54393,280,Fibrocell Science,FCSC,3.2,3.35,2.85,3.1,-0.21,-6.34,"2,495,149",23.18,2.21,...,...,...,-3.13,Friday,Friday,2018/06/22
54394,283,Fibrocell Science,FCSC,3.07,3.36,2.96,3.13,0.03,0.97,"984,758",23.18,2.21,...,...,...,-2.19,Monday,Monday,2018/06/25
54395,291,Fibrocell Science,FCSC,3.11,3.12,2.8,2.83,-0.30,-9.58,"715,671",23.18,2.21,...,...,...,-11.56,Tuesday,Tuesday,2018/06/26
54396,275,Fibrocell Science,FCSC,2.83,2.89,2.61,2.67,-0.16,-5.65,"427,344",23.18,2.21,...,...,...,-16.56,Wednesday,Wednesday,2018/06/27
54397,285,Fibrocell Science,FCSC,2.68,2.87,2.51,2.83,0.16,5.99,"305,829",22.85,2.21,...,...,...,-11.56,Thursday,Thursday,2018/06/28
54398,289,Fibrocell Science,FCSC,2.85,2.85,2.61,2.71,-0.13,-4.42,"200,921",20.85,2.21,...,...,...,-15.47,Friday,Friday,2018/06/29
54399,270,Fibrocell Science,FCSC,2.6,2.6,2.42,2.51,-0.20,-7.21,"541,662",20.85,2.21,...,...,...,-21.56,Monday,Monday,2018/07/02
54400,270,Fibrocell Science,FCSC,2.51,2.55,2.35,2.5,-0.01,-0.40,"227,636",20.55,2.21,...,...,...,-21.88,Tuesday,Tuesday,2018/07/03
54401,280,Fibrocell Science,FCSC,2.5,2.73,2.45,2.55,0.05,2.00,"290,933",20.55,2.21,...,...,...,-20.31,Thursday,Thursday,2018/07/05
54402,286,Fibrocell Science,FCSC,2.53,2.64,2.47,2.51,-0.04,-1.57,"346,654",20.3,2.21,...,...,...,-21.56,Friday,Friday,2018/07/06
54403,277,Fibrocell Science,FCSC,2.53,2.61,2.48,2.51,...,...,"405,013",20.3,2.21,...,...,...,-21.56,Monday,Monday,2018/07/09
54404,282,Fibrocell Science,FCSC,2.5,2.63,2.49,2.5,-0.01,-0.40,"347,827",20.3,2.21,...,...,...,-21.88,Tuesday,Tuesday,2018/07/10
54405,280,Fibrocell Science,FCSC,2.47,2.52,2.41,2.43,-0.07,-2.80,"291,840",20.3,2.21,...,...,...,-24.06,Wednesday,Wednesday,2018/07/11
54406,284,Fibrocell Science,FCSC,2.43,2.56,2.39,2.51,0.08,3.29,"415,741",20.3,2.21,...,...,...,-21.56,Thursday,Thursday,2018/07/12
