,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
61484,341,Genocea Biosciences,GNCA,0.55,0.56,0.49,0.49,-0.06,-11.10,"636,197",1.39,0.49,...,...,...,-57.75,Monday,Monday,2018/12/17
61485,333,Genocea Biosciences,GNCA,0.50,0.50,0.44,0.45,-0.04,-7.84,"388,142",1.39,0.44,...,...,...,-61.06,Tuesday,Tuesday,2018/12/18
61486,334,Genocea Biosciences,GNCA,0.46,0.5,0.40,0.41,-0.04,-9.85,"286,139",1.39,0.40,...,...,...,-64.90,Wednesday,Wednesday,2018/12/19
61487,348,Genocea Biosciences,GNCA,0.40,0.41,0.37,0.38,-0.03,-7.86,"442,829",1.39,0.37,...,...,...,-67.66,Thursday,Thursday,2018/12/20
61488,339,Genocea Biosciences,GNCA,0.37,0.45,0.37,0.38,...,1.31,"320,576",1.39,0.37,...,...,...,-67.23,Friday,Friday,2018/12/21
61489,328,Genocea Biosciences,GNCA,0.38,0.41,0.36,0.36,-0.02,-5.26,"311,388",1.39,0.36,...,...,...,-68.96,Monday,Monday,2018/12/24
61490,339,Genocea Biosciences,GNCA,0.35,0.41,0.35,0.35,-0.01,-2.80,"387,561",1.39,0.35,...,...,...,-69.83,Wednesday,Wednesday,2018/12/26
61491,330,Genocea Biosciences,GNCA,0.35,0.35,0.28,0.29,-0.06,-16.03,"882,701",1.3,0.28,...,...,...,-74.66,Thursday,Thursday,2018/12/27
61492,333,Genocea Biosciences,GNCA,0.29,0.33,0.29,0.31,0.02,5.48,"747,269",1.26,0.28,...,...,...,-73.28,Friday,Friday,2018/12/28
61493,346,Genocea Biosciences,GNCA,0.3,0.32,0.28,0.29,-0.02,-7.48,"791,545",1.26,0.28,...,...,...,-75.28,Monday,Monday,2018/12/31
61494,326,Genocea Biosciences,GNCA,0.37,0.43,0.31,0.42,0.13,46.44,"1,599,359",1.26,0.28,...,...,...,46.44,Wednesday,Wednesday,2019/01/02
61495,326,Genocea Biosciences,GNCA,0.45,0.45,0.39,0.41,-0.01,-2.38,"183,255",1.25,0.28,...,...,...,42.96,Thursday,Thursday,2019/01/03
61496,332,Genocea Biosciences,GNCA,0.41,0.49,0.38,0.47,0.06,14.63,"361,286",1.25,0.28,...,...,...,63.88,Friday,Friday,2019/01/04
61497,331,Genocea Biosciences,GNCA,0.48,0.57,0.46,0.54,0.07,14.68,"525,418",1.25,0.28,...,...,...,87.94,Monday,Monday,2019/01/07
61498,331,Genocea Biosciences,GNCA,0.54,0.6,0.53,0.58,0.04,6.96,"352,000",1.25,0.28,...,...,...,101.01,Tuesday,Tuesday,2019/01/08
61499,337,Genocea Biosciences,GNCA,0.58,0.58,0.52,0.58,-0.00,-0.26,"304,647",1.25,0.28,...,...,...,100.49,Wednesday,Wednesday,2019/01/09
61500,327,Genocea Biosciences,GNCA,0.58,0.58,0.55,0.57,-0.01,-0.94,"44,372",1.25,0.28,...,...,...,98.61,Thursday,Thursday,2019/01/10
61501,324,Genocea Biosciences,GNCA,0.58,0.58,0.56,0.56,-0.01,-2.04,"184,703",1.25,0.28,...,...,...,94.56,Friday,Friday,2019/01/11
61502,322,Genocea Biosciences,GNCA,0.55,0.66,0.55,0.6,0.05,8.42,"689,631",1.25,0.28,...,...,...,110.95,Monday,Monday,2019/01/14
61503,330,Genocea Biosciences,GNCA,0.61,0.64,0.58,0.63,0.02,3.97,"159,115",1.25,0.28,...,...,...,119.32,Tuesday,Tuesday,2019/01/15
61504,333,Genocea Biosciences,GNCA,0.63,0.64,0.58,0.61,-0.02,-3.50,"141,347",1.25,0.28,...,...,...,111.65,Wednesday,Wednesday,2019/01/16
61505,329,Genocea Biosciences,GNCA,0.59,0.62,0.58,0.58,-0.02,-3.62,"71,678",1.25,0.28,...,...,...,103.97,Thursday,Thursday,2019/01/17
61506,329,Genocea Biosciences,GNCA,0.59,0.61,0.59,0.59,0.01,0.85,"43,146",1.25,0.28,...,...,...,105.72,Friday,Friday,2019/01/18
61507,328,Genocea Biosciences,GNCA,0.58,0.59,0.56,0.56,-0.03,-4.34,"104,422",1.25,0.28,...,...,...,96.79,Tuesday,Tuesday,2019/01/22
61508,325,Genocea Biosciences,GNCA,0.56,0.58,0.55,0.58,0.02,2.75,"74,050",1.25,0.28,...,...,...,102.20,Wednesday,Wednesday,2019/01/23
61509,322,Genocea Biosciences,GNCA,0.58,0.58,0.56,0.57,-0.01,-1.02,"56,688",1.25,0.28,...,...,...,100.14,Thursday,Thursday,2019/01/24
61510,323,Genocea Biosciences,GNCA,0.57,0.58,0.56,0.56,-0.01,-1.81,"65,356",1.25,0.28,...,...,...,96.51,Friday,Friday,2019/01/25
