,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
64872,347,HL Acquisitions,HCCHU,10.05,10.09,10.05,10.07,0.07,0.70,"715,040",10.09,10.00,...,...,...,...,Thursday,Thursday,2018/06/28
64873,351,HL Acquisitions,HCCHU,10.05,10.06,10.05,10.06,-0.01,-0.10,"60,461",10.09,10.05,...,...,...,...,Friday,Friday,2018/06/29
64874,325,HL Acquisitions,HCCHU,10.05,10.06,10.05,10.06,...,...,"51,006",10.09,10.05,...,...,...,...,Monday,Monday,2018/07/02
64875,324,HL Acquisitions,HCCHU,10.06,10.06,10.06,10.06,...,...,100,10.09,10.05,...,...,...,...,Tuesday,Tuesday,2018/07/03
64876,336,HL Acquisitions,HCCHU,10.05,10.06,10.05,10.06,...,...,"20,000",10.09,10.05,...,...,...,...,Thursday,Thursday,2018/07/05
64877,348,HL Acquisitions,HCCHU,10.06,10.08,10.06,10.08,0.02,0.20,900,10.09,10.05,...,...,...,...,Friday,Friday,2018/07/06
64878,341,HL Acquisitions,HCCHU,10.06,10.07,10.06,10.06,-0.02,-0.20,"65,096",10.09,10.05,...,...,...,...,Monday,Monday,2018/07/09
64879,346,HL Acquisitions,HCCHU,10.07,10.07,10.07,10.07,0.01,0.09,"2,000",10.09,10.05,...,...,...,...,Tuesday,Tuesday,2018/07/10
64880,339,HL Acquisitions,HCCHU,10.07,10.07,10.06,10.06,-0.01,-0.09,"22,500",10.09,10.05,...,...,...,...,Wednesday,Wednesday,2018/07/11
64881,346,HL Acquisitions,HCCHU,10.06,10.07,10.06,10.07,0.01,0.10,"22,300",10.09,10.05,...,...,...,...,Thursday,Thursday,2018/07/12
64882,338,HL Acquisitions,HCCHU,10.08,10.1,10.08,10.1,0.03,0.30,"35,109",10.10,10.05,...,...,...,...,Friday,Friday,2018/07/13
64883,337,HL Acquisitions,HCCHU,10.11,10.18,10.11,10.18,0.08,0.79,"88,936",10.18,10.05,...,...,...,...,Monday,Monday,2018/07/16
64884,347,HL Acquisitions,HCCHU,10.18,10.2,10.16,10.2,0.02,0.20,"43,500",10.20,10.05,...,...,...,...,Tuesday,Tuesday,2018/07/17
64885,347,HL Acquisitions,HCCHU,10.2,10.28,10.2,10.27,0.07,0.69,"530,300",10.28,10.05,...,...,...,...,Wednesday,Wednesday,2018/07/18
64886,351,HL Acquisitions,HCCHU,10.25,10.3,10.25,10.3,0.03,0.29,"159,696",10.30,10.05,...,...,...,...,Thursday,Thursday,2018/07/19
64887,344,HL Acquisitions,HCCHU,10.25,10.25,10.25,10.25,-0.05,-0.49,"150,000",10.30,10.05,...,...,...,...,Thursday,Thursday,2018/07/26
64888,339,HL Acquisitions,HCCHU,10.20,10.20,10.20,10.2,-0.05,-0.49,"7,900",10.30,10.05,...,...,...,...,Friday,Friday,2018/07/27
64889,335,HL Acquisitions,HCCHU,10.25,10.3,10.25,10.3,0.10,0.98,"17,600",10.3,10.05,...,...,...,...,Monday,Monday,2018/07/30
64890,351,HL Acquisitions,HCCHU,10.33,10.42,10.33,10.42,0.12,1.15,"14,600",10.42,10.05,...,...,...,...,Tuesday,Tuesday,2018/07/31
