,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
77473,388,Kayne Anderson Acquisition Un,KAACU,10.0,10.1,10.0,10.1,0.04,0.39,600,10.17,9.85,...,...,...,1.40,Wednesday,Wednesday,2018/04/11
77474,386,Kayne Anderson Acquisition Un,KAACU,10.0,10.05,10.0,10.05,-0.05,-0.49,"5,100",10.15,9.85,...,...,...,0.90,Thursday,Thursday,2018/04/12
77475,394,Kayne Anderson Acquisition Un,KAACU,10.11,10.19,10.11,10.19,0.14,1.39,"12,900",10.19,9.85,...,...,...,2.31,Wednesday,Wednesday,2018/04/18
77476,376,Kayne Anderson Acquisition Un,KAACU,10.16,10.18,10.14,10.18,-0.01,-0.10,"1,495",10.19,9.85,...,...,...,2.21,Thursday,Thursday,2018/04/19
77477,381,Kayne Anderson Acquisition Un,KAACU,10.19,10.23,10.19,10.2,0.02,0.20,"13,600",10.23,9.85,...,...,...,2.41,Friday,Friday,2018/04/20
77478,377,Kayne Anderson Acquisition Un,KAACU,10.1,10.25,10.08,10.1,-0.14,-1.38,"4,900",10.25,9.85,...,...,...,1.40,Friday,Friday,2018/04/27
77479,394,Kayne Anderson Acquisition Un,KAACU,10.08,10.08,10.06,10.06,-0.04,-0.39,"10,100",10.25,9.85,...,...,...,1.00,Monday,Monday,2018/04/30
77480,380,Kayne Anderson Acquisition Un,KAACU,10.24,10.24,10.1,10.1,0.04,0.40,"2,100",10.25,9.85,...,...,...,1.41,Tuesday,Tuesday,2018/05/01
77481,385,Kayne Anderson Acquisition Un,KAACU,10.11,10.11,10.11,10.11,-0.01,-0.10,100,10.25,9.85,...,...,...,1.51,Thursday,Thursday,2018/05/03
77482,382,Kayne Anderson Acquisition Un,KAACU,10.07,10.08,10.05,10.08,-0.03,-0.30,"4,980",10.25,9.85,...,...,...,1.21,Friday,Friday,2018/05/04
77483,405,Kayne Anderson Acquisition Un,KAACU,10.17,10.17,10.17,10.17,0.09,0.89,100,10.25,9.85,...,...,...,2.11,Monday,Monday,2018/05/07
77484,403,Kayne Anderson Acquisition Un,KAACU,10.12,10.25,10.12,10.25,0.08,0.79,"5,090",10.25,9.85,...,...,...,2.91,Wednesday,Wednesday,2018/05/09
77485,393,Kayne Anderson Acquisition Un,KAACU,10.28,11.18,10.28,10.3,0.05,0.49,"3,100",11.18,9.85,...,...,...,3.41,Friday,Friday,2018/05/11
77486,392,Kayne Anderson Acquisition Un,KAACU,10.15,10.29,10.04,10.27,-0.03,-0.29,"26,100",11.18,9.85,...,...,...,3.11,Wednesday,Wednesday,2018/05/16
77487,396,Kayne Anderson Acquisition Un,KAACU,10.14,10.3,10.12,10.3,0.03,0.29,"2,552",11.18,9.85,...,...,...,3.41,Wednesday,Wednesday,2018/05/23
77488,395,Kayne Anderson Acquisition Un,KAACU,10.15,10.3,10.15,10.3,...,...,800,11.18,9.85,...,...,...,3.41,Thursday,Thursday,2018/05/24
77489,399,Kayne Anderson Acquisition Un,KAACU,10.12,10.35,10.12,10.35,0.05,0.49,"8,825",11.18,9.85,...,...,...,3.92,Thursday,Thursday,2018/05/31
77490,401,Kayne Anderson Acquisition Un,KAACU,10.25,10.25,10.22,10.22,-0.13,-1.28,"9,700",11.18,9.85,...,...,...,2.59,Thursday,Thursday,2018/06/14
77491,384,Kayne Anderson Acquisition Un,KAACU,10.24,10.35,10.24,10.35,0.13,1.29,"9,000",11.18,9.85,...,...,...,3.92,Friday,Friday,2018/06/15
77492,390,Kayne Anderson Acquisition Un,KAACU,10.34,10.35,10.34,10.35,...,...,"2,500",11.18,9.85,...,...,...,3.92,Wednesday,Wednesday,2018/06/20
77493,406,Kayne Anderson Acquisition Un,KAACU,10.2,10.42,10.2,10.42,0.07,0.68,"15,700",11.18,9.85,...,...,...,4.62,Tuesday,Tuesday,2018/06/26
77494,386,Kayne Anderson Acquisition Un,KAACU,10.28,10.28,10.28,10.28,-0.14,-1.34,200,11.18,9.85,...,...,...,3.21,Wednesday,Wednesday,2018/06/27
77495,402,Kayne Anderson Acquisition Un,KAACU,10.39,10.4,10.3,10.3,0.02,0.19,"6,500",11.18,9.85,...,...,...,3.41,Thursday,Thursday,2018/06/28
77496,405,Kayne Anderson Acquisition Un,KAACU,10.35,10.4,10.35,10.4,0.10,0.97,600,11.18,9.85,...,...,...,4.42,Friday,Friday,2018/06/29
77497,372,Kayne Anderson Acquisition Un,KAACU,10.42,10.42,10.42,10.42,0.02,0.19,101,11.18,9.85,...,...,...,4.62,Tuesday,Tuesday,2018/07/03
77498,402,Kayne Anderson Acquisition Un,KAACU,10.24,10.27,10.24,10.27,-0.15,-1.44,"6,925",11.18,9.85,...,...,...,3.11,Wednesday,Wednesday,2018/07/18
77499,406,Kayne Anderson Acquisition Un,KAACU,10.42,10.42,10.42,10.42,0.15,1.46,500,11.18,9.85,...,...,...,4.62,Thursday,Thursday,2018/07/19
77500,395,Kayne Anderson Acquisition Un,KAACU,10.34,10.34,10.34,10.34,-0.08,-0.80,"1,000",11.18,9.85,...,...,...,3.78,Friday,Friday,2018/07/27
77501,407,Kayne Anderson Acquisition Un,KAACU,10.45,10.45,10.44,10.44,0.10,1.00,"4,175",11.18,9.85,...,...,233.56,4.82,Tuesday,Tuesday,2018/07/31
77502,410,Kayne Anderson Acquisition Un,KAACU,10.44,10.44,10.44,10.44,...,...,"5,000",11.18,9.85,...,...,233.56,4.82,Thursday,Thursday,2018/08/02
77503,401,Kayne Anderson Acquisition Un,KAACU,10.45,10.45,10.40,10.40,-0.04,-0.38,"8,002",11.18,9.85,...,...,232.66,4.42,Tuesday,Tuesday,2018/08/07
77504,396,Kayne Anderson Acquisition Un,KAACU,10.45,10.45,10.45,10.45,0.05,0.51,"2,250",11.18,9.85,...,...,233.85,4.95,Wednesday,Wednesday,2018/08/08
77505,399,Kayne Anderson Acquisition Un,KAACU,10.75,10.85,10.74,10.85,0.40,3.80,"901,161",11.18,9.85,...,...,242.73,8.94,Thursday,Thursday,2018/08/09
77506,402,Kayne Anderson Acquisition Un,KAACU,10.75,10.85,10.75,10.85,...,...,"1,518",11.18,9.85,...,...,242.73,8.94,Friday,Friday,2018/08/10
77507,413,Kayne Anderson Acquisition Un,KAACU,10.88,10.9,10.75,10.75,-0.10,-0.92,"11,135",11.18,9.85,...,...,240.49,7.93,Monday,Monday,2018/08/13
77508,408,Kayne Anderson Acquisition Un,KAACU,10.80,10.85,10.80,10.85,0.10,0.93,"253,535",11.18,9.85,...,...,242.73,8.94,Tuesday,Tuesday,2018/08/14
77509,415,Kayne Anderson Acquisition Un,KAACU,10.80,10.90,10.80,10.90,0.05,0.46,"250,100",11.18,9.85,...,...,243.85,9.44,Wednesday,Wednesday,2018/08/15
77510,416,Kayne Anderson Acquisition Un,KAACU,10.9,10.9,10.9,10.9,...,...,"1,500",11.18,9.85,...,...,243.85,9.44,Monday,Monday,2018/08/20
77511,411,Kayne Anderson Acquisition Un,KAACU,10.60,10.90,10.60,10.90,...,...,500,11.18,9.85,...,...,243.85,9.44,Friday,Friday,2018/08/24
77512,410,Kayne Anderson Acquisition Un,KAACU,10.83,10.83,10.80,10.80,-0.10,-0.92,"3,851",11.18,9.85,...,...,241.61,8.43,Monday,Monday,2018/08/27
77513,401,Kayne Anderson Acquisition Un,KAACU,10.74,10.85,10.74,10.85,0.05,0.46,"1,200",11.18,9.85,...,...,242.73,8.94,Tuesday,Tuesday,2018/08/28
77514,403,Kayne Anderson Acquisition Un,KAACU,10.80,10.80,10.80,10.80,-0.05,-0.46,900,11.18,9.85,...,...,241.61,8.43,Wednesday,Wednesday,2018/08/29
77515,420,Kayne Anderson Acquisition Un,KAACU,10.72,10.72,10.66,10.66,-0.14,-1.30,"3,750",11.18,9.85,...,...,238.48,7.03,Friday,Friday,2018/08/31
77516,411,Kayne Anderson Acquisition Un,KAACU,10.73,10.81,10.73,10.75,0.09,0.84,"531,952",11.18,9.85,...,...,240.49,7.93,Tuesday,Tuesday,2018/09/04
77517,422,Kayne Anderson Acquisition Un,KAACU,10.60,10.60,10.60,10.60,-0.15,-1.40,500,11.18,9.85,...,...,237.14,6.43,Friday,Friday,2018/09/14
77518,425,Kayne Anderson Acquisition Un,KAACU,10.70,10.70,10.60,10.60,...,...,"12,200",11.18,9.85,...,...,237.14,6.43,Monday,Monday,2018/09/17
77519,426,Kayne Anderson Acquisition Un,KAACU,10.72,10.72,10.72,10.72,0.12,1.17,200,11.18,9.85,...,...,239.91,7.67,Tuesday,Tuesday,2018/09/18
77520,414,Kayne Anderson Acquisition Un,KAACU,10.54,10.54,10.54,10.54,-0.18,-1.72,400,11.18,9.85,...,...,235.79,5.82,Wednesday,Wednesday,2018/09/19
77521,426,Kayne Anderson Acquisition Un,KAACU,10.6,10.6,10.60,10.60,0.06,0.58,250,11.18,9.85,...,...,237.15,6.43,Friday,Friday,2018/09/21
77522,414,Kayne Anderson Acquisition Un,KAACU,10.8,10.8,10.68,10.8,0.20,1.88,"5,000",11.18,9.85,...,...,241.61,8.43,Thursday,Thursday,2018/09/27
77523,420,Kayne Anderson Acquisition Un,KAACU,10.55,10.55,10.53,10.53,-0.27,-2.50,"2,000",11.18,9.85,...,...,235.58,5.73,Thursday,Thursday,2018/10/11
77524,418,Kayne Anderson Acquisition Un,KAACU,10.55,10.55,10.55,10.55,0.02,0.19,"1,100",11.18,9.85,...,...,236.02,5.92,Friday,Friday,2018/10/12
77525,415,Kayne Anderson Acquisition Un,KAACU,10.52,10.52,10.52,10.52,-0.03,-0.28,100,11.18,9.85,...,...,235.35,5.62,Monday,Monday,2018/10/15
