,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
79329,409,Krystal Biotech,KRYS,9.81,10.15,9.81,10.09,0.22,2.23,"5,069",12.00,8.03,...,...,...,-4.09,Thursday,Thursday,2018/03/29
79330,401,Krystal Biotech,KRYS,10.17,10.17,9.88,9.97,-0.09,-0.89,"6,731",12.00,8.03,...,...,...,-5.23,Wednesday,Wednesday,2018/04/11
79331,401,Krystal Biotech,KRYS,10.1,10.1,9.78,9.84,-0.13,-1.30,"18,078",12.0,8.03,...,...,...,-6.46,Thursday,Thursday,2018/04/12
79332,401,Krystal Biotech,KRYS,10.15,10.25,10.0,10.03,0.03,0.30,"22,212",12.0,8.03,...,...,...,-4.66,Tuesday,Tuesday,2018/04/17
79333,407,Krystal Biotech,KRYS,10.93,11.01,10.07,10.08,0.05,0.50,"5,647",12.00,8.03,...,...,...,-4.18,Wednesday,Wednesday,2018/04/18
79334,390,Krystal Biotech,KRYS,11.01,11.04,10.41,10.41,0.33,3.27,"2,370",12.0,8.03,...,...,...,-1.05,Thursday,Thursday,2018/04/19
79335,395,Krystal Biotech,KRYS,10.32,10.49,10.0,10.1,-0.31,-2.98,"8,193",12.00,8.03,...,...,...,-3.99,Friday,Friday,2018/04/20
79336,401,Krystal Biotech,KRYS,9.26,9.3,8.91,9.1,0.11,1.22,"15,934",12.0,8.03,...,...,...,-13.50,Tuesday,Tuesday,2018/04/24
79337,395,Krystal Biotech,KRYS,9.04,9.35,9.0,9.2,0.10,1.10,"4,211",12.00,8.03,...,...,...,-12.55,Wednesday,Wednesday,2018/04/25
79338,391,Krystal Biotech,KRYS,9.94,10.39,9.63,9.72,0.12,1.25,"18,469",12.0,8.03,...,...,...,-7.60,Friday,Friday,2018/04/27
79339,408,Krystal Biotech,KRYS,9.8,10.0,9.61,9.61,-0.11,-1.13,"3,072",12.0,8.03,...,...,...,-8.65,Monday,Monday,2018/04/30
