,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
102215,509,Oasmia Pharmaceutical ADR,OASM,1.37,1.51,1.37,1.49,0.12,8.80,"16,405",3.16,0.80,...,...,...,69.38,Wednesday,Wednesday,2018/04/11
102216,505,Oasmia Pharmaceutical ADR,OASM,1.51,1.53,1.5,1.53,0.04,2.54,"9,894",3.16,0.8,...,...,...,73.67,Thursday,Thursday,2018/04/12
102217,513,Oasmia Pharmaceutical ADR,OASM,1.66,1.69,1.58,1.68,0.12,7.89,"13,630",3.16,0.8,...,...,...,91.01,Tuesday,Tuesday,2018/04/17
102218,518,Oasmia Pharmaceutical ADR,OASM,1.69,1.73,1.62,1.62,-0.06,-3.59,"10,056",3.16,0.80,...,...,...,84.15,Wednesday,Wednesday,2018/04/18
102219,501,Oasmia Pharmaceutical ADR,OASM,1.68,1.68,1.68,1.68,0.06,3.55,"6,002",3.16,0.8,...,...,...,90.68,Thursday,Thursday,2018/04/19
102220,505,Oasmia Pharmaceutical ADR,OASM,1.74,1.85,1.71,1.8,0.12,7.21,"15,882",3.16,0.80,...,...,...,104.43,Friday,Friday,2018/04/20
102221,510,Oasmia Pharmaceutical ADR,OASM,1.82,1.82,1.6,1.68,-0.23,-12.09,"33,049",3.16,0.8,...,...,...,90.80,Tuesday,Tuesday,2018/04/24
102222,506,Oasmia Pharmaceutical ADR,OASM,1.68,1.79,1.68,1.78,0.10,6.02,"8,128",3.16,0.80,...,...,...,102.27,Wednesday,Wednesday,2018/04/25
102223,497,Oasmia Pharmaceutical ADR,OASM,1.75,1.89,1.6,1.6,-0.10,-5.88,"8,465",3.16,0.8,...,...,...,81.82,Friday,Friday,2018/04/27
102224,522,Oasmia Pharmaceutical ADR,OASM,1.6,1.64,1.6,1.63,0.03,1.87,"1,793",3.16,0.8,...,...,...,85.23,Monday,Monday,2018/04/30
102225,493,Oasmia Pharmaceutical ADR,OASM,1.7,1.7,1.63,1.64,0.01,0.61,"4,500",3.16,0.80,...,...,...,86.36,Tuesday,Tuesday,2018/05/01
102226,510,Oasmia Pharmaceutical ADR,OASM,1.62,1.63,1.55,1.61,-0.04,-2.71,"7,049",3.16,0.80,...,...,...,82.95,Thursday,Thursday,2018/05/03
102227,505,Oasmia Pharmaceutical ADR,OASM,1.7,1.7,1.51,1.58,-0.03,-1.86,"13,899",3.16,0.80,...,...,...,79.55,Friday,Friday,2018/05/04
102228,528,Oasmia Pharmaceutical ADR,OASM,1.66,1.66,1.66,1.66,0.08,4.93,125,3.16,0.80,...,...,...,88.40,Monday,Monday,2018/05/07
102229,503,Oasmia Pharmaceutical ADR,OASM,1.62,1.62,1.47,1.55,-0.11,-6.51,"9,172",3.16,0.8,...,...,...,76.14,Tuesday,Tuesday,2018/05/08
102230,525,Oasmia Pharmaceutical ADR,OASM,1.49,1.52,1.46,1.48,-0.07,-4.52,"7,297",3.16,0.8,...,...,...,68.18,Wednesday,Wednesday,2018/05/09
102231,517,Oasmia Pharmaceutical ADR,OASM,1.44,1.47,1.37,1.38,-0.10,-6.76,"2,775",3.16,0.80,...,...,...,56.82,Thursday,Thursday,2018/05/10
102232,515,Oasmia Pharmaceutical ADR,OASM,1.33,1.4,1.28,1.28,-0.10,-7.25,"14,247",3.16,0.80,...,...,...,45.45,Friday,Friday,2018/05/11
102233,512,Oasmia Pharmaceutical ADR,OASM,1.3,1.47,1.3,1.31,0.03,2.34,"4,853",3.16,0.80,...,...,...,48.86,Monday,Monday,2018/05/14
102234,513,Oasmia Pharmaceutical ADR,OASM,1.31,1.4,1.29,1.38,0.07,5.35,"8,203",3.16,0.80,...,...,...,56.83,Tuesday,Tuesday,2018/05/15
102235,510,Oasmia Pharmaceutical ADR,OASM,1.34,1.38,1.34,1.38,-0.00,-0.01,778,3.16,0.80,...,...,...,56.82,Wednesday,Wednesday,2018/05/16
102236,499,Oasmia Pharmaceutical ADR,OASM,1.45,1.47,1.4,1.47,0.09,6.52,"27,485",3.16,0.80,...,...,...,67.05,Thursday,Thursday,2018/05/17
102237,503,Oasmia Pharmaceutical ADR,OASM,1.47,1.5,1.44,1.44,-0.03,-2.03,"4,253",3.16,0.80,...,...,...,63.65,Friday,Friday,2018/05/18
102238,515,Oasmia Pharmaceutical ADR,OASM,1.38,1.38,1.33,1.33,-0.11,-7.65,"6,350",3.16,0.80,...,...,...,51.14,Monday,Monday,2018/05/21
102239,511,Oasmia Pharmaceutical ADR,OASM,1.3,1.3,1.29,1.3,-0.03,-2.02,"7,236",3.16,0.80,...,...,...,48.08,Tuesday,Tuesday,2018/05/22
102240,517,Oasmia Pharmaceutical ADR,OASM,1.34,1.34,1.29,1.29,-0.01,-0.65,"3,319",3.16,0.80,...,...,...,47.11,Wednesday,Wednesday,2018/05/23
102241,518,Oasmia Pharmaceutical ADR,OASM,1.29,1.35,1.29,1.31,0.02,1.24,"11,090",3.16,0.80,...,...,...,48.93,Thursday,Thursday,2018/05/24
102242,501,Oasmia Pharmaceutical ADR,OASM,1.34,1.34,1.34,1.34,0.03,2.24,181,3.16,0.80,...,...,...,52.26,Friday,Friday,2018/05/25
102243,518,Oasmia Pharmaceutical ADR,OASM,1.28,1.33,1.21,1.23,-0.11,-8.50,"27,859",3.16,0.80,...,...,...,39.32,Wednesday,Wednesday,2018/05/30
102244,522,Oasmia Pharmaceutical ADR,OASM,1.23,1.3,1.23,1.3,0.07,6.04,"14,326",3.16,0.80,...,...,...,47.73,Thursday,Thursday,2018/05/31
102245,517,Oasmia Pharmaceutical ADR,OASM,1.31,1.34,1.31,1.34,0.04,3.08,"4,969",3.16,0.80,...,...,...,52.27,Friday,Friday,2018/06/01
102246,510,Oasmia Pharmaceutical ADR,OASM,1.34,1.47,1.31,1.31,-0.03,-2.23,"3,064",3.16,0.80,...,...,...,48.88,Tuesday,Tuesday,2018/06/05
102247,520,Oasmia Pharmaceutical ADR,OASM,1.38,1.4,1.30,1.40,0.09,6.86,"13,731",3.16,0.80,...,...,...,59.09,Wednesday,Wednesday,2018/06/06
102248,511,Oasmia Pharmaceutical ADR,OASM,1.36,1.36,1.36,1.36,-0.04,-2.85,633,3.16,0.8,...,...,...,54.56,Thursday,Thursday,2018/06/07
102249,508,Oasmia Pharmaceutical ADR,OASM,1.4,1.49,1.4,1.46,0.10,7.18,"3,702",3.16,0.8,...,...,...,65.66,Friday,Friday,2018/06/08
102250,509,Oasmia Pharmaceutical ADR,OASM,1.49,1.49,1.33,1.49,0.03,2.21,"1,021",3.16,0.80,...,...,...,69.32,Monday,Monday,2018/06/11
102251,515,Oasmia Pharmaceutical ADR,OASM,1.41,1.41,1.4,1.4,-0.09,-6.04,886,3.16,0.8,...,...,...,59.09,Tuesday,Tuesday,2018/06/12
102252,519,Oasmia Pharmaceutical ADR,OASM,1.33,1.33,1.3,1.31,-0.09,-6.77,"10,241",3.16,0.8,...,...,...,48.32,Wednesday,Wednesday,2018/06/13
102253,522,Oasmia Pharmaceutical ADR,OASM,1.28,1.36,1.27,1.36,0.05,3.82,900,3.16,0.8,...,...,...,53.99,Thursday,Thursday,2018/06/14
102254,498,Oasmia Pharmaceutical ADR,OASM,1.35,1.35,1.29,1.3,-0.05,-4.06,"2,950",3.16,0.8,...,...,...,47.74,Friday,Friday,2018/06/15
102255,507,Oasmia Pharmaceutical ADR,OASM,1.25,1.36,1.25,1.34,0.04,3.07,"2,400",3.16,0.8,...,...,...,52.27,Monday,Monday,2018/06/18
102256,507,Oasmia Pharmaceutical ADR,OASM,1.35,1.36,1.33,1.33,-0.01,-0.75,"7,175",3.16,0.80,...,...,...,51.13,Tuesday,Tuesday,2018/06/19
102257,516,Oasmia Pharmaceutical ADR,OASM,1.35,1.48,1.35,1.44,0.11,8.46,"5,490",3.16,0.80,...,...,...,63.91,Wednesday,Wednesday,2018/06/20
102258,517,Oasmia Pharmaceutical ADR,OASM,1.43,1.46,1.43,1.43,-0.01,-0.63,"2,952",3.16,0.80,...,...,...,62.88,Thursday,Thursday,2018/06/21
102259,517,Oasmia Pharmaceutical ADR,OASM,1.48,1.48,1.28,1.48,0.05,3.26,748,3.16,0.8,...,...,...,68.18,Monday,Monday,2018/06/25
102260,506,Oasmia Pharmaceutical ADR,OASM,1.35,1.35,1.34,1.34,-0.14,-9.45,"7,900",3.16,0.8,...,...,...,52.28,Wednesday,Wednesday,2018/06/27
102261,530,Oasmia Pharmaceutical ADR,OASM,1.21,1.32,1.21,1.32,-0.02,-1.68,311,3.16,0.80,...,...,...,49.73,Friday,Friday,2018/06/29
102262,496,Oasmia Pharmaceutical ADR,OASM,1.2,1.32,1.2,1.28,-0.04,-3.20,"1,190",3.16,0.8,...,...,...,44.94,Monday,Monday,2018/07/02
102263,492,Oasmia Pharmaceutical ADR,OASM,1.31,1.31,1.31,1.31,0.03,2.71,400,3.16,0.80,...,...,...,48.88,Tuesday,Tuesday,2018/07/03
102264,510,Oasmia Pharmaceutical ADR,OASM,1.31,1.31,1.3,1.3,-0.01,-0.77,354,3.16,0.8,...,...,...,47.73,Thursday,Thursday,2018/07/05
102265,518,Oasmia Pharmaceutical ADR,OASM,1.44,1.44,1.27,1.27,-0.03,-2.11,504,3.16,0.8,...,...,...,44.61,Monday,Monday,2018/07/09
102266,514,Oasmia Pharmaceutical ADR,OASM,1.28,1.33,1.28,1.33,0.06,4.75,500,3.16,0.8,...,...,...,51.48,Tuesday,Tuesday,2018/07/10
102267,514,Oasmia Pharmaceutical ADR,OASM,1.38,1.52,1.37,1.39,0.06,4.28,"21,113",3.16,0.8,...,...,...,57.95,Wednesday,Wednesday,2018/07/11
102268,517,Oasmia Pharmaceutical ADR,OASM,1.42,1.43,1.41,1.41,0.02,1.44,"3,878",3.16,0.8,...,...,...,60.23,Thursday,Thursday,2018/07/12
102269,507,Oasmia Pharmaceutical ADR,OASM,1.46,1.47,1.36,1.36,-0.05,-3.55,"27,351",3.16,0.80,...,...,...,54.55,Friday,Friday,2018/07/13
102270,511,Oasmia Pharmaceutical ADR,OASM,1.49,1.50,1.47,1.48,0.12,8.84,"1,716",3.16,0.80,...,...,...,68.20,Monday,Monday,2018/07/16
102271,520,Oasmia Pharmaceutical ADR,OASM,1.5,1.52,1.5,1.52,0.04,2.69,452,3.16,0.80,...,...,...,72.73,Tuesday,Tuesday,2018/07/17
102272,520,Oasmia Pharmaceutical ADR,OASM,1.5,1.97,1.5,1.79,0.27,17.76,"88,949",3.16,0.80,...,...,...,103.40,Wednesday,Wednesday,2018/07/18
