,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
108697,580,Pure Acquisition Cl A,PACQ,9.75,9.75,9.67,9.69,-0.06,-0.62,"304,100",...,...,...,...,...,...,Tuesday,Tuesday,2018/05/29
108698,586,Pure Acquisition Cl A,PACQ,9.66,9.67,9.66,9.66,-0.03,-0.31,"794,700",9.75,9.66,...,...,...,...,Wednesday,Wednesday,2018/05/30
108699,594,Pure Acquisition Cl A,PACQ,9.64,9.65,9.63,9.63,-0.03,-0.31,"497,700",9.75,9.63,...,...,...,...,Thursday,Thursday,2018/05/31
108700,592,Pure Acquisition Cl A,PACQ,9.63,9.65,9.63,9.65,0.02,0.21,"51,112",9.75,9.63,...,...,...,...,Friday,Friday,2018/06/01
108701,582,Pure Acquisition Cl A,PACQ,9.63,9.69,9.63,9.67,0.02,0.21,"5,600",9.75,9.63,...,...,...,...,Monday,Monday,2018/06/04
108702,588,Pure Acquisition Cl A,PACQ,9.66,9.67,9.63,9.66,-0.01,-0.10,"1,558,968",9.75,9.63,...,...,...,...,Tuesday,Tuesday,2018/06/05
108703,602,Pure Acquisition Cl A,PACQ,9.66,9.66,9.63,9.65,-0.01,-0.10,"13,588",9.75,9.63,...,...,...,...,Wednesday,Wednesday,2018/06/06
108704,596,Pure Acquisition Cl A,PACQ,9.63,9.63,9.6,9.61,-0.04,-0.41,"1,084,200",9.75,9.6,...,...,...,...,Thursday,Thursday,2018/06/07
108705,585,Pure Acquisition Cl A,PACQ,9.63,9.64,9.61,9.64,0.03,0.31,"53,700",9.75,9.6,...,...,...,...,Friday,Friday,2018/06/08
108706,590,Pure Acquisition Cl A,PACQ,9.66,9.66,9.62,9.65,0.01,0.10,"862,820",9.75,9.6,...,...,...,...,Tuesday,Tuesday,2018/06/12
108707,593,Pure Acquisition Cl A,PACQ,9.62,9.65,9.61,9.61,-0.04,-0.41,"2,366,387",9.75,9.6,...,...,...,...,Wednesday,Wednesday,2018/06/13
108708,598,Pure Acquisition Cl A,PACQ,9.63,9.64,9.62,9.64,0.03,0.31,"295,180",9.75,9.6,...,...,...,...,Thursday,Thursday,2018/06/14
108709,578,Pure Acquisition Cl A,PACQ,9.63,9.63,9.62,9.62,-0.02,-0.21,"3,966",9.75,9.6,...,...,...,...,Friday,Friday,2018/06/15
108710,581,Pure Acquisition Cl A,PACQ,9.62,9.62,9.62,9.62,...,...,"2,200",9.75,9.6,...,...,...,...,Monday,Monday,2018/06/18
108711,589,Pure Acquisition Cl A,PACQ,9.64,9.64,9.6,9.62,...,...,"612,200",9.75,9.60,...,...,...,...,Wednesday,Wednesday,2018/06/20
108712,593,Pure Acquisition Cl A,PACQ,9.62,9.62,9.61,9.62,...,...,"20,750",9.75,9.60,...,...,...,...,Thursday,Thursday,2018/06/21
108713,581,Pure Acquisition Cl A,PACQ,9.6,9.62,9.6,9.62,...,...,"1,022,601",9.75,9.6,...,...,...,...,Friday,Friday,2018/06/22
108714,593,Pure Acquisition Cl A,PACQ,9.62,9.63,9.62,9.63,0.01,0.10,"1,212",9.75,9.6,...,...,...,...,Monday,Monday,2018/06/25
108715,600,Pure Acquisition Cl A,PACQ,9.63,9.63,9.63,9.63,...,...,"2,422",9.75,9.6,...,...,...,...,Tuesday,Tuesday,2018/06/26
108716,600,Pure Acquisition Cl A,PACQ,9.62,9.64,9.61,9.63,...,...,"190,700",9.75,9.60,...,...,...,...,Thursday,Thursday,2018/06/28
108717,611,Pure Acquisition Cl A,PACQ,9.62,9.64,9.59,9.64,0.01,0.10,"170,512",9.75,9.59,...,...,...,...,Friday,Friday,2018/06/29
108718,571,Pure Acquisition Cl A,PACQ,9.63,9.63,9.63,9.63,-0.01,-0.10,351,9.75,9.59,...,...,...,...,Monday,Monday,2018/07/02
108719,588,Pure Acquisition Cl A,PACQ,9.61,9.63,9.61,9.63,...,...,"100,103",9.75,9.59,...,...,...,...,Friday,Friday,2018/07/06
108720,592,Pure Acquisition Cl A,PACQ,9.61,9.63,9.61,9.63,...,...,"23,704",9.75,9.59,...,...,...,...,Monday,Monday,2018/07/09
108721,589,Pure Acquisition Cl A,PACQ,9.59,9.62,9.59,9.62,-0.01,-0.10,"2,900",9.75,9.59,...,...,...,...,Wednesday,Wednesday,2018/07/11
108722,598,Pure Acquisition Cl A,PACQ,9.63,9.63,9.62,9.62,...,...,"32,103",9.75,9.59,...,...,...,...,Thursday,Thursday,2018/07/12
108723,587,Pure Acquisition Cl A,PACQ,9.62,9.62,9.60,9.6,-0.02,-0.21,"125,100",9.75,9.59,...,...,...,...,Monday,Monday,2018/07/16
108724,596,Pure Acquisition Cl A,PACQ,9.61,9.61,9.61,9.61,0.01,0.10,"42,587",9.75,9.59,...,...,...,...,Tuesday,Tuesday,2018/07/17
108725,594,Pure Acquisition Cl A,PACQ,9.62,9.63,9.62,9.63,0.02,0.21,"25,161",9.75,9.59,...,...,...,...,Wednesday,Wednesday,2018/07/18
108726,587,Pure Acquisition Cl A,PACQ,9.65,9.65,9.65,9.65,0.02,0.21,129,9.75,9.59,...,...,...,...,Monday,Monday,2018/07/23
108727,601,Pure Acquisition Cl A,PACQ,9.65,9.65,9.65,9.65,...,...,"4,800",9.75,9.59,...,...,...,...,Tuesday,Tuesday,2018/07/24
108728,608,Pure Acquisition Cl A,PACQ,9.64,9.65,9.64,9.65,...,...,"87,500",9.75,9.59,...,...,...,...,Thursday,Thursday,2018/07/26
108729,587,Pure Acquisition Cl A,PACQ,9.65,9.65,9.65,9.65,...,...,"100,700",9.75,9.59,...,...,...,...,Friday,Friday,2018/07/27
108730,598,Pure Acquisition Cl A,PACQ,9.64,9.64,9.64,9.64,-0.01,-0.10,"25,000",9.75,9.59,...,...,...,...,Monday,Monday,2018/07/30
108731,597,Pure Acquisition Cl A,PACQ,9.64,9.66,9.64,9.66,0.02,0.21,"410,889",9.75,9.59,...,...,...,...,Wednesday,Wednesday,2018/08/01
108732,612,Pure Acquisition Cl A,PACQ,9.67,9.67,9.67,9.67,0.01,0.08,"1,000",9.75,9.59,...,...,...,...,Tuesday,Tuesday,2018/08/14
108733,617,Pure Acquisition Cl A,PACQ,9.67,9.67,9.67,9.67,...,0.03,"50,000",9.75,9.59,...,...,...,...,Wednesday,Wednesday,2018/08/15
108734,592,Pure Acquisition Cl A,PACQ,9.67,9.67,9.67,9.67,-0.00,-0.00,800,9.75,9.59,...,...,...,...,Friday,Friday,2018/08/17
108735,615,Pure Acquisition Cl A,PACQ,9.67,9.67,9.67,9.67,...,...,798,9.75,9.59,...,...,...,...,Monday,Monday,2018/08/20
108736,609,Pure Acquisition Cl A,PACQ,9.67,9.7,9.67,9.70,0.03,0.31,"3,800",9.75,9.59,...,...,...,...,Tuesday,Tuesday,2018/08/21
108737,601,Pure Acquisition Cl A,PACQ,9.7,9.7,9.70,9.70,...,...,"6,400",9.75,9.59,...,...,...,...,Wednesday,Wednesday,2018/08/22
108738,600,Pure Acquisition Cl A,PACQ,9.75,9.75,9.7,9.74,0.04,0.41,"257,400",9.75,9.59,...,...,...,...,Thursday,Thursday,2018/08/23
108739,604,Pure Acquisition Cl A,PACQ,9.74,9.77,9.69,9.70,-0.04,-0.41,"356,635",9.77,9.59,...,...,...,...,Friday,Friday,2018/08/24
108740,610,Pure Acquisition Cl A,PACQ,9.71,9.71,9.68,9.70,...,...,"72,446",9.77,9.59,...,...,...,...,Monday,Monday,2018/08/27
108741,599,Pure Acquisition Cl A,PACQ,9.68,9.70,9.65,9.70,...,...,"163,900",9.77,9.59,...,...,...,...,Tuesday,Tuesday,2018/08/28
108742,599,Pure Acquisition Cl A,PACQ,9.70,9.70,9.66,9.70,...,...,"12,400",9.77,9.59,...,...,...,...,Wednesday,Wednesday,2018/08/29
108743,608,Pure Acquisition Cl A,PACQ,9.7,9.73,9.7,9.7,...,...,"6,800",9.77,9.59,...,...,...,...,Thursday,Thursday,2018/08/30
108744,625,Pure Acquisition Cl A,PACQ,9.7,9.74,9.7,9.7,...,...,"6,800",9.77,9.59,...,...,...,...,Friday,Friday,2018/08/31
108745,606,Pure Acquisition Cl A,PACQ,9.70,9.71,9.70,9.71,0.01,0.10,"6,410",9.77,9.59,...,...,...,...,Tuesday,Tuesday,2018/09/04
108746,593,Pure Acquisition Cl A,PACQ,9.70,9.70,9.67,9.70,-0.01,-0.10,"58,857",9.77,9.59,...,...,...,...,Wednesday,Wednesday,2018/09/05
108747,602,Pure Acquisition Cl A,PACQ,9.72,9.73,9.7,9.7,...,...,"12,546",9.77,9.59,...,...,...,...,Thursday,Thursday,2018/09/06
108748,601,Pure Acquisition Cl A,PACQ,9.70,9.72,9.65,9.71,0.01,0.10,"2,039,529",9.77,9.59,...,...,...,...,Friday,Friday,2018/09/07
108749,600,Pure Acquisition Cl A,PACQ,9.71,9.71,9.71,9.71,...,...,"8,036",9.77,9.59,...,...,...,...,Tuesday,Tuesday,2018/09/11
108750,612,Pure Acquisition Cl A,PACQ,9.70,9.72,9.70,9.72,0.01,0.10,634,9.77,9.59,...,...,...,...,Wednesday,Wednesday,2018/09/12
108751,621,Pure Acquisition Cl A,PACQ,9.7,9.7,9.7,9.7,-0.02,-0.21,100,9.77,9.59,...,...,...,...,Thursday,Thursday,2018/09/13
108752,618,Pure Acquisition Cl A,PACQ,9.67,9.67,9.67,9.67,-0.03,-0.31,"75,000",9.77,9.59,...,...,...,...,Friday,Friday,2018/09/14
108753,630,Pure Acquisition Cl A,PACQ,9.67,9.67,9.66,9.66,-0.01,-0.10,"8,629",9.77,9.59,...,...,...,...,Monday,Monday,2018/09/17
108754,626,Pure Acquisition Cl A,PACQ,9.66,9.67,9.65,9.66,...,...,"37,841",9.77,9.59,...,...,...,...,Tuesday,Tuesday,2018/09/18
108755,616,Pure Acquisition Cl A,PACQ,9.66,9.66,9.65,9.65,-0.01,-0.10,"31,000",9.77,9.59,...,...,...,...,Wednesday,Wednesday,2018/09/19
108756,624,Pure Acquisition Cl A,PACQ,9.70,9.70,9.70,9.70,0.05,0.52,100,9.77,9.59,...,...,...,...,Thursday,Thursday,2018/09/20
108757,627,Pure Acquisition Cl A,PACQ,9.7,9.7,9.70,9.70,...,...,"1,292",9.77,9.59,...,...,...,...,Friday,Friday,2018/09/21
108758,615,Pure Acquisition Cl A,PACQ,9.7,9.72,9.70,9.72,0.02,0.21,"7,042",9.77,9.59,...,...,...,...,Monday,Monday,2018/09/24
108759,625,Pure Acquisition Cl A,PACQ,9.70,9.72,9.65,9.70,-0.02,-0.21,"270,179",9.77,9.59,...,...,...,...,Tuesday,Tuesday,2018/09/25
108760,601,Pure Acquisition Cl A,PACQ,9.69,9.69,9.69,9.69,...,...,"40,100",9.77,9.59,...,...,...,...,Thursday,Thursday,2018/09/27
108761,622,Pure Acquisition Cl A,PACQ,9.69,9.71,9.69,9.71,0.02,0.15,"127,150",9.77,9.59,...,...,...,...,Friday,Friday,2018/09/28
108762,606,Pure Acquisition Cl A,PACQ,9.72,9.72,9.72,9.72,0.02,0.15,138,9.77,9.59,...,...,...,...,Monday,Monday,2018/10/01
