,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
111634,717,TDH Holdings,PETZ,4.28,4.49,4.20,4.20,-0.21,-4.76,"43,792",31.75,3.86,...,...,...,-25.53,Thursday,Thursday,2018/03/29
111635,703,TDH Holdings,PETZ,4.26,4.29,4.16,4.27,0.01,0.23,"6,521",31.75,3.86,...,...,...,-24.29,Wednesday,Wednesday,2018/04/11
111636,695,TDH Holdings,PETZ,4.24,4.27,4.12,4.26,-0.01,-0.23,"40,534",31.75,3.86,...,...,...,-24.47,Thursday,Thursday,2018/04/12
111637,705,TDH Holdings,PETZ,4.29,4.4,4.25,4.26,-0.01,-0.23,"23,282",31.75,3.86,...,...,...,-24.47,Tuesday,Tuesday,2018/04/17
111638,712,TDH Holdings,PETZ,4.1,4.33,4.1,4.33,0.07,1.64,"70,193",31.75,3.86,...,...,...,-23.23,Wednesday,Wednesday,2018/04/18
111639,690,TDH Holdings,PETZ,4.26,4.57,4.17,4.5,0.17,3.93,"131,414",31.75,3.86,...,...,...,-20.21,Thursday,Thursday,2018/04/19
111640,697,TDH Holdings,PETZ,4.5,4.5,4.34,4.4,-0.10,-2.22,"7,585",31.75,3.86,...,...,...,-21.99,Friday,Friday,2018/04/20
111641,707,TDH Holdings,PETZ,4.33,4.48,4.26,4.34,-0.13,-2.91,"48,324",31.75,3.86,...,...,...,-23.05,Tuesday,Tuesday,2018/04/24
111642,697,TDH Holdings,PETZ,4.32,4.6,4.31,4.51,0.17,3.92,"37,922",31.75,3.86,...,...,...,-20.04,Wednesday,Wednesday,2018/04/25
111643,691,TDH Holdings,PETZ,4.52,5.08,4.46,4.5,-0.04,-0.88,"180,238",31.75,3.86,...,...,...,-20.21,Friday,Friday,2018/04/27
111644,717,TDH Holdings,PETZ,4.63,4.67,4.25,4.67,0.17,3.78,"48,937",31.75,3.86,...,...,...,-17.20,Monday,Monday,2018/04/30
