,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
119363,604,RADCOM,RDCM,18.09,18.85,17.85,18.35,-0.05,-0.27,"10,385",22.45,17.00,...,...,83.41,-7.56,Thursday,Thursday,2018/03/29
119364,591,RADCOM,RDCM,17.8,18.1,17.7,17.85,0.05,0.28,"16,235",22.45,17.00,...,...,81.14,-10.08,Wednesday,Wednesday,2018/04/11
119365,587,RADCOM,RDCM,17.9,18.95,17.8,18.75,0.90,5.04,"95,713",22.45,17.0,...,...,85.23,-5.54,Thursday,Thursday,2018/04/12
119366,594,RADCOM,RDCM,18.65,19.0,18.55,18.75,0.32,1.76,"23,614",22.45,17.0,...,...,85.23,-5.54,Tuesday,Tuesday,2018/04/17
119367,600,RADCOM,RDCM,18.75,18.8,18.54,18.65,-0.10,-0.53,"5,443",22.45,17.00,...,...,84.77,-6.05,Wednesday,Wednesday,2018/04/18
119368,582,RADCOM,RDCM,18.7,19.1,18.35,19.0,0.35,1.88,"25,380",22.45,17.0,...,...,86.36,-4.28,Thursday,Thursday,2018/04/19
119369,587,RADCOM,RDCM,19.15,19.35,18.0,18.75,-0.25,-1.32,"54,584",22.45,17.00,...,...,85.23,-5.54,Friday,Friday,2018/04/20
119370,596,RADCOM,RDCM,18.2,18.45,17.93,18.45,0.30,1.65,"21,988",22.45,17.0,...,...,83.86,-7.05,Tuesday,Tuesday,2018/04/24
119371,589,RADCOM,RDCM,18.3,18.3,17.8,18.2,-0.25,-1.36,"24,006",22.45,17.00,...,...,82.73,-8.31,Wednesday,Wednesday,2018/04/25
119372,581,RADCOM,RDCM,18.35,18.35,18.05,18.15,-0.05,-0.27,"5,565",22.45,17.0,...,...,82.50,-8.56,Friday,Friday,2018/04/27
119373,610,RADCOM,RDCM,18.25,18.85,18.0,18.65,0.50,2.75,"17,067",22.45,17.0,...,...,84.77,-6.05,Monday,Monday,2018/04/30
119374,574,RADCOM,RDCM,18.5,19.1,18.38,19.0,0.35,1.88,"36,694",22.45,17.00,...,...,86.36,-4.28,Tuesday,Tuesday,2018/05/01
119375,594,RADCOM,RDCM,19.8,19.8,19.25,19.4,-0.35,-1.77,"16,807",22.45,17.00,...,...,88.18,-2.27,Thursday,Thursday,2018/05/03
119376,587,RADCOM,RDCM,19.45,19.7,19.3,19.55,0.15,0.77,"18,032",22.45,17.00,...,...,88.86,-1.51,Friday,Friday,2018/05/04
119377,619,RADCOM,RDCM,19.50,19.85,19.5,19.65,0.10,0.51,"9,246",22.45,17.00,...,...,89.32,-1.01,Monday,Monday,2018/05/07
119378,590,RADCOM,RDCM,19.55,19.8,19.4,19.5,-0.15,-0.76,"17,155",22.45,17.0,...,...,88.64,-1.76,Tuesday,Tuesday,2018/05/08
119379,609,RADCOM,RDCM,19.5,19.5,19.1,19.35,-0.15,-0.77,"11,024",22.45,17.0,...,...,87.95,-2.52,Wednesday,Wednesday,2018/05/09
119380,601,RADCOM,RDCM,19.85,20.7,19.30,20.15,0.80,4.13,"64,244",22.45,17.00,...,...,91.59,1.51,Thursday,Thursday,2018/05/10
119381,601,RADCOM,RDCM,20.15,20.45,19.7,19.8,-0.35,-1.74,"25,564",22.45,17.00,...,...,90.00,-0.25,Friday,Friday,2018/05/11
119382,603,RADCOM,RDCM,19.8,20.4,19.63,19.75,-0.05,-0.25,"39,728",22.45,17.00,...,...,89.77,-0.50,Monday,Monday,2018/05/14
119383,599,RADCOM,RDCM,19.55,19.72,19.15,19.65,-0.10,-0.51,"44,776",22.45,17.00,...,...,89.32,-1.01,Tuesday,Tuesday,2018/05/15
119384,596,RADCOM,RDCM,19.65,19.65,19.45,19.6,-0.05,-0.25,"18,131",22.45,17.00,...,...,89.09,-1.26,Wednesday,Wednesday,2018/05/16
119385,587,RADCOM,RDCM,19.57,19.85,19.36,19.6,...,...,"40,131",22.45,17.00,...,...,89.09,-1.26,Thursday,Thursday,2018/05/17
119386,585,RADCOM,RDCM,19.55,19.8,19.35,19.5,-0.10,-0.51,"9,121",22.45,17.00,...,...,88.64,-1.76,Friday,Friday,2018/05/18
119387,597,RADCOM,RDCM,19.5,19.85,19.20,19.7,0.20,1.03,"49,759",22.45,17.00,...,...,89.55,-0.76,Monday,Monday,2018/05/21
119388,594,RADCOM,RDCM,20.0,21.15,19.5,20.55,0.85,4.31,"207,908",22.45,17.00,...,...,93.41,3.53,Tuesday,Tuesday,2018/05/22
119389,599,RADCOM,RDCM,20.65,20.95,20.55,20.75,0.20,0.97,"51,439",22.45,17.00,...,...,94.32,4.53,Wednesday,Wednesday,2018/05/23
119390,601,RADCOM,RDCM,20.5,20.6,20.3,20.4,-0.35,-1.69,"59,461",22.45,17.00,...,...,75.56,2.77,Thursday,Thursday,2018/05/24
119391,581,RADCOM,RDCM,20.2,20.5,19.97,20.15,-0.25,-1.23,"61,891",22.45,17.00,...,...,74.63,1.51,Friday,Friday,2018/05/25
119392,590,RADCOM,RDCM,19.85,20.15,19.7,20.1,-0.05,-0.25,"29,375",22.45,17.00,...,...,74.44,1.26,Tuesday,Tuesday,2018/05/29
119393,596,RADCOM,RDCM,20.05,20.2,19.65,19.75,-0.35,-1.74,"28,005",22.45,17.00,...,...,73.15,-0.50,Wednesday,Wednesday,2018/05/30
119394,604,RADCOM,RDCM,19.65,19.7,18.75,19.05,-0.70,-3.54,"53,996",22.45,17.00,...,...,70.56,-4.03,Thursday,Thursday,2018/05/31
119395,602,RADCOM,RDCM,19.25,19.25,18.95,19.00,-0.05,-0.26,"44,385",22.45,17.00,...,...,70.37,-4.28,Friday,Friday,2018/06/01
119396,592,RADCOM,RDCM,19.25,20.07,19.20,20.05,1.05,5.53,"136,431",22.45,17.00,...,...,74.26,1.01,Monday,Monday,2018/06/04
119397,598,RADCOM,RDCM,20.00,20.79,19.90,20.45,0.40,2.00,"86,767",22.45,17.00,...,...,75.74,3.02,Tuesday,Tuesday,2018/06/05
119398,612,RADCOM,RDCM,20.25,21.2,20.00,20.90,0.45,2.20,"130,706",22.45,17.00,...,...,77.41,5.29,Wednesday,Wednesday,2018/06/06
119399,606,RADCOM,RDCM,20.95,21.8,20.6,21.25,0.35,1.67,"115,826",22.45,17.0,...,...,78.70,7.05,Thursday,Thursday,2018/06/07
119400,594,RADCOM,RDCM,21.2,21.45,20.65,20.7,-0.55,-2.59,"32,652",22.45,17.0,...,...,76.67,4.28,Friday,Friday,2018/06/08
119401,598,RADCOM,RDCM,20.6,20.9,20.18,20.85,0.15,0.72,"17,685",22.45,17.00,...,...,77.22,5.04,Monday,Monday,2018/06/11
119402,600,RADCOM,RDCM,20.9,20.95,20.7,20.8,-0.05,-0.24,"18,353",22.45,17.0,...,...,77.04,4.79,Tuesday,Tuesday,2018/06/12
119403,603,RADCOM,RDCM,20.8,21.25,20.5,21.2,0.40,1.92,"81,435",22.45,17.0,...,...,78.52,6.80,Wednesday,Wednesday,2018/06/13
119404,608,RADCOM,RDCM,21.0,21.0,20.45,20.9,-0.30,-1.42,"46,388",22.45,17.0,...,...,77.41,5.29,Thursday,Thursday,2018/06/14
119405,588,RADCOM,RDCM,20.85,21.0,20.5,20.75,-0.15,-0.72,"49,853",22.45,17.0,...,...,76.85,4.53,Friday,Friday,2018/06/15
119406,591,RADCOM,RDCM,20.65,20.9,20.32,20.5,-0.25,-1.20,"22,730",22.45,17.0,...,...,75.93,3.27,Monday,Monday,2018/06/18
119407,590,RADCOM,RDCM,20.35,20.75,20.2,20.75,0.25,1.22,"15,551",22.45,17.00,...,...,76.85,4.53,Tuesday,Tuesday,2018/06/19
119408,598,RADCOM,RDCM,20.75,20.75,20.45,20.6,-0.15,-0.72,"18,401",22.45,17.00,...,...,76.30,3.78,Wednesday,Wednesday,2018/06/20
119409,602,RADCOM,RDCM,20.55,20.6,20.45,20.5,-0.10,-0.49,"12,834",22.45,17.00,...,...,75.93,3.27,Thursday,Thursday,2018/06/21
119410,589,RADCOM,RDCM,20.45,20.45,19.95,20.0,-0.50,-2.44,"54,446",22.45,17.0,...,...,74.07,0.76,Friday,Friday,2018/06/22
119411,602,RADCOM,RDCM,19.9,19.9,19.05,19.8,-0.20,-1.00,"35,846",22.45,17.0,...,...,73.33,-0.25,Monday,Monday,2018/06/25
119412,609,RADCOM,RDCM,19.65,20.1,19.65,20.0,0.20,1.01,"21,490",22.45,17.0,...,...,74.07,0.76,Tuesday,Tuesday,2018/06/26
119413,591,RADCOM,RDCM,19.9,20.0,19.6,19.6,-0.40,-2.00,"21,336",22.45,17.0,...,...,72.59,-1.26,Wednesday,Wednesday,2018/06/27
