,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
125573,700,Sterling Bancorp,SBT,13.71,13.76,13.22,13.51,-0.15,-1.10,"92,697",14.98,12.00,0.04,0.30,...,6.38,Thursday,Thursday,2018/03/29
125574,686,Sterling Bancorp,SBT,13.33,13.39,13.02,13.37,-0.05,-0.37,"25,718",14.98,12.00,0.04,0.30,...,5.28,Wednesday,Wednesday,2018/04/11
125575,678,Sterling Bancorp,SBT,13.43,13.47,13.24,13.34,-0.03,-0.22,"43,134",14.98,12.0,0.04,0.30,...,5.04,Thursday,Thursday,2018/04/12
125576,688,Sterling Bancorp,SBT,13.35,13.37,13.15,13.17,-0.19,-1.42,"89,733",14.98,12.0,0.04,0.30,...,3.70,Tuesday,Tuesday,2018/04/17
125577,695,Sterling Bancorp,SBT,13.23,13.38,13.14,13.15,-0.02,-0.15,"95,652",14.98,12.00,0.04,0.30,...,3.54,Wednesday,Wednesday,2018/04/18
125578,673,Sterling Bancorp,SBT,13.13,13.36,13.07,13.11,-0.04,-0.30,"80,347",14.98,12.0,0.04,0.31,...,3.23,Thursday,Thursday,2018/04/19
125579,680,Sterling Bancorp,SBT,13.06,13.22,13.02,13.15,0.04,0.31,"42,213",14.98,12.00,0.04,0.30,...,3.54,Friday,Friday,2018/04/20
125580,690,Sterling Bancorp,SBT,13.29,13.48,13.1,13.22,-0.11,-0.83,"84,694",14.98,12.0,0.04,0.30,...,4.09,Tuesday,Tuesday,2018/04/24
125581,680,Sterling Bancorp,SBT,13.19,13.19,12.78,12.83,-0.39,-2.95,"89,906",14.98,12.00,0.04,0.31,...,1.02,Wednesday,Wednesday,2018/04/25
125582,674,Sterling Bancorp,SBT,12.97,13.1,12.89,13.0,0.04,0.31,"25,053",14.98,12.0,0.04,0.31,...,2.36,Friday,Friday,2018/04/27
125583,700,Sterling Bancorp,SBT,13.02,13.28,12.67,12.74,-0.26,-2.00,"53,744",14.98,12.0,0.04,0.31,...,0.31,Monday,Monday,2018/04/30
125584,666,Sterling Bancorp,SBT,13.15,13.63,12.55,13.44,0.70,5.49,"150,948",14.98,12.00,0.04,0.30,...,5.83,Tuesday,Tuesday,2018/05/01
125585,685,Sterling Bancorp,SBT,13.39,13.47,13.04,13.23,-0.13,-0.97,"42,811",14.98,12.00,0.04,0.30,...,4.17,Thursday,Thursday,2018/05/03
125586,679,Sterling Bancorp,SBT,13.27,13.42,13.07,13.25,0.02,0.15,"59,976",14.98,12.00,0.04,0.30,...,4.33,Friday,Friday,2018/05/04
125587,716,Sterling Bancorp,SBT,13.30,13.49,13.18,13.32,0.07,0.53,"45,753",14.98,12.00,0.04,0.30,...,4.88,Monday,Monday,2018/05/07
125588,683,Sterling Bancorp,SBT,13.34,13.48,13.3,13.39,0.07,0.53,"21,771",14.98,12.0,0.04,0.30,...,5.43,Tuesday,Tuesday,2018/05/08
125589,703,Sterling Bancorp,SBT,13.47,13.53,13.14,13.46,0.07,0.52,"229,179",14.98,12.0,0.04,0.30,...,5.98,Wednesday,Wednesday,2018/05/09
125590,696,Sterling Bancorp,SBT,13.52,13.66,13.21,13.54,0.08,0.59,"423,325",14.98,12.00,0.04,0.30,...,6.61,Thursday,Thursday,2018/05/10
125591,693,Sterling Bancorp,SBT,13.48,13.81,13.4,13.65,0.11,0.81,"60,029",14.98,12.00,0.04,0.29,...,7.48,Friday,Friday,2018/05/11
125592,696,Sterling Bancorp,SBT,13.59,13.7,13.38,13.41,-0.24,-1.76,"25,028",14.98,12.00,0.04,0.30,...,5.59,Monday,Monday,2018/05/14
125593,692,Sterling Bancorp,SBT,13.39,13.86,13.39,13.68,0.27,2.01,"72,414",14.98,12.00,0.04,0.29,...,7.72,Tuesday,Tuesday,2018/05/15
125594,688,Sterling Bancorp,SBT,13.68,14.02,13.65,13.95,0.27,1.97,"88,660",14.98,12.00,0.04,0.29,...,9.84,Wednesday,Wednesday,2018/05/16
125595,676,Sterling Bancorp,SBT,13.9,13.99,13.83,13.9,-0.05,-0.36,"33,417",14.98,12.00,0.04,0.29,...,9.45,Thursday,Thursday,2018/05/17
125596,677,Sterling Bancorp,SBT,13.99,14.0,13.72,13.79,-0.11,-0.79,"35,051",14.98,12.00,0.04,0.29,...,8.58,Friday,Friday,2018/05/18
125597,692,Sterling Bancorp,SBT,13.75,13.95,13.60,13.8,0.01,0.07,"89,847",14.98,12.00,0.04,0.29,...,8.66,Monday,Monday,2018/05/21
125598,689,Sterling Bancorp,SBT,13.71,13.98,13.61,13.75,-0.05,-0.36,"80,403",14.98,12.00,0.04,0.29,...,8.27,Tuesday,Tuesday,2018/05/22
125599,692,Sterling Bancorp,SBT,13.72,13.97,13.57,13.82,0.07,0.51,"89,594",14.98,12.00,0.04,0.29,...,8.82,Wednesday,Wednesday,2018/05/23
125600,690,Sterling Bancorp,SBT,13.79,13.98,13.71,13.9,0.09,0.65,"49,409",14.98,12.00,0.04,0.29,...,9.45,Thursday,Thursday,2018/05/24
125601,674,Sterling Bancorp,SBT,13.9,13.95,13.74,13.77,-0.13,-0.94,"34,789",14.98,12.00,0.04,0.29,...,8.43,Friday,Friday,2018/05/25
