,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
130648,661,Sharps Compliance,SMED,4.37,4.6,4.37,4.54,-0.06,-1.30,"4,869",5.73,3.74,...,...,308.84,11.00,Thursday,Thursday,2018/03/29
130649,646,Sharps Compliance,SMED,4.51,4.74,4.31,4.56,-0.05,-1.08,"17,644",5.73,3.74,...,...,310.20,11.49,Wednesday,Wednesday,2018/04/11
130650,639,Sharps Compliance,SMED,4.53,4.74,4.5,4.56,...,...,"17,095",5.73,3.74,...,...,310.20,11.49,Thursday,Thursday,2018/04/12
130651,649,Sharps Compliance,SMED,4.42,4.77,4.33,4.75,0.34,7.71,"26,006",5.73,3.74,...,...,323.13,16.14,Tuesday,Tuesday,2018/04/17
130652,658,Sharps Compliance,SMED,4.69,4.75,4.65,4.67,-0.08,-1.68,"9,415",5.73,3.74,...,...,317.69,14.18,Wednesday,Wednesday,2018/04/18
130653,638,Sharps Compliance,SMED,4.67,4.75,4.44,4.59,-0.08,-1.71,"18,769",5.73,3.74,...,...,312.25,12.23,Thursday,Thursday,2018/04/19
130654,643,Sharps Compliance,SMED,4.6,4.76,4.35,4.35,-0.24,-5.23,"10,278",5.73,3.74,...,...,295.92,6.36,Friday,Friday,2018/04/20
130655,651,Sharps Compliance,SMED,4.32,4.33,4.18,4.18,-0.15,-3.46,"23,728",5.73,3.74,...,...,284.35,2.20,Tuesday,Tuesday,2018/04/24
130656,641,Sharps Compliance,SMED,4.0,4.16,3.99,4.1,-0.08,-1.91,"42,601",5.73,3.74,...,...,278.91,0.24,Wednesday,Wednesday,2018/04/25
130657,635,Sharps Compliance,SMED,4.02,4.05,3.87,4.05,...,...,"34,700",5.73,3.74,...,...,861.70,-0.98,Friday,Friday,2018/04/27
130658,661,Sharps Compliance,SMED,4.02,4.02,3.74,3.98,-0.07,-1.73,"33,415",5.73,3.74,...,...,846.81,-2.69,Monday,Monday,2018/04/30
130659,627,Sharps Compliance,SMED,3.95,3.96,3.79,3.9,-0.08,-2.01,"10,598",5.73,3.74,...,...,829.79,-4.65,Tuesday,Tuesday,2018/05/01
130660,647,Sharps Compliance,SMED,3.75,3.85,3.7,3.74,-0.03,-0.80,"9,057",5.73,3.70,...,...,795.74,-8.56,Thursday,Thursday,2018/05/03
130661,642,Sharps Compliance,SMED,3.87,3.88,3.78,3.79,0.05,1.34,"2,174",5.73,3.70,...,...,806.38,-7.33,Friday,Friday,2018/05/04
130662,676,Sharps Compliance,SMED,3.82,3.93,3.81,3.83,0.04,1.06,"6,116",5.73,3.70,...,...,814.89,-6.36,Monday,Monday,2018/05/07
130663,644,Sharps Compliance,SMED,3.84,3.92,3.82,3.92,0.09,2.35,"2,929",5.73,3.7,...,...,834.04,-4.16,Tuesday,Tuesday,2018/05/08
130664,664,Sharps Compliance,SMED,3.89,3.94,3.84,3.91,-0.01,-0.26,"5,394",5.73,3.7,...,...,831.91,-4.40,Wednesday,Wednesday,2018/05/09
130665,658,Sharps Compliance,SMED,3.84,3.94,3.82,3.85,-0.06,-1.53,"79,447",5.73,3.70,...,...,819.15,-5.87,Thursday,Thursday,2018/05/10
130666,656,Sharps Compliance,SMED,3.85,3.92,3.85,3.87,0.02,0.52,"12,094",5.73,3.70,...,...,823.40,-5.38,Friday,Friday,2018/05/11
130667,655,Sharps Compliance,SMED,3.89,3.89,3.72,3.83,-0.04,-1.03,"5,954",5.73,3.70,...,...,814.89,-6.36,Monday,Monday,2018/05/14
130668,653,Sharps Compliance,SMED,3.9,3.9,3.83,3.89,0.06,1.54,"4,010",5.73,3.70,...,...,827.45,-4.91,Tuesday,Tuesday,2018/05/15
130669,651,Sharps Compliance,SMED,3.85,3.92,3.79,3.81,-0.08,-2.03,"7,335",5.73,3.70,...,...,810.64,-6.85,Wednesday,Wednesday,2018/05/16
130670,640,Sharps Compliance,SMED,3.82,4.07,3.78,3.8,-0.01,-0.26,"19,981",5.73,3.70,...,...,808.51,-7.09,Thursday,Thursday,2018/05/17
130671,639,Sharps Compliance,SMED,3.79,3.84,3.77,3.8,...,...,"20,138",5.73,3.70,...,...,808.51,-7.09,Friday,Friday,2018/05/18
130672,651,Sharps Compliance,SMED,3.86,3.86,3.79,3.79,-0.01,-0.26,"2,425",5.73,3.70,...,...,806.38,-7.33,Monday,Monday,2018/05/21
130673,649,Sharps Compliance,SMED,3.83,3.83,3.72,3.78,-0.01,-0.26,"14,947",5.73,3.70,...,...,804.26,-7.58,Tuesday,Tuesday,2018/05/22
130674,653,Sharps Compliance,SMED,3.76,3.85,3.75,3.8,0.02,0.53,"19,779",5.73,3.70,...,...,808.51,-7.09,Wednesday,Wednesday,2018/05/23
130675,652,Sharps Compliance,SMED,3.75,3.8,3.71,3.74,-0.06,-1.58,"25,984",5.73,3.70,...,...,795.74,-8.56,Thursday,Thursday,2018/05/24
130676,634,Sharps Compliance,SMED,3.9,3.9,3.71,3.79,0.05,1.34,"10,605",5.73,3.70,...,...,806.38,-7.33,Friday,Friday,2018/05/25
130677,643,Sharps Compliance,SMED,3.79,3.88,3.7,3.75,-0.04,-1.06,"12,792",5.73,3.70,...,...,797.87,-8.31,Tuesday,Tuesday,2018/05/29
130678,652,Sharps Compliance,SMED,3.75,3.75,3.64,3.73,-0.02,-0.53,"27,682",5.73,3.64,...,...,793.62,-8.80,Wednesday,Wednesday,2018/05/30
130679,656,Sharps Compliance,SMED,3.73,3.75,3.65,3.71,-0.02,-0.62,"15,818",5.73,3.64,...,...,788.72,-9.36,Thursday,Thursday,2018/05/31
130680,658,Sharps Compliance,SMED,3.71,3.74,3.71,3.74,0.03,0.89,"7,530",5.73,3.64,...,...,795.74,-8.56,Friday,Friday,2018/06/01
130681,644,Sharps Compliance,SMED,3.75,3.77,3.63,3.65,-0.09,-2.41,"19,783",5.73,3.63,...,...,776.60,-10.76,Monday,Monday,2018/06/04
130682,655,Sharps Compliance,SMED,3.66,3.69,3.50,3.50,-0.15,-4.11,"23,914",5.73,3.50,...,...,744.68,-14.43,Tuesday,Tuesday,2018/06/05
130683,670,Sharps Compliance,SMED,3.52,3.68,3.52,3.60,0.10,2.86,"11,435",5.73,3.50,...,...,765.96,-11.98,Wednesday,Wednesday,2018/06/06
130684,658,Sharps Compliance,SMED,3.64,3.69,3.62,3.63,0.03,0.83,"6,165",5.73,3.5,...,...,772.34,-11.25,Thursday,Thursday,2018/06/07
130685,648,Sharps Compliance,SMED,3.64,3.7,3.62,3.69,0.06,1.65,"4,906",5.73,3.5,...,...,785.11,-9.78,Friday,Friday,2018/06/08
130686,651,Sharps Compliance,SMED,3.68,3.86,3.65,3.68,-0.01,-0.27,"31,412",5.73,3.50,...,...,782.98,-10.02,Monday,Monday,2018/06/11
130687,651,Sharps Compliance,SMED,3.68,3.7,3.65,3.66,-0.02,-0.64,"8,215",5.73,3.5,...,...,777.96,-10.60,Tuesday,Tuesday,2018/06/12
130688,657,Sharps Compliance,SMED,3.61,3.7,3.61,3.69,0.03,0.92,"5,092",5.73,3.5,...,...,785.11,-9.78,Wednesday,Wednesday,2018/06/13
130689,663,Sharps Compliance,SMED,3.69,3.69,3.61,3.67,-0.02,-0.47,"6,708",5.73,3.5,...,...,781.45,-10.20,Thursday,Thursday,2018/06/14
130690,643,Sharps Compliance,SMED,3.68,3.76,3.62,3.74,0.07,1.83,"10,266",5.73,3.5,...,...,795.74,-8.56,Friday,Friday,2018/06/15
130691,646,Sharps Compliance,SMED,3.7,3.7,3.54,3.55,-0.19,-5.08,"14,684",5.73,3.5,...,...,755.32,-13.20,Monday,Monday,2018/06/18
130692,643,Sharps Compliance,SMED,3.86,3.86,3.59,3.59,0.04,1.13,"8,236",5.73,3.50,...,...,763.83,-12.22,Tuesday,Tuesday,2018/06/19
130693,651,Sharps Compliance,SMED,3.57,3.65,3.52,3.55,-0.04,-1.13,"7,668",5.73,3.50,...,...,755.23,-13.21,Wednesday,Wednesday,2018/06/20
130694,660,Sharps Compliance,SMED,3.58,3.58,3.5,3.51,-0.04,-1.11,"8,163",5.73,3.50,...,...,746.85,-14.18,Thursday,Thursday,2018/06/21
130695,640,Sharps Compliance,SMED,3.53,3.64,3.5,3.54,0.03,0.85,"15,612",5.73,3.5,...,...,753.19,-13.45,Friday,Friday,2018/06/22
130696,659,Sharps Compliance,SMED,3.5,3.66,3.46,3.65,0.11,3.11,"11,246",5.73,3.46,...,...,776.60,-10.76,Monday,Monday,2018/06/25
130697,667,Sharps Compliance,SMED,3.51,3.6,3.51,3.51,-0.14,-3.84,"4,461",5.73,3.46,...,...,746.81,-14.18,Tuesday,Tuesday,2018/06/26
130698,645,Sharps Compliance,SMED,3.49,3.59,3.49,3.5,-0.01,-0.28,"29,620",5.73,3.46,...,...,744.68,-14.43,Wednesday,Wednesday,2018/06/27
130699,663,Sharps Compliance,SMED,3.5,3.86,3.5,3.86,0.36,10.29,"12,823",5.73,3.46,...,...,821.28,-5.62,Thursday,Thursday,2018/06/28
130700,669,Sharps Compliance,SMED,3.74,3.8,3.65,3.69,-0.17,-4.40,"10,750",5.73,3.46,...,...,785.11,-9.78,Friday,Friday,2018/06/29
130701,631,Sharps Compliance,SMED,3.55,3.72,3.55,3.72,0.03,0.81,"5,829",5.73,3.46,...,...,791.47,-9.05,Monday,Monday,2018/07/02
130702,627,Sharps Compliance,SMED,3.75,3.75,3.59,3.7,-0.02,-0.53,"6,896",5.73,3.46,...,...,787.23,-9.54,Tuesday,Tuesday,2018/07/03
130703,647,Sharps Compliance,SMED,3.71,3.88,3.71,3.74,0.04,1.08,"25,341",5.73,3.46,...,...,795.74,-8.56,Thursday,Thursday,2018/07/05
130704,653,Sharps Compliance,SMED,3.77,3.8,3.75,3.76,0.02,0.53,"13,298",5.73,3.46,...,...,800.00,-8.07,Friday,Friday,2018/07/06
130705,658,Sharps Compliance,SMED,3.77,3.81,3.7,3.72,-0.04,-1.09,"27,962",5.73,3.46,...,...,791.28,-9.07,Monday,Monday,2018/07/09
130706,656,Sharps Compliance,SMED,3.66,3.79,3.55,3.67,-0.05,-1.32,"23,121",5.73,3.46,...,...,780.85,-10.27,Tuesday,Tuesday,2018/07/10
130707,652,Sharps Compliance,SMED,3.78,3.85,3.75,3.83,0.16,4.36,"12,564",5.73,3.46,...,...,814.89,-6.36,Wednesday,Wednesday,2018/07/11
130708,664,Sharps Compliance,SMED,3.84,3.84,3.8,3.8,-0.03,-0.78,"3,215",5.73,3.46,...,...,808.51,-7.09,Thursday,Thursday,2018/07/12
130709,638,Sharps Compliance,SMED,3.79,3.79,3.77,3.77,-0.03,-0.79,858,5.73,3.46,...,...,802.11,-7.83,Friday,Friday,2018/07/13
130710,652,Sharps Compliance,SMED,3.65,3.71,3.50,3.54,-0.23,-6.10,"28,534",5.73,3.46,...,...,753.19,-13.45,Monday,Monday,2018/07/16
130711,659,Sharps Compliance,SMED,3.5,3.56,3.5,3.55,0.01,0.28,"6,942",5.73,3.46,...,...,755.32,-13.20,Tuesday,Tuesday,2018/07/17
130712,657,Sharps Compliance,SMED,3.55,3.55,3.5,3.53,-0.02,-0.56,"2,501",5.73,3.46,...,...,751.06,-13.69,Wednesday,Wednesday,2018/07/18
130713,663,Sharps Compliance,SMED,3.5,3.59,3.5,3.5,-0.03,-0.85,"449,463",5.73,3.46,...,...,744.68,-14.43,Thursday,Thursday,2018/07/19
130714,645,Sharps Compliance,SMED,3.58,3.62,3.56,3.6,0.10,2.86,"11,565",5.73,3.46,...,...,765.96,-11.98,Friday,Friday,2018/07/20
130715,647,Sharps Compliance,SMED,3.61,3.67,3.60,3.64,0.04,1.11,"22,180",5.73,3.46,...,...,774.47,-11.00,Monday,Monday,2018/07/23
130716,666,Sharps Compliance,SMED,3.61,3.66,3.51,3.53,-0.11,-3.02,"185,497",5.73,3.46,...,...,751.06,-13.69,Tuesday,Tuesday,2018/07/24
130717,637,Sharps Compliance,SMED,3.56,3.62,3.56,3.56,0.03,0.71,"4,413",5.73,3.46,...,...,756.43,-13.08,Wednesday,Wednesday,2018/07/25
130718,671,Sharps Compliance,SMED,3.51,3.59,3.51,3.53,-0.03,-0.78,"12,601",5.73,3.46,...,...,750.55,-13.75,Thursday,Thursday,2018/07/26
130719,644,Sharps Compliance,SMED,3.60,3.60,3.57,3.6,0.07,2.05,"3,287",5.73,3.46,...,...,765.94,-11.98,Friday,Friday,2018/07/27
130720,658,Sharps Compliance,SMED,3.60,3.66,3.60,3.6,...,...,"40,518",5.73,3.46,...,...,765.96,-11.98,Monday,Monday,2018/07/30
130721,666,Sharps Compliance,SMED,3.55,3.6,3.50,3.52,-0.08,-2.22,"418,312",5.73,3.46,...,...,748.94,-13.94,Tuesday,Tuesday,2018/07/31
130722,654,Sharps Compliance,SMED,3.53,3.6,3.53,3.55,0.03,0.85,"5,171",5.73,3.46,...,...,755.32,-13.20,Wednesday,Wednesday,2018/08/01
130723,665,Sharps Compliance,SMED,3.56,3.66,3.5,3.62,0.07,1.83,"34,395",5.73,3.46,...,...,769.15,-11.61,Thursday,Thursday,2018/08/02
130724,644,Sharps Compliance,SMED,3.62,3.64,3.56,3.56,-0.06,-1.52,"1,538",5.73,3.46,...,...,757.45,-12.96,Friday,Friday,2018/08/03
130725,651,Sharps Compliance,SMED,3.55,3.65,3.50,3.62,0.06,1.69,"13,420",5.73,3.46,...,...,770.21,-11.49,Monday,Monday,2018/08/06
130726,655,Sharps Compliance,SMED,3.63,3.63,3.50,3.54,-0.08,-2.21,"16,024",5.73,3.46,...,...,753.19,-13.45,Tuesday,Tuesday,2018/08/07
130727,658,Sharps Compliance,SMED,3.51,3.51,3.42,3.44,-0.10,-2.82,"12,198",5.73,3.42,...,...,731.91,-15.89,Wednesday,Wednesday,2018/08/08
130728,665,Sharps Compliance,SMED,3.5,3.5,3.4,3.4,-0.04,-1.16,"5,526",5.73,3.40,...,...,723.40,-16.87,Friday,Friday,2018/08/10
130729,676,Sharps Compliance,SMED,3.5,3.5,3.14,3.37,-0.03,-0.88,"36,114",5.73,3.14,...,...,717.02,-17.60,Monday,Monday,2018/08/13
130730,674,Sharps Compliance,SMED,3.37,3.37,3.15,3.19,-0.18,-5.34,"28,485",5.69,3.14,...,...,678.72,-22.00,Tuesday,Tuesday,2018/08/14
130731,679,Sharps Compliance,SMED,3.26,3.34,3.18,3.20,0.01,0.31,"7,819",5.69,3.14,...,...,...,-21.76,Wednesday,Wednesday,2018/08/15
130732,678,Sharps Compliance,SMED,3.24,3.3,3.21,3.29,0.09,2.81,"24,830",5.58,3.14,...,...,...,-19.56,Thursday,Thursday,2018/08/16
130733,653,Sharps Compliance,SMED,3.26,3.37,3.22,3.35,0.06,1.82,"3,234",5.32,3.14,...,...,...,-18.09,Friday,Friday,2018/08/17
130734,676,Sharps Compliance,SMED,3.3,3.3,3.23,3.27,-0.08,-2.39,"6,360",5.3,3.14,...,...,...,-20.05,Monday,Monday,2018/08/20
130735,673,Sharps Compliance,SMED,3.28,3.55,3.27,3.45,0.18,5.50,"20,950",5.28,3.14,...,...,...,-15.65,Tuesday,Tuesday,2018/08/21
130736,663,Sharps Compliance,SMED,3.46,3.51,3.42,3.42,-0.03,-0.87,"17,671",5.28,3.14,...,...,...,-16.38,Wednesday,Wednesday,2018/08/22
130737,663,Sharps Compliance,SMED,3.41,3.43,3.28,3.28,-0.14,-4.09,"14,236",5.23,3.14,...,...,...,-19.80,Thursday,Thursday,2018/08/23
130738,667,Sharps Compliance,SMED,3.29,3.49,3.29,3.29,0.01,0.30,"24,224",5.23,3.14,...,...,...,-19.56,Friday,Friday,2018/08/24
