,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
137606,704,Summer Infant,SUMR,1.16,1.18,1.15,1.15,-0.01,-0.86,"2,755",2.25,0.90,...,...,...,-23.33,Thursday,Thursday,2018/03/29
137607,690,Summer Infant,SUMR,1.14,1.15,1.12,1.12,-0.02,-1.75,"11,760",2.25,0.90,...,...,...,-25.33,Wednesday,Wednesday,2018/04/11
137608,682,Summer Infant,SUMR,1.12,1.12,1.05,1.06,-0.06,-5.54,"35,387",2.25,0.9,...,...,...,-29.47,Thursday,Thursday,2018/04/12
137609,692,Summer Infant,SUMR,1.05,1.1,1.05,1.1,0.04,3.76,"9,644",2.25,0.9,...,...,...,-26.67,Tuesday,Tuesday,2018/04/17
137610,699,Summer Infant,SUMR,1.08,1.1,1.05,1.05,-0.05,-4.54,"14,682",2.25,0.90,...,...,...,-30.00,Wednesday,Wednesday,2018/04/18
137611,677,Summer Infant,SUMR,1.05,1.08,1.03,1.03,-0.02,-1.90,"11,234",2.25,0.9,...,...,...,-31.33,Thursday,Thursday,2018/04/19
137612,684,Summer Infant,SUMR,1.03,1.04,1.03,1.04,0.01,0.96,"11,423",2.25,0.90,...,...,...,-30.67,Friday,Friday,2018/04/20
137613,694,Summer Infant,SUMR,1.06,1.06,0.97,0.97,-0.06,-5.39,"94,310",2.25,0.9,...,...,...,-35.67,Tuesday,Tuesday,2018/04/24
137614,684,Summer Infant,SUMR,0.91,0.95,0.84,0.87,-0.09,-9.83,"81,752",2.25,0.84,...,...,...,-41.99,Wednesday,Wednesday,2018/04/25
137615,678,Summer Infant,SUMR,0.87,0.88,0.86,0.87,-0.02,-2.25,"28,028",2.25,0.84,...,...,...,-42.00,Friday,Friday,2018/04/27
137616,704,Summer Infant,SUMR,0.86,0.86,0.8,0.82,-0.05,-5.75,"134,345",2.25,0.8,...,...,...,-45.33,Monday,Monday,2018/04/30
