,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
137801,707,Sunworks,SUNW,0.9,0.98,0.90,0.95,0.05,5.56,"112,700",2.14,0.90,...,...,...,-9.52,Thursday,Thursday,2018/03/29
137802,693,Sunworks,SUNW,0.97,0.99,0.97,0.98,0.01,1.03,"16,001",2.14,0.90,...,...,...,-6.67,Wednesday,Wednesday,2018/04/11
137803,685,Sunworks,SUNW,0.98,0.98,0.93,0.94,-0.04,-4.08,"90,168",2.14,0.9,...,...,...,-10.48,Thursday,Thursday,2018/04/12
137804,695,Sunworks,SUNW,0.94,0.97,0.92,0.94,-0.01,-0.53,"56,842",2.14,0.9,...,...,...,-10.48,Tuesday,Tuesday,2018/04/17
137805,702,Sunworks,SUNW,0.93,0.96,0.93,0.95,0.01,1.06,"68,936",2.14,0.90,...,...,...,-9.52,Wednesday,Wednesday,2018/04/18
137806,680,Sunworks,SUNW,0.95,0.96,0.93,0.94,-0.01,-0.53,"23,800",2.14,0.9,...,...,...,-10.00,Thursday,Thursday,2018/04/19
137807,687,Sunworks,SUNW,0.96,0.96,0.92,0.94,-0.01,-0.61,"24,841",2.14,0.90,...,...,...,-10.55,Friday,Friday,2018/04/20
137808,697,Sunworks,SUNW,0.95,0.95,0.93,0.95,0.01,1.05,"21,476",2.14,0.9,...,...,...,-9.52,Tuesday,Tuesday,2018/04/24
137809,687,Sunworks,SUNW,0.95,0.95,0.91,0.93,-0.02,-2.11,"57,521",2.14,0.90,...,...,...,-11.43,Wednesday,Wednesday,2018/04/25
137810,681,Sunworks,SUNW,0.95,1.09,0.91,0.99,0.06,6.45,"923,975",2.14,0.9,...,...,...,-5.71,Friday,Friday,2018/04/27
137811,707,Sunworks,SUNW,1.0,1.0,0.92,0.94,-0.05,-4.85,"159,300",2.14,0.9,...,...,...,-10.29,Monday,Monday,2018/04/30
137812,673,Sunworks,SUNW,0.97,0.97,0.93,0.94,-0.00,-0.21,"82,909",2.14,0.90,...,...,...,-10.48,Tuesday,Tuesday,2018/05/01
137813,691,Sunworks,SUNW,0.93,0.94,0.92,0.92,-0.02,-1.91,"16,234",2.14,0.90,...,...,...,-12.19,Thursday,Thursday,2018/05/03
137814,686,Sunworks,SUNW,0.95,1.01,0.92,1.01,0.09,9.54,"130,073",2.14,0.90,...,...,...,-3.81,Friday,Friday,2018/05/04
137815,723,Sunworks,SUNW,1.00,1.10,1.0,1.06,0.05,4.95,"223,323",2.14,0.90,...,...,...,0.95,Monday,Monday,2018/05/07
137816,690,Sunworks,SUNW,1.07,1.09,1.02,1.07,0.01,0.94,"71,031",2.14,0.9,...,...,...,1.90,Tuesday,Tuesday,2018/05/08
137817,710,Sunworks,SUNW,1.07,1.19,1.02,1.14,0.07,6.54,"366,645",2.14,0.9,...,...,...,8.57,Wednesday,Wednesday,2018/05/09
137818,702,Sunworks,SUNW,1.19,1.19,1.14,1.19,0.05,4.39,"291,065",2.14,0.90,...,...,...,13.33,Thursday,Thursday,2018/05/10
137819,700,Sunworks,SUNW,1.19,1.22,1.15,1.2,0.01,0.84,"159,961",2.14,0.90,...,...,...,14.29,Friday,Friday,2018/05/11
137820,703,Sunworks,SUNW,1.28,1.3,1.19,1.24,0.04,3.33,"414,404",2.14,0.90,...,...,...,18.10,Monday,Monday,2018/05/14
137821,699,Sunworks,SUNW,1.25,1.25,1.2,1.25,0.01,0.81,"270,708",2.14,0.90,...,...,...,19.05,Tuesday,Tuesday,2018/05/15
137822,695,Sunworks,SUNW,1.25,1.26,1.15,1.15,-0.10,-8.00,"273,410",2.14,0.90,...,...,...,9.52,Wednesday,Wednesday,2018/05/16
137823,683,Sunworks,SUNW,1.15,1.23,1.15,1.17,0.02,1.43,"131,666",2.14,0.90,...,...,...,11.10,Thursday,Thursday,2018/05/17
137824,683,Sunworks,SUNW,1.18,1.2,1.14,1.17,...,0.30,"157,272",2.14,0.90,...,...,...,11.43,Friday,Friday,2018/05/18
137825,699,Sunworks,SUNW,1.12,1.16,0.95,1.11,-0.06,-5.13,"280,304",2.14,0.90,...,...,...,5.71,Monday,Monday,2018/05/21
137826,696,Sunworks,SUNW,1.08,1.14,1.08,1.13,0.02,1.80,"83,361",2.14,0.90,...,...,...,7.62,Tuesday,Tuesday,2018/05/22
137827,699,Sunworks,SUNW,1.13,1.13,1.1,1.12,-0.01,-0.91,"66,790",2.14,0.90,...,...,...,6.64,Wednesday,Wednesday,2018/05/23
137828,697,Sunworks,SUNW,1.13,1.14,1.08,1.11,-0.01,-0.87,"82,617",2.14,0.90,...,...,...,5.71,Thursday,Thursday,2018/05/24
137829,681,Sunworks,SUNW,1.11,1.14,1.11,1.14,0.03,2.70,"50,998",2.14,0.90,...,...,...,8.57,Friday,Friday,2018/05/25
137830,687,Sunworks,SUNW,1.14,1.14,1.1,1.12,-0.02,-1.75,"108,843",2.14,0.90,...,...,...,6.67,Tuesday,Tuesday,2018/05/29
137831,699,Sunworks,SUNW,1.11,1.14,1.08,1.09,-0.03,-2.68,"95,633",2.14,0.90,...,...,...,3.81,Wednesday,Wednesday,2018/05/30
137832,707,Sunworks,SUNW,1.09,1.15,1.09,1.14,0.05,4.59,"75,431",2.14,0.90,...,...,...,8.57,Thursday,Thursday,2018/05/31
137833,706,Sunworks,SUNW,1.14,1.16,1.09,1.16,0.02,1.75,"104,856",2.14,0.90,...,...,...,10.48,Friday,Friday,2018/06/01
