,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
137996,657,Severn Bancorp,SVBI,7.35,7.35,7.20,7.20,-0.15,-2.04,"8,424",8.20,6.70,0.12,1.67,37.89,-0.76,Thursday,Thursday,2018/03/29
137997,642,Severn Bancorp,SVBI,7.3,7.47,7.25,7.28,0.03,0.38,"14,618",8.20,6.70,0.12,1.65,38.30,0.31,Wednesday,Wednesday,2018/04/11
137998,635,Severn Bancorp,SVBI,7.4,7.4,7.3,7.35,0.07,1.00,"6,174",8.2,6.7,0.12,1.63,38.68,1.31,Thursday,Thursday,2018/04/12
137999,645,Severn Bancorp,SVBI,7.25,7.25,7.21,7.25,...,...,"23,106",8.2,6.7,0.12,1.66,38.16,-0.07,Tuesday,Tuesday,2018/04/17
138000,654,Severn Bancorp,SVBI,7.3,7.3,7.2,7.2,-0.05,-0.69,"3,913",8.20,6.70,0.12,1.67,37.89,-0.76,Wednesday,Wednesday,2018/04/18
138001,634,Severn Bancorp,SVBI,7.25,7.4,7.25,7.4,0.20,2.78,"6,202",8.2,6.7,0.12,1.62,38.95,2.00,Thursday,Thursday,2018/04/19
138002,639,Severn Bancorp,SVBI,7.35,7.49,7.32,7.4,...,...,"4,231",8.20,6.70,0.12,1.62,38.95,2.00,Friday,Friday,2018/04/20
138003,647,Severn Bancorp,SVBI,7.45,7.64,7.45,7.6,0.20,2.70,"12,737",8.2,6.7,0.12,1.58,40.00,4.76,Tuesday,Tuesday,2018/04/24
138004,637,Severn Bancorp,SVBI,7.57,7.64,7.4,7.49,-0.11,-1.45,"4,588",8.20,6.70,0.12,1.60,26.75,3.24,Wednesday,Wednesday,2018/04/25
138005,631,Severn Bancorp,SVBI,7.55,7.55,7.45,7.5,...,...,"4,245",8.2,6.7,0.12,1.60,26.79,3.38,Friday,Friday,2018/04/27
138006,657,Severn Bancorp,SVBI,7.55,7.58,7.5,7.55,0.05,0.67,"4,030",8.2,6.7,0.12,1.59,26.96,4.07,Monday,Monday,2018/04/30
138007,623,Severn Bancorp,SVBI,7.55,7.6,7.35,7.6,0.05,0.66,"6,572",8.20,6.70,0.12,1.58,27.14,4.76,Tuesday,Tuesday,2018/05/01
138008,643,Severn Bancorp,SVBI,7.45,7.52,7.45,7.45,...,...,528,8.20,6.70,0.12,1.61,26.61,2.69,Thursday,Thursday,2018/05/03
138009,638,Severn Bancorp,SVBI,7.48,7.55,7.48,7.55,0.10,1.34,"1,678",8.20,6.70,0.12,1.59,26.96,4.07,Friday,Friday,2018/05/04
138010,672,Severn Bancorp,SVBI,7.61,7.70,7.61,7.7,0.15,1.99,"3,089",8.20,6.70,0.12,1.56,27.50,6.13,Monday,Monday,2018/05/07
138011,640,Severn Bancorp,SVBI,7.64,7.64,7.6,7.6,-0.10,-1.30,"1,292",8.2,6.7,0.12,1.58,27.14,4.76,Tuesday,Tuesday,2018/05/08
138012,660,Severn Bancorp,SVBI,7.7,7.95,7.65,7.95,0.35,4.61,"8,831",8.2,6.7,0.12,1.51,28.39,9.58,Wednesday,Wednesday,2018/05/09
