,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
138545,713,Taitron Components Cl A,TAIT,1.49,1.52,1.49,1.52,0.02,1.03,"5,017",2.13,1.13,0.10,6.60,...,-9.80,Thursday,Thursday,2018/03/29
138546,699,Taitron Components Cl A,TAIT,1.4,1.42,1.36,1.37,-0.03,-1.89,"38,384",2.13,1.13,0.10,7.28,9.81,-18.24,Wednesday,Wednesday,2018/04/11
138547,691,Taitron Components Cl A,TAIT,1.39,1.43,1.38,1.43,0.06,4.11,"13,140",2.13,1.13,0.10,6.99,10.21,-14.89,Thursday,Thursday,2018/04/12
138548,701,Taitron Components Cl A,TAIT,1.4,1.42,1.38,1.4,-0.01,-0.96,"2,629",2.13,1.13,0.10,7.16,9.97,-16.89,Tuesday,Tuesday,2018/04/17
138549,708,Taitron Components Cl A,TAIT,1.37,1.39,1.35,1.35,-0.05,-3.32,"1,446",2.13,1.13,0.10,7.41,9.64,-19.65,Wednesday,Wednesday,2018/04/18
138550,686,Taitron Components Cl A,TAIT,1.35,1.37,1.35,1.37,0.02,1.50,"1,512",2.13,1.13,0.10,7.30,9.79,-18.45,Thursday,Thursday,2018/04/19
138551,693,Taitron Components Cl A,TAIT,1.38,1.38,1.36,1.36,-0.01,-0.74,"26,221",2.13,1.13,0.10,7.35,9.71,-19.05,Friday,Friday,2018/04/20
138552,703,Taitron Components Cl A,TAIT,1.36,1.42,1.35,1.35,-0.02,-1.46,"17,059",2.13,1.13,0.10,7.41,9.64,-19.65,Tuesday,Tuesday,2018/04/24
138553,693,Taitron Components Cl A,TAIT,1.36,1.39,1.35,1.39,0.04,2.96,"6,399",2.13,1.13,0.10,7.19,9.93,-17.27,Wednesday,Wednesday,2018/04/25
138554,687,Taitron Components Cl A,TAIT,1.38,1.42,1.37,1.37,-0.02,-1.44,"22,079",2.13,1.13,0.10,7.30,9.79,-18.46,Friday,Friday,2018/04/27
138555,713,Taitron Components Cl A,TAIT,1.37,1.37,1.35,1.36,-0.01,-0.73,"16,583",2.13,1.13,0.10,7.35,9.71,-19.05,Monday,Monday,2018/04/30
138556,679,Taitron Components Cl A,TAIT,1.37,1.38,1.37,1.37,0.01,0.74,"1,770",2.13,1.13,0.10,7.30,9.79,-18.46,Tuesday,Tuesday,2018/05/01
138557,697,Taitron Components Cl A,TAIT,1.38,1.5,1.38,1.42,0.05,3.65,"15,855",2.13,1.13,0.10,7.04,10.14,-15.48,Thursday,Thursday,2018/05/03
138558,692,Taitron Components Cl A,TAIT,1.44,1.46,1.37,1.44,0.02,1.41,"50,391",2.13,1.13,0.10,6.94,10.29,-14.29,Friday,Friday,2018/05/04
138559,729,Taitron Components Cl A,TAIT,1.47,1.54,1.45,1.53,0.09,6.25,"46,794",2.13,1.15,0.10,6.54,10.93,-8.93,Monday,Monday,2018/05/07
138560,696,Taitron Components Cl A,TAIT,1.54,1.54,1.52,1.52,-0.01,-0.65,"19,480",2.13,1.15,0.10,6.58,10.86,-9.53,Tuesday,Tuesday,2018/05/08
138561,716,Taitron Components Cl A,TAIT,1.52,1.58,1.52,1.58,0.06,3.74,"39,627",2.13,1.15,0.10,6.34,11.26,-6.14,Wednesday,Wednesday,2018/05/09
138562,708,Taitron Components Cl A,TAIT,1.58,1.58,1.52,1.52,-0.06,-3.60,"9,097",2.13,1.15,0.10,6.58,10.86,-9.52,Thursday,Thursday,2018/05/10
138563,706,Taitron Components Cl A,TAIT,1.54,1.63,1.54,1.58,0.06,3.93,"83,236",2.13,1.16,0.10,6.33,11.29,-5.96,Friday,Friday,2018/05/11
138564,709,Taitron Components Cl A,TAIT,1.67,1.73,1.62,1.71,0.16,9.97,"184,464",2.13,1.16,0.10,5.85,12.21,1.78,Monday,Monday,2018/05/14
138565,705,Taitron Components Cl A,TAIT,1.79,1.79,1.65,1.72,0.01,0.58,"66,969",2.13,1.22,0.10,5.81,12.29,2.37,Tuesday,Tuesday,2018/05/15
138566,701,Taitron Components Cl A,TAIT,1.56,1.59,1.5,1.57,-0.15,-8.72,"83,263",2.13,1.22,0.10,6.37,11.21,-6.55,Wednesday,Wednesday,2018/05/16
138567,689,Taitron Components Cl A,TAIT,1.57,1.61,1.57,1.59,0.02,1.26,"8,618",2.13,1.22,0.10,6.29,15.90,-5.37,Thursday,Thursday,2018/05/17
138568,689,Taitron Components Cl A,TAIT,1.61,1.61,1.6,1.6,0.01,0.64,"4,810",2.13,1.22,0.10,6.25,16.00,-4.77,Friday,Friday,2018/05/18
138569,705,Taitron Components Cl A,TAIT,1.64,1.77,1.60,1.69,0.09,5.62,"16,114",2.13,1.22,0.10,5.92,16.90,0.59,Monday,Monday,2018/05/21
138570,702,Taitron Components Cl A,TAIT,1.69,1.69,1.64,1.66,-0.03,-1.77,"13,272",2.13,1.22,0.10,6.02,16.60,-1.19,Tuesday,Tuesday,2018/05/22
138571,705,Taitron Components Cl A,TAIT,1.7,1.71,1.64,1.67,0.01,0.60,"3,478",2.13,1.22,0.10,5.99,16.70,-0.60,Wednesday,Wednesday,2018/05/23
138572,703,Taitron Components Cl A,TAIT,1.7,1.73,1.66,1.66,-0.01,-0.39,"8,422",2.13,1.22,0.10,6.01,16.64,-0.99,Thursday,Thursday,2018/05/24
138573,687,Taitron Components Cl A,TAIT,1.68,1.71,1.67,1.71,0.05,2.80,"9,724",2.13,1.22,0.10,5.85,17.10,1.78,Friday,Friday,2018/05/25
138574,693,Taitron Components Cl A,TAIT,1.72,1.72,1.64,1.7,-0.01,-0.35,"5,793",2.13,1.22,0.10,5.87,17.04,1.42,Tuesday,Tuesday,2018/05/29
138575,705,Taitron Components Cl A,TAIT,1.72,1.74,1.7,1.7,-0.00,-0.23,"8,038",2.13,1.22,0.10,5.88,17.00,1.18,Wednesday,Wednesday,2018/05/30
138576,713,Taitron Components Cl A,TAIT,1.7,1.71,1.68,1.71,0.01,0.53,"20,620",2.13,1.22,0.10,5.85,17.09,1.72,Thursday,Thursday,2018/05/31
138577,712,Taitron Components Cl A,TAIT,1.74,1.75,1.67,1.70,-0.01,-0.53,"5,372",2.13,1.22,0.10,5.88,17.00,1.18,Friday,Friday,2018/06/01
138578,694,Taitron Components Cl A,TAIT,1.70,1.75,1.66,1.73,0.03,1.76,"28,228",2.13,1.22,0.10,5.78,17.30,2.96,Monday,Monday,2018/06/04
138579,711,Taitron Components Cl A,TAIT,1.70,1.73,1.69,1.69,-0.04,-2.31,"3,959",2.13,1.22,0.10,5.92,16.90,0.59,Tuesday,Tuesday,2018/06/05
138580,722,Taitron Components Cl A,TAIT,1.67,1.73,1.66,1.67,-0.02,-1.18,"26,698",2.13,1.22,0.10,5.99,16.70,-0.60,Wednesday,Wednesday,2018/06/06
138581,711,Taitron Components Cl A,TAIT,1.67,1.72,1.67,1.7,0.03,2.08,"4,387",2.13,1.22,0.10,5.87,17.05,1.47,Thursday,Thursday,2018/06/07
138582,700,Taitron Components Cl A,TAIT,1.7,1.7,1.66,1.66,-0.04,-2.63,"5,899",2.13,1.22,0.10,6.02,16.60,-1.20,Friday,Friday,2018/06/08
138583,703,Taitron Components Cl A,TAIT,1.66,1.68,1.66,1.68,0.02,1.20,"2,495",2.13,1.22,0.10,5.95,16.80,-0.01,Monday,Monday,2018/06/11
