,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
144384,724,Therapix Biosciences ADR,TRPX,5.59,5.71,5.59,5.70,0.11,1.97,"27,701",8.65,4.26,...,...,...,6.74,Thursday,Thursday,2018/03/29
144385,710,Therapix Biosciences ADR,TRPX,5.39,5.39,4.74,5.03,-0.30,-5.63,"141,623",8.06,4.26,...,...,...,-5.81,Wednesday,Wednesday,2018/04/11
144386,702,Therapix Biosciences ADR,TRPX,5.15,5.15,4.84,4.88,-0.15,-2.98,"106,179",7.84,4.26,...,...,...,-8.61,Thursday,Thursday,2018/04/12
144387,712,Therapix Biosciences ADR,TRPX,5.19,5.19,4.9,5.0,-0.15,-2.91,"45,243",7.83,4.26,...,...,...,-6.37,Tuesday,Tuesday,2018/04/17
144388,719,Therapix Biosciences ADR,TRPX,5.04,5.04,4.83,4.96,-0.04,-0.80,"47,431",7.80,4.26,...,...,...,-7.12,Wednesday,Wednesday,2018/04/18
144389,697,Therapix Biosciences ADR,TRPX,4.92,5.03,4.8,4.84,-0.12,-2.42,"52,373",7.8,4.26,...,...,...,-9.36,Thursday,Thursday,2018/04/19
144390,704,Therapix Biosciences ADR,TRPX,4.85,4.9,4.79,4.8,-0.04,-0.83,"14,438",7.80,4.26,...,...,...,-10.11,Friday,Friday,2018/04/20
144391,714,Therapix Biosciences ADR,TRPX,4.9,4.9,4.6,4.77,-0.08,-1.65,"43,848",7.74,4.26,...,...,...,-10.67,Tuesday,Tuesday,2018/04/24
144392,704,Therapix Biosciences ADR,TRPX,4.8,4.87,4.61,4.84,0.07,1.38,"38,248",7.74,4.26,...,...,...,-9.44,Wednesday,Wednesday,2018/04/25
144393,698,Therapix Biosciences ADR,TRPX,4.4,4.49,4.17,4.26,-0.14,-3.18,"36,935",7.74,4.17,...,...,...,-20.22,Friday,Friday,2018/04/27
144394,724,Therapix Biosciences ADR,TRPX,4.32,4.49,4.27,4.29,0.03,0.74,"9,418",7.74,4.17,...,...,...,-19.63,Monday,Monday,2018/04/30
144395,690,Therapix Biosciences ADR,TRPX,4.36,4.39,4.25,4.29,-0.00,-0.03,"15,846",7.73,4.17,...,...,...,-19.66,Tuesday,Tuesday,2018/05/01
144396,708,Therapix Biosciences ADR,TRPX,4.08,4.19,4.05,4.11,...,...,"25,089",7.73,4.00,...,...,...,-23.03,Thursday,Thursday,2018/05/03
144397,703,Therapix Biosciences ADR,TRPX,4.11,4.3,4.06,4.08,-0.03,-0.73,"11,401",7.69,4.00,...,...,...,-23.60,Friday,Friday,2018/05/04
144398,740,Therapix Biosciences ADR,TRPX,4.08,4.19,4.07,4.18,0.10,2.45,"16,801",7.69,4.00,...,...,...,-21.72,Monday,Monday,2018/05/07
144399,707,Therapix Biosciences ADR,TRPX,4.22,4.26,4.11,4.13,-0.05,-1.20,"5,787",7.69,4.0,...,...,...,-22.66,Tuesday,Tuesday,2018/05/08
144400,727,Therapix Biosciences ADR,TRPX,4.14,4.19,3.84,3.95,-0.18,-4.36,"25,207",7.69,3.84,...,...,...,-26.03,Wednesday,Wednesday,2018/05/09
144401,719,Therapix Biosciences ADR,TRPX,4.0,4.09,4.00,4.01,0.06,1.52,"21,869",7.69,3.84,...,...,...,-24.91,Thursday,Thursday,2018/05/10
144402,717,Therapix Biosciences ADR,TRPX,4.03,4.45,4.03,4.31,0.30,7.48,"18,874",7.69,3.84,...,...,...,-19.29,Friday,Friday,2018/05/11
144403,720,Therapix Biosciences ADR,TRPX,4.37,4.45,4.35,4.4,0.09,2.09,"15,471",7.69,3.84,...,...,...,-17.60,Monday,Monday,2018/05/14
144404,716,Therapix Biosciences ADR,TRPX,4.47,4.47,4.24,4.41,0.01,0.23,"13,664",7.69,3.84,...,...,...,-17.42,Tuesday,Tuesday,2018/05/15
144405,712,Therapix Biosciences ADR,TRPX,4.4,4.4,4.26,4.33,-0.08,-1.81,"7,562",7.69,3.84,...,...,...,-18.91,Wednesday,Wednesday,2018/05/16
144406,700,Therapix Biosciences ADR,TRPX,4.34,4.49,4.34,4.38,0.05,1.26,"20,467",7.69,3.84,...,...,...,-17.90,Thursday,Thursday,2018/05/17
144407,700,Therapix Biosciences ADR,TRPX,4.39,4.48,4.06,4.44,0.06,1.27,"13,151",7.69,3.84,...,...,...,-16.85,Friday,Friday,2018/05/18
144408,716,Therapix Biosciences ADR,TRPX,4.49,4.7,4.44,4.66,0.22,4.95,"15,781",7.69,3.84,...,...,...,-12.73,Monday,Monday,2018/05/21
