,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
145201,724,Twelve Seas Investment Rt,TWLVR,0.33,0.35,0.3,0.34,0.01,3.64,"4,171,349",...,...,...,...,...,...,Friday,Friday,2018/07/13
145202,735,Twelve Seas Investment Rt,TWLVR,0.35,0.36,0.35,0.35,0.01,2.34,"686,080",...,...,...,...,...,...,Monday,Monday,2018/07/16
145203,746,Twelve Seas Investment Rt,TWLVR,0.35,0.36,0.35,0.36,0.01,2.86,"305,000",0.36,0.30,...,...,...,...,Tuesday,Tuesday,2018/07/17
145204,739,Twelve Seas Investment Rt,TWLVR,0.36,0.36,0.36,0.36,...,...,"550,600",0.36,0.30,...,...,...,...,Wednesday,Wednesday,2018/07/18
145205,746,Twelve Seas Investment Rt,TWLVR,0.38,0.45,0.36,0.4,0.04,11.11,"1,201,723",0.45,0.30,...,...,...,...,Thursday,Thursday,2018/07/19
145206,727,Twelve Seas Investment Rt,TWLVR,0.37,0.37,0.37,0.37,-0.03,-7.50,"102,400",0.45,0.3,...,...,...,...,Friday,Friday,2018/07/20
145207,731,Twelve Seas Investment Rt,TWLVR,0.4,0.4,0.40,0.4,0.03,8.11,"303,500",0.45,0.30,...,...,...,...,Monday,Monday,2018/07/23
145208,745,Twelve Seas Investment Rt,TWLVR,0.41,0.41,0.41,0.41,0.01,1.32,"723,927",0.45,0.30,...,...,...,...,Tuesday,Tuesday,2018/07/24
145209,757,Twelve Seas Investment Rt,TWLVR,0.45,0.45,0.42,0.42,0.01,3.60,"10,900",0.45,0.30,...,...,...,...,Thursday,Thursday,2018/07/26
145210,730,Twelve Seas Investment Rt,TWLVR,0.41,0.41,0.41,0.41,-0.01,-2.36,100,0.45,0.30,...,...,...,...,Friday,Friday,2018/07/27
145211,744,Twelve Seas Investment Rt,TWLVR,0.41,0.41,0.41,0.41,...,...,"19,900",0.45,0.30,...,...,...,...,Monday,Monday,2018/07/30
145212,755,Twelve Seas Investment Rt,TWLVR,0.4,0.4,0.4,0.4,-0.01,-2.44,"310,100",0.45,0.30,...,...,...,...,Thursday,Thursday,2018/08/02
145213,737,Twelve Seas Investment Rt,TWLVR,0.42,0.42,0.42,0.42,0.02,5.00,"5,000",0.45,0.30,...,...,...,...,Monday,Monday,2018/08/06
145214,744,Twelve Seas Investment Rt,TWLVR,0.4,0.4,0.40,0.40,-0.02,-4.76,"26,000",0.45,0.30,...,...,...,...,Tuesday,Tuesday,2018/08/07
145215,742,Twelve Seas Investment Rt,TWLVR,0.4,0.4,0.40,0.4,...,...,"50,000",0.45,0.30,...,...,...,...,Wednesday,Wednesday,2018/08/08
145216,762,Twelve Seas Investment Rt,TWLVR,0.40,0.41,0.40,0.41,0.01,2.50,"10,000",0.45,0.30,...,...,...,...,Tuesday,Tuesday,2018/08/14
145217,766,Twelve Seas Investment Rt,TWLVR,0.41,0.43,0.41,0.41,...,...,"388,800",0.45,0.30,...,...,...,...,Monday,Monday,2018/08/20
145218,764,Twelve Seas Investment Rt,TWLVR,0.41,0.41,0.41,0.41,...,...,"3,000",0.45,0.30,...,...,...,...,Monday,Monday,2018/08/27
145219,759,Twelve Seas Investment Rt,TWLVR,0.44,0.44,0.44,0.44,0.03,7.32,"10,000",0.45,0.30,...,...,...,...,Tuesday,Tuesday,2018/08/28
145220,747,Twelve Seas Investment Rt,TWLVR,0.42,0.42,0.42,0.42,-0.02,-4.55,"1,000",0.45,0.30,...,...,...,...,Wednesday,Wednesday,2018/09/05
145221,752,Twelve Seas Investment Rt,TWLVR,0.40,0.40,0.40,0.40,-0.02,-4.76,"325,000",0.45,0.30,...,...,...,...,Friday,Friday,2018/09/07
145222,752,Twelve Seas Investment Rt,TWLVR,0.4,0.4,0.40,0.40,...,...,"130,000",0.45,0.30,...,...,...,...,Monday,Monday,2018/09/10
145223,757,Twelve Seas Investment Rt,TWLVR,0.40,0.40,0.40,0.40,...,...,100,0.45,0.30,...,...,...,...,Tuesday,Tuesday,2018/09/11
145224,764,Twelve Seas Investment Rt,TWLVR,0.40,0.41,0.40,0.41,0.01,2.50,"65,000",0.45,0.30,...,...,...,...,Wednesday,Wednesday,2018/09/12
145225,786,Twelve Seas Investment Rt,TWLVR,0.41,0.41,0.40,0.41,...,...,"363,500",0.45,0.30,...,...,...,...,Thursday,Thursday,2018/09/20
145226,786,Twelve Seas Investment Rt,TWLVR,0.41,0.41,0.41,0.41,...,...,"1,900,000",0.45,0.30,...,...,...,...,Friday,Friday,2018/09/21
145227,771,Twelve Seas Investment Rt,TWLVR,0.29,0.42,0.29,0.41,-0.01,-2.38,"105,358",0.45,0.29,...,...,...,...,Thursday,Thursday,2018/10/04
145228,751,Twelve Seas Investment Rt,TWLVR,0.36,0.41,0.34,0.41,...,...,"2,100",0.45,0.29,...,...,...,...,Monday,Monday,2018/10/08
145229,770,Twelve Seas Investment Rt,TWLVR,0.35,0.38,0.35,0.38,-0.03,-7.32,"20,100",0.45,0.29,...,...,...,...,Thursday,Thursday,2018/11/08
145230,758,Twelve Seas Investment Rt,TWLVR,0.37,0.38,0.37,0.38,...,...,"2,600",0.45,0.29,...,...,...,...,Wednesday,Wednesday,2018/11/14
145231,767,Twelve Seas Investment Rt,TWLVR,0.37,0.37,0.35,0.37,-0.01,-2.63,"5,224",0.45,0.29,...,...,...,...,Thursday,Thursday,2018/11/15
145232,774,Twelve Seas Investment Rt,TWLVR,0.35,0.38,0.35,0.38,0.01,2.70,"3,000",0.45,0.29,...,...,...,...,Tuesday,Tuesday,2018/11/20
145233,761,Twelve Seas Investment Rt,TWLVR,0.38,0.38,0.38,0.38,...,...,100,0.45,0.29,...,...,...,...,Wednesday,Wednesday,2018/11/21
145234,780,Twelve Seas Investment Rt,TWLVR,0.37,0.37,0.37,0.37,-0.01,-2.63,200,0.45,0.29,...,...,...,...,Monday,Monday,2018/11/26
145235,833,Twelve Seas Investment Rt,TWLVR,0.35,0.38,0.33,0.37,...,...,"52,271",0.45,0.29,...,...,...,...,Friday,Friday,2018/11/30
145236,789,Twelve Seas Investment Rt,TWLVR,0.36,0.36,0.36,0.36,-0.01,-2.70,100,0.45,0.29,...,...,...,...,Monday,Monday,2018/12/03
145237,793,Twelve Seas Investment Rt,TWLVR,0.31,0.35,0.31,0.35,-0.01,-2.78,"1,200",0.45,0.29,...,...,...,...,Thursday,Thursday,2018/12/06
145238,781,Twelve Seas Investment Rt,TWLVR,0.35,0.35,0.33,0.35,...,...,"21,300",0.45,0.29,...,...,...,...,Monday,Monday,2018/12/10
145239,775,Twelve Seas Investment Rt,TWLVR,0.30,0.35,0.30,0.35,...,...,"44,485",0.45,0.29,...,...,...,...,Friday,Friday,2018/12/14
145240,812,Twelve Seas Investment Rt,TWLVR,0.35,0.35,0.35,0.35,...,...,700,0.45,0.29,...,...,...,...,Monday,Monday,2018/12/31
145241,777,Twelve Seas Investment Rt,TWLVR,0.35,0.35,0.35,0.35,...,...,100,0.45,0.29,...,...,...,...,Wednesday,Wednesday,2019/01/09
145242,763,Twelve Seas Investment Rt,TWLVR,0.27,0.3,0.27,0.3,-0.05,-14.29,"1,000",0.45,0.27,...,...,...,-14.29,Thursday,Thursday,2019/01/10
145243,767,Twelve Seas Investment Rt,TWLVR,0.35,0.35,0.30,0.30,...,...,"1,100",0.45,0.27,...,...,...,-14.29,Friday,Friday,2019/01/11
145244,765,Twelve Seas Investment Rt,TWLVR,0.29,0.35,0.29,0.35,0.05,16.67,600,0.45,0.27,...,...,...,...,Monday,Monday,2019/01/14
145245,798,Twelve Seas Investment Rt,TWLVR,0.27,0.3,0.27,0.3,-0.05,-14.29,"3,300",0.45,0.27,...,...,...,-14.29,Friday,Friday,2019/01/18
145246,793,Twelve Seas Investment Rt,TWLVR,0.30,0.30,0.30,0.30,...,...,"3,000",0.45,0.27,...,...,...,-14.29,Tuesday,Tuesday,2019/01/22
145247,763,Twelve Seas Investment Rt,TWLVR,0.30,0.30,0.30,0.30,...,...,"15,000",0.45,0.27,...,...,...,-14.29,Thursday,Thursday,2019/01/24
145248,778,Twelve Seas Investment Rt,TWLVR,0.29,0.29,0.29,0.29,-0.01,-3.33,"2,500",0.45,0.27,...,...,...,-17.14,Friday,Friday,2019/01/25
