,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
155798,766,Xspand Products Lab,XSPL,5.51,6.8,5.25,5.87,0.87,17.40,"598,861",...,...,...,...,...,...,Thursday,Thursday,2018/05/03
155799,761,Xspand Products Lab,XSPL,5.77,6.33,5.61,5.72,-0.15,-2.56,"118,250",6.80,5.00,...,...,...,...,Friday,Friday,2018/05/04
155800,797,Xspand Products Lab,XSPL,5.89,6.00,5.6,5.83,0.11,1.85,"102,636",6.80,5.25,...,...,...,...,Monday,Monday,2018/05/07
155801,763,Xspand Products Lab,XSPL,5.91,5.91,5.41,5.41,-0.42,-7.13,"46,819",6.8,5.25,...,...,...,...,Tuesday,Tuesday,2018/05/08
155802,787,Xspand Products Lab,XSPL,5.46,6.5,5.4,6.3,0.89,16.45,"100,469",6.8,5.25,...,...,...,...,Wednesday,Wednesday,2018/05/09
155803,776,Xspand Products Lab,XSPL,6.49,7.59,5.92,6.79,0.49,7.84,"388,858",7.59,5.25,...,...,...,...,Thursday,Thursday,2018/05/10
155804,772,Xspand Products Lab,XSPL,6.22,7.35,6.2,6.8,0.01,0.09,"127,276",7.59,5.25,...,...,...,...,Friday,Friday,2018/05/11
155805,779,Xspand Products Lab,XSPL,7.28,7.28,6.51,6.65,-0.15,-2.21,"40,055",7.59,5.25,...,...,...,...,Monday,Monday,2018/05/14
155806,774,Xspand Products Lab,XSPL,6.26,7.15,6.25,6.77,0.12,1.80,"100,665",7.59,5.25,...,...,...,...,Tuesday,Tuesday,2018/05/15
155807,771,Xspand Products Lab,XSPL,6.87,6.98,6.36,6.53,-0.24,-3.55,"58,740",7.59,5.25,...,...,...,...,Wednesday,Wednesday,2018/05/16
155808,761,Xspand Products Lab,XSPL,6.6,6.8,6.25,6.52,-0.01,-0.15,"59,342",7.59,5.25,...,...,...,...,Thursday,Thursday,2018/05/17
155809,756,Xspand Products Lab,XSPL,6.5,7.1,6.5,6.99,0.47,7.21,"49,996",7.59,5.25,...,...,...,...,Friday,Friday,2018/05/18
155810,774,Xspand Products Lab,XSPL,7.25,7.25,6.89,7.08,0.09,1.29,"38,583",7.59,5.25,...,...,...,...,Monday,Monday,2018/05/21
155811,776,Xspand Products Lab,XSPL,6.7,8.05,6.5,7.75,0.67,9.46,"326,092",8.05,5.25,...,...,...,...,Tuesday,Tuesday,2018/05/22
155812,777,Xspand Products Lab,XSPL,8.05,9.18,7.8,7.95,0.20,2.58,"362,596",9.18,5.25,...,...,...,...,Wednesday,Wednesday,2018/05/23
155813,772,Xspand Products Lab,XSPL,8.09,8.09,7.29,7.5,-0.45,-5.66,"71,416",9.18,5.25,...,...,...,...,Thursday,Thursday,2018/05/24
