,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
156944,786,ZIOPHARM Oncology,ZIOP,4.0,4.0,3.87,3.92,-0.07,-1.75,"1,205,538",7.88,3.33,...,...,...,-5.31,Thursday,Thursday,2018/03/29
156945,774,ZIOPHARM Oncology,ZIOP,4.28,4.55,4.22,4.51,0.19,4.40,"1,659,176",7.88,3.33,...,...,...,8.94,Wednesday,Wednesday,2018/04/11
156946,765,ZIOPHARM Oncology,ZIOP,4.55,4.7,4.45,4.66,0.15,3.33,"1,192,471",7.88,3.33,...,...,...,12.56,Thursday,Thursday,2018/04/12
156947,773,ZIOPHARM Oncology,ZIOP,4.33,4.49,4.28,4.43,0.10,2.31,"794,078",7.88,3.33,...,...,...,7.00,Tuesday,Tuesday,2018/04/17
156948,781,ZIOPHARM Oncology,ZIOP,4.47,4.55,4.42,4.47,0.04,0.90,"588,061",7.88,3.33,...,...,...,7.97,Wednesday,Wednesday,2018/04/18
156949,759,ZIOPHARM Oncology,ZIOP,4.44,4.51,4.27,4.28,-0.19,-4.25,"779,989",7.88,3.33,...,...,...,3.38,Thursday,Thursday,2018/04/19
156950,767,ZIOPHARM Oncology,ZIOP,4.25,4.37,4.24,4.31,0.03,0.70,"659,809",7.88,3.33,...,...,...,4.11,Friday,Friday,2018/04/20
156951,778,ZIOPHARM Oncology,ZIOP,4.37,4.4,4.2,4.27,-0.07,-1.61,"771,189",7.88,3.33,...,...,...,3.14,Tuesday,Tuesday,2018/04/24
156952,770,ZIOPHARM Oncology,ZIOP,4.29,4.38,4.22,4.32,0.05,1.17,"782,835",7.88,3.33,...,...,...,4.35,Wednesday,Wednesday,2018/04/25
156953,758,ZIOPHARM Oncology,ZIOP,4.43,4.47,4.33,4.46,0.05,1.13,"569,750",7.8,3.33,...,...,...,7.73,Friday,Friday,2018/04/27
156954,789,ZIOPHARM Oncology,ZIOP,4.47,4.47,4.22,4.22,-0.24,-5.38,"636,541",7.8,3.33,...,...,...,1.93,Monday,Monday,2018/04/30
156955,753,ZIOPHARM Oncology,ZIOP,4.25,4.31,4.13,4.31,0.09,2.13,"673,448",7.80,3.33,...,...,...,4.11,Tuesday,Tuesday,2018/05/01
156956,772,ZIOPHARM Oncology,ZIOP,4.29,4.4,4.23,4.25,-0.08,-1.85,"676,354",7.80,3.33,...,...,...,2.66,Thursday,Thursday,2018/05/03
156957,767,ZIOPHARM Oncology,ZIOP,4.24,4.44,4.22,4.41,0.16,3.76,"693,579",7.80,3.33,...,...,...,6.52,Friday,Friday,2018/05/04
156958,804,ZIOPHARM Oncology,ZIOP,4.45,4.63,4.43,4.62,0.21,4.76,"832,442",7.80,3.33,...,...,...,11.59,Monday,Monday,2018/05/07
156959,770,ZIOPHARM Oncology,ZIOP,4.59,4.65,4.54,4.59,-0.03,-0.65,"551,539",7.8,3.33,...,...,...,10.87,Tuesday,Tuesday,2018/05/08
156960,794,ZIOPHARM Oncology,ZIOP,4.57,4.64,4.52,4.61,0.02,0.44,"628,715",7.8,3.33,...,...,...,11.35,Wednesday,Wednesday,2018/05/09
156961,783,ZIOPHARM Oncology,ZIOP,4.64,4.71,4.49,4.51,-0.10,-2.17,"730,724",7.8,3.33,...,...,...,8.94,Thursday,Thursday,2018/05/10
156962,778,ZIOPHARM Oncology,ZIOP,4.19,4.47,4.05,4.37,-0.14,-3.10,"2,921,646",7.80,3.33,...,...,...,5.56,Friday,Friday,2018/05/11
156963,786,ZIOPHARM Oncology,ZIOP,4.37,4.42,4.29,4.42,0.05,1.14,"1,108,385",7.74,3.33,...,...,...,6.76,Monday,Monday,2018/05/14
156964,781,ZIOPHARM Oncology,ZIOP,4.46,4.68,4.43,4.52,0.10,2.26,"1,304,323",7.58,3.33,...,...,...,9.18,Tuesday,Tuesday,2018/05/15
156965,778,ZIOPHARM Oncology,ZIOP,4.52,4.54,4.37,4.51,-0.01,-0.22,"1,082,315",7.55,3.33,...,...,...,8.94,Wednesday,Wednesday,2018/05/16
156966,768,ZIOPHARM Oncology,ZIOP,4.5,4.55,4.38,4.45,-0.06,-1.33,"748,793",7.55,3.33,...,...,...,7.49,Thursday,Thursday,2018/05/17
156967,763,ZIOPHARM Oncology,ZIOP,4.5,4.5,4.4,4.47,0.02,0.45,"560,286",7.55,3.33,...,...,...,7.97,Friday,Friday,2018/05/18
156968,780,ZIOPHARM Oncology,ZIOP,4.51,4.54,4.32,4.34,-0.13,-2.91,"883,701",7.12,3.33,...,...,...,4.83,Monday,Monday,2018/05/21
156969,782,ZIOPHARM Oncology,ZIOP,4.35,4.41,4.32,4.39,0.05,1.15,"685,312",7.09,3.33,...,...,...,6.04,Tuesday,Tuesday,2018/05/22
156970,783,ZIOPHARM Oncology,ZIOP,4.38,4.42,4.35,4.39,...,...,"339,362",7.09,3.33,...,...,...,6.04,Wednesday,Wednesday,2018/05/23
156971,778,ZIOPHARM Oncology,ZIOP,4.38,4.55,4.33,4.51,0.12,2.73,"707,061",7.00,3.33,...,...,...,8.94,Thursday,Thursday,2018/05/24
156972,763,ZIOPHARM Oncology,ZIOP,4.52,4.58,4.49,4.51,...,...,"564,940",6.67,3.33,...,...,...,8.94,Friday,Friday,2018/05/25
156973,770,ZIOPHARM Oncology,ZIOP,4.51,4.58,4.4,4.42,-0.09,-2.00,"839,331",6.67,3.33,...,...,...,6.76,Tuesday,Tuesday,2018/05/29
156974,783,ZIOPHARM Oncology,ZIOP,4.55,4.97,4.46,4.94,0.52,11.76,"2,650,436",6.67,3.33,...,...,...,19.32,Wednesday,Wednesday,2018/05/30
156975,788,ZIOPHARM Oncology,ZIOP,4.93,5.0,4.8,4.9,-0.04,-0.81,"1,346,865",6.67,3.33,...,...,...,18.36,Thursday,Thursday,2018/05/31
156976,792,ZIOPHARM Oncology,ZIOP,4.94,4.97,4.84,4.89,-0.01,-0.20,"935,727",6.67,3.33,...,...,...,18.12,Friday,Friday,2018/06/01
156977,771,ZIOPHARM Oncology,ZIOP,4.88,4.9,4.43,4.47,-0.42,-8.59,"1,555,881",6.67,3.33,...,...,...,7.97,Monday,Monday,2018/06/04
156978,790,ZIOPHARM Oncology,ZIOP,4.50,4.55,4.35,4.42,-0.05,-1.12,"1,239,066",6.67,3.33,...,...,...,6.76,Tuesday,Tuesday,2018/06/05
156979,804,ZIOPHARM Oncology,ZIOP,4.45,4.53,4.41,4.43,0.01,0.23,"609,125",6.67,3.33,...,...,...,7.00,Wednesday,Wednesday,2018/06/06
156980,790,ZIOPHARM Oncology,ZIOP,4.43,4.48,4.33,4.33,-0.10,-2.26,"682,918",6.67,3.33,...,...,...,4.59,Thursday,Thursday,2018/06/07
156981,776,ZIOPHARM Oncology,ZIOP,4.33,4.38,4.25,4.27,-0.06,-1.39,"839,725",6.67,3.33,...,...,...,3.14,Friday,Friday,2018/06/08
156982,785,ZIOPHARM Oncology,ZIOP,4.25,4.38,4.21,4.37,0.10,2.34,"774,470",6.67,3.33,...,...,...,5.56,Monday,Monday,2018/06/11
156983,783,ZIOPHARM Oncology,ZIOP,4.37,4.41,4.28,4.33,-0.04,-0.92,"487,180",6.67,3.33,...,...,...,4.59,Tuesday,Tuesday,2018/06/12
156984,786,ZIOPHARM Oncology,ZIOP,4.3,4.38,4.23,4.26,-0.07,-1.62,"625,822",6.67,3.33,...,...,...,2.90,Wednesday,Wednesday,2018/06/13
156985,789,ZIOPHARM Oncology,ZIOP,4.21,4.28,4.13,4.27,0.01,0.23,"913,962",6.67,3.33,...,...,...,3.14,Thursday,Thursday,2018/06/14
156986,778,ZIOPHARM Oncology,ZIOP,4.25,4.36,4.24,4.3,0.03,0.70,"2,823,230",6.67,3.33,...,...,...,3.86,Friday,Friday,2018/06/15
156987,779,ZIOPHARM Oncology,ZIOP,4.0,4.03,3.39,3.51,-0.79,-18.37,"5,003,667",6.67,3.33,...,...,...,-15.22,Monday,Monday,2018/06/18
