,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
157333,788,Zosano Pharma,ZSAN,5.03,5.33,4.91,5.04,-4.13,-45.04,"6,282,906",41.60,3.61,...,...,...,-51.54,Thursday,Thursday,2018/03/29
157334,776,Zosano Pharma,ZSAN,4.76,4.95,4.75,4.82,0.02,0.42,"507,685",35.40,3.61,...,...,...,-53.65,Wednesday,Wednesday,2018/04/11
157335,767,Zosano Pharma,ZSAN,4.84,4.91,4.82,4.85,0.03,0.62,"488,869",35.4,3.61,...,...,...,-53.37,Thursday,Thursday,2018/04/12
157336,775,Zosano Pharma,ZSAN,4.26,4.35,4.14,4.31,0.07,1.65,"680,490",35.4,3.61,...,...,...,-58.56,Tuesday,Tuesday,2018/04/17
157337,783,Zosano Pharma,ZSAN,4.39,4.63,4.25,4.34,0.03,0.70,"1,214,774",35.40,3.61,...,...,...,-58.27,Wednesday,Wednesday,2018/04/18
157338,761,Zosano Pharma,ZSAN,4.3,4.33,4.21,4.27,-0.07,-1.61,"656,189",35.4,3.61,...,...,...,-58.94,Thursday,Thursday,2018/04/19
157339,769,Zosano Pharma,ZSAN,4.24,4.27,4.1,4.24,-0.03,-0.70,"522,696",35.40,3.61,...,...,...,-59.23,Friday,Friday,2018/04/20
157340,780,Zosano Pharma,ZSAN,4.16,4.3,4.12,4.18,0.04,0.97,"289,238",35.4,3.61,...,...,...,-59.81,Tuesday,Tuesday,2018/04/24
157341,772,Zosano Pharma,ZSAN,4.15,4.21,4.05,4.2,0.02,0.48,"299,109",35.40,3.61,...,...,...,-59.62,Wednesday,Wednesday,2018/04/25
157342,760,Zosano Pharma,ZSAN,4.15,4.25,4.1,4.22,0.04,0.96,"236,603",35.4,3.61,...,...,...,-59.42,Friday,Friday,2018/04/27
157343,791,Zosano Pharma,ZSAN,4.25,4.4,4.13,4.28,0.06,1.42,"641,211",35.4,3.61,...,...,...,-58.85,Monday,Monday,2018/04/30
157344,755,Zosano Pharma,ZSAN,4.26,4.47,4.14,4.17,-0.11,-2.57,"733,969",34.33,3.61,...,...,...,-59.90,Tuesday,Tuesday,2018/05/01
157345,774,Zosano Pharma,ZSAN,3.94,3.95,3.8,3.92,-0.03,-0.76,"435,869",33.60,3.61,...,...,...,-62.31,Thursday,Thursday,2018/05/03
157346,769,Zosano Pharma,ZSAN,3.9,4.08,3.81,4.03,0.11,2.81,"226,698",33.60,3.61,...,...,...,-61.25,Friday,Friday,2018/05/04
