,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
737528,1667,Ship Finance International,SFL,14.3,14.45,14.25,14.3,0.15,1.06,"415,377",15.97,12.30,1.40,9.79,...,-7.74,Thursday,Thursday,2018/03/29
737529,1655,Ship Finance International,SFL,14.55,14.75,14.54,14.65,0.05,0.34,"481,825",15.97,12.30,1.40,9.56,...,-5.48,Wednesday,Wednesday,2018/04/11
737530,1659,Ship Finance International,SFL,14.65,14.7,14.6,14.65,...,...,"326,785",15.97,12.30,1.40,9.56,...,-5.48,Thursday,Thursday,2018/04/12
737531,1646,Ship Finance International,SFL,14.7,14.75,14.63,14.75,0.05,0.34,"388,481",15.97,12.30,1.40,9.49,...,-4.84,Tuesday,Tuesday,2018/04/17
737532,1654,Ship Finance International,SFL,14.75,14.9,14.7,14.85,0.10,0.68,"664,901",15.97,12.3,1.40,9.43,...,-4.19,Wednesday,Wednesday,2018/04/18
737533,1657,Ship Finance International,SFL,13.8,14.2,13.7,14.05,-0.80,-5.39,"6,278,886",15.97,12.30,1.40,9.96,...,-9.35,Thursday,Thursday,2018/04/19
737534,1650,Ship Finance International,SFL,14.1,14.1,13.85,14.05,...,...,"2,109,725",15.97,12.30,1.40,9.96,...,-9.35,Friday,Friday,2018/04/20
737535,1658,Ship Finance International,SFL,14.1,14.3,14.05,14.25,0.15,1.06,"1,928,903",15.97,12.30,1.40,9.82,...,-8.06,Tuesday,Tuesday,2018/04/24
737536,1658,Ship Finance International,SFL,14.1,14.2,14.05,14.2,-0.05,-0.35,"469,263",15.97,12.30,1.40,9.86,...,-8.39,Wednesday,Wednesday,2018/04/25
737537,1656,Ship Finance International,SFL,14.3,14.32,14.15,14.25,-0.05,-0.35,"931,416",15.97,12.30,1.40,9.82,...,-8.06,Friday,Friday,2018/04/27
737538,1656,Ship Finance International,SFL,14.25,14.3,14.2,14.25,...,...,"689,966",15.97,12.30,1.40,9.82,...,-8.06,Monday,Monday,2018/04/30
737539,1666,Ship Finance International,SFL,14.25,14.25,14.0,14.25,...,...,"690,948",15.97,12.30,1.40,9.82,...,-8.06,Tuesday,Tuesday,2018/05/01
737540,1658,Ship Finance International,SFL,14.3,14.3,14.15,14.25,-0.05,-0.35,"595,727",15.97,12.30,1.40,9.82,...,-8.06,Thursday,Thursday,2018/05/03
