,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
742864,630,Seanergy Maritime Holdings WT,SHIPW,0.1,0.1,0.1,0.1,0.01,11.11,"14,900",0.34,0.06,...,...,...,-51.34,Wednesday,Wednesday,2018/04/11
742865,641,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.11,0.11,...,...,"3,600",0.34,0.06,...,...,...,-45.30,Wednesday,Wednesday,2018/04/18
742866,622,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.1,0.11,-0.01,-6.49,"15,400",0.34,0.06,...,...,...,-48.86,Thursday,Thursday,2018/04/19
742867,627,Seanergy Maritime Holdings WT,SHIPW,0.12,0.12,0.12,0.12,0.01,12.18,"2,000",0.34,0.06,...,...,...,-42.63,Friday,Friday,2018/04/20
742868,636,Seanergy Maritime Holdings WT,SHIPW,0.12,0.13,0.12,0.13,0.01,6.02,"13,231",0.34,0.06,...,...,...,-39.17,Tuesday,Tuesday,2018/04/24
742869,626,Seanergy Maritime Holdings WT,SHIPW,0.13,0.14,0.13,0.13,0.01,4.00,"12,869",0.34,0.06,...,...,...,-36.74,Wednesday,Wednesday,2018/04/25
742870,649,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.1,0.1,-0.03,-22.31,"5,084",0.34,0.06,...,...,...,-50.85,Wednesday,Wednesday,2018/05/09
742871,642,Seanergy Maritime Holdings WT,SHIPW,0.1,0.1,0.08,0.08,-0.02,-21.19,"16,200",0.34,0.06,...,...,...,-61.27,Thursday,Thursday,2018/05/10
742872,641,Seanergy Maritime Holdings WT,SHIPW,0.1,0.1,0.07,0.07,-0.01,-11.93,"7,000",0.34,0.06,...,...,...,-65.89,Friday,Friday,2018/05/11
742873,640,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,0.01,12.84,"11,000",0.34,0.06,...,...,...,-61.51,Monday,Monday,2018/05/14
742874,637,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,...,1.14,"25,000",0.34,0.06,...,...,...,-61.07,Tuesday,Tuesday,2018/05/15
742875,635,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,...,1.25,"9,100",0.34,0.06,...,...,...,-60.58,Wednesday,Wednesday,2018/05/16
742876,623,Seanergy Maritime Holdings WT,SHIPW,0.07,0.07,0.07,0.07,-0.01,-11.23,"49,000",0.34,0.06,...,...,...,-65.01,Thursday,Thursday,2018/05/17
742877,623,Seanergy Maritime Holdings WT,SHIPW,0.07,0.07,0.07,0.07,-0.00,-2.50,"20,200",0.34,0.06,...,...,...,-65.89,Friday,Friday,2018/05/18
742878,635,Seanergy Maritime Holdings WT,SHIPW,0.07,0.07,0.07,0.07,-0.00,-0.14,"81,680",0.34,0.06,...,...,...,-65.94,Monday,Monday,2018/05/21
742879,626,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,...,7.14,"15,800",0.34,0.06,...,...,...,-63.50,Tuesday,Tuesday,2018/05/29
742880,641,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,0.01,9.33,"1,000",0.34,0.06,...,...,...,-60.10,Thursday,Thursday,2018/05/31
742881,640,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,-0.01,-7.32,"4,000",0.34,0.06,...,...,...,-63.02,Friday,Friday,2018/06/01
742882,629,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,0.01,7.89,250,0.34,0.06,...,...,...,-60.10,Monday,Monday,2018/06/04
742883,638,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.07,0.07,-0.01,-13.29,"5,000",0.34,0.06,...,...,...,-65.40,Tuesday,Tuesday,2018/06/05
742884,653,Seanergy Maritime Holdings WT,SHIPW,0.07,0.07,0.07,0.07,...,...,"7,000",0.34,0.06,...,...,...,-65.40,Wednesday,Wednesday,2018/06/06
742885,643,Seanergy Maritime Holdings WT,SHIPW,0.08,0.09,0.07,0.09,0.02,23.63,"44,317",0.34,0.06,...,...,...,-57.23,Thursday,Thursday,2018/06/07
742886,647,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,-0.01,-12.40,"2,000",0.34,0.06,...,...,...,-62.53,Thursday,Thursday,2018/06/14
742887,628,Seanergy Maritime Holdings WT,SHIPW,0.07,0.07,0.07,0.07,-0.01,-7.14,"1,545",0.34,0.06,...,...,...,-65.21,Tuesday,Tuesday,2018/06/19
742888,636,Seanergy Maritime Holdings WT,SHIPW,0.07,0.07,0.07,0.07,-0.00,-2.10,"7,000",0.34,0.06,...,...,...,-65.94,Wednesday,Wednesday,2018/06/20
742889,644,Seanergy Maritime Holdings WT,SHIPW,0.06,0.06,0.06,0.06,-0.01,-20.00,"2,000",0.34,0.06,...,...,...,-72.75,Thursday,Thursday,2018/06/21
742890,625,Seanergy Maritime Holdings WT,SHIPW,0.06,0.06,0.06,0.06,0.01,12.14,100,0.34,0.06,...,...,...,-69.44,Friday,Friday,2018/06/22
742891,650,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,0.02,27.39,"3,260",0.34,0.06,...,...,...,-61.07,Tuesday,Tuesday,2018/06/26
742892,629,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,...,4.25,"10,480",0.34,0.06,...,...,...,-59.42,Wednesday,Wednesday,2018/06/27
742893,646,Seanergy Maritime Holdings WT,SHIPW,0.08,0.08,0.08,0.08,...,0.12,"9,652",0.34,0.06,...,...,...,-59.37,Thursday,Thursday,2018/06/28
742894,611,Seanergy Maritime Holdings WT,SHIPW,0.09,0.09,0.09,0.09,0.01,8.98,"10,100",0.34,0.06,...,...,...,-55.72,Tuesday,Tuesday,2018/07/03
742895,632,Seanergy Maritime Holdings WT,SHIPW,0.1,0.1,0.1,0.1,0.01,8.79,"3,502",0.34,0.06,...,...,...,-51.82,Thursday,Thursday,2018/07/05
742896,637,Seanergy Maritime Holdings WT,SHIPW,0.1,0.12,0.1,0.12,0.02,21.21,"43,088",0.34,0.06,...,...,...,-41.61,Friday,Friday,2018/07/06
742897,641,Seanergy Maritime Holdings WT,SHIPW,0.12,0.13,0.12,0.13,0.01,8.33,"11,560",0.34,0.06,...,...,...,-36.74,Monday,Monday,2018/07/09
742898,636,Seanergy Maritime Holdings WT,SHIPW,0.12,0.12,0.12,0.12,-0.02,-11.54,"3,000",0.34,0.06,...,...,...,-44.04,Wednesday,Wednesday,2018/07/11
742899,635,Seanergy Maritime Holdings WT,SHIPW,0.14,0.14,0.13,0.14,0.02,21.13,"12,087",0.34,0.06,...,...,...,-32.21,Monday,Monday,2018/07/16
742900,642,Seanergy Maritime Holdings WT,SHIPW,0.14,0.14,0.14,0.14,-0.00,-3.09,"9,047",0.34,0.06,...,...,...,-34.31,Wednesday,Wednesday,2018/07/18
742901,623,Seanergy Maritime Holdings WT,SHIPW,0.12,0.12,0.12,0.12,-0.02,-14.81,"11,000",0.34,0.06,...,...,...,-44.04,Wednesday,Wednesday,2018/07/25
742902,631,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.1,0.1,-0.01,-11.30,"5,000",0.34,0.06,...,...,...,-50.36,Friday,Friday,2018/07/27
742903,628,Seanergy Maritime Holdings WT,SHIPW,0.13,0.14,0.13,0.14,0.04,37.25,"45,600",0.34,0.06,...,...,...,-31.87,Friday,Friday,2018/08/03
742904,638,Seanergy Maritime Holdings WT,SHIPW,0.15,0.16,0.15,0.15,0.01,7.14,"13,600",0.34,0.06,...,...,...,-27.01,Monday,Monday,2018/08/06
742905,643,Seanergy Maritime Holdings WT,SHIPW,0.14,0.14,0.14,0.14,-0.01,-6.00,"3,500",0.34,0.06,...,...,...,-31.39,Wednesday,Wednesday,2018/08/08
742906,649,Seanergy Maritime Holdings WT,SHIPW,0.14,0.15,0.14,0.15,...,2.84,"10,600",0.34,0.06,...,...,...,-29.44,Friday,Friday,2018/08/10
742907,660,Seanergy Maritime Holdings WT,SHIPW,0.13,0.13,0.13,0.13,-0.02,-10.34,"12,000",0.34,0.06,...,...,...,-36.74,Monday,Monday,2018/08/13
742908,660,Seanergy Maritime Holdings WT,SHIPW,0.13,0.13,0.13,0.13,-0.01,-3.85,"7,600",0.34,0.06,...,...,...,-39.17,Thursday,Thursday,2018/08/16
742909,637,Seanergy Maritime Holdings WT,SHIPW,0.12,0.12,0.12,0.12,-0.00,-3.92,"3,600",0.34,0.06,...,...,...,-41.56,Friday,Friday,2018/08/17
742910,656,Seanergy Maritime Holdings WT,SHIPW,0.13,0.13,0.13,0.13,0.01,6.58,"1,000",0.34,0.06,...,...,...,-37.71,Tuesday,Tuesday,2018/08/21
742911,659,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.11,0.11,-0.02,-14.14,"18,800",0.34,0.06,...,...,...,-46.52,Monday,Monday,2018/08/27
742912,653,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.11,0.11,...,0.18,513,0.34,0.06,...,...,...,-46.42,Tuesday,Tuesday,2018/09/04
742913,668,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.11,0.11,-0.00,-0.09,"4,200",0.34,0.06,...,...,...,-46.47,Friday,Friday,2018/09/14
742914,666,Seanergy Maritime Holdings WT,SHIPW,0.10,0.12,0.1,0.12,0.01,4.55,"10,000",0.34,0.06,...,...,...,-44.04,Wednesday,Wednesday,2018/09/19
742915,674,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.11,0.11,-0.01,-4.35,"10,100",0.34,0.06,...,...,...,-46.47,Thursday,Thursday,2018/09/20
742916,660,Seanergy Maritime Holdings WT,SHIPW,0.11,0.11,0.11,0.11,...,...,100,0.34,0.06,...,...,...,-46.47,Monday,Monday,2018/09/24
742917,673,Seanergy Maritime Holdings WT,SHIPW,0.09,0.09,0.09,0.09,-0.03,-22.73,"5,000",0.34,0.06,...,...,...,-58.64,Friday,Friday,2018/09/28
