,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
743866,1560,Steven Madden,SHOO,43.65,44.15,43.6,43.9,0.40,0.92,"368,173",49.27,35.55,0.80,1.82,21.41,-6.00,Thursday,Thursday,2018/03/29
743867,1539,Steven Madden,SHOO,45.95,46.65,45.3,46.55,0.25,0.54,"399,074",49.27,35.55,0.80,1.72,22.71,-0.32,Wednesday,Wednesday,2018/04/11
743868,1541,Steven Madden,SHOO,45.95,46.95,45.95,46.5,-0.05,-0.11,"376,919",49.27,35.55,0.80,1.72,22.68,-0.43,Thursday,Thursday,2018/04/12
743869,1547,Steven Madden,SHOO,46.85,47.41,46.35,46.8,0.15,0.32,"338,375",49.27,35.55,0.80,1.71,22.83,0.21,Tuesday,Tuesday,2018/04/17
743870,1551,Steven Madden,SHOO,47.4,47.9,47.3,47.4,0.60,1.28,"960,585",49.27,36.1,0.80,1.69,23.12,1.50,Wednesday,Wednesday,2018/04/18
743871,1551,Steven Madden,SHOO,47.2,47.45,45.83,46.45,-0.95,-2.00,"910,636",49.27,36.10,0.80,1.72,22.66,-0.54,Thursday,Thursday,2018/04/19
743872,1549,Steven Madden,SHOO,46.75,47.9,45.95,47.25,0.80,1.72,"1,080,596",49.27,36.10,0.80,1.69,23.05,1.18,Friday,Friday,2018/04/20
743873,1548,Steven Madden,SHOO,46.7,47.55,46.13,47.15,0.75,1.62,"907,583",49.27,36.1,0.80,1.70,21.43,0.96,Tuesday,Tuesday,2018/04/24
743874,1551,Steven Madden,SHOO,47.15,47.8,47.0,47.5,0.35,0.74,"487,376",49.27,36.1,0.80,1.68,21.59,1.71,Wednesday,Wednesday,2018/04/25
743875,1548,Steven Madden,SHOO,48.0,49.15,47.58,48.45,0.40,0.83,"490,798",49.27,36.10,0.80,1.65,22.02,3.75,Friday,Friday,2018/04/27
743876,1550,Steven Madden,SHOO,48.45,48.8,48.0,48.25,-0.20,-0.41,"438,413",49.27,36.1,0.80,1.66,21.93,3.32,Monday,Monday,2018/04/30
743877,1545,Steven Madden,SHOO,48.15,48.3,47.05,48.2,-0.05,-0.10,"353,105",49.27,36.1,0.80,1.66,21.91,3.21,Tuesday,Tuesday,2018/05/01
743878,1543,Steven Madden,SHOO,48.45,48.45,47.77,47.9,-0.80,-1.64,"259,099",49.27,36.10,0.80,1.67,21.77,2.57,Thursday,Thursday,2018/05/03
743879,1548,Steven Madden,SHOO,47.9,48.75,47.65,48.4,0.50,1.04,"374,401",49.27,36.10,0.80,1.65,22.00,3.64,Friday,Friday,2018/05/04
743880,1553,Steven Madden,SHOO,48.65,48.65,47.9,48.35,-0.05,-0.10,"253,500",49.27,36.1,0.80,1.65,21.98,3.53,Monday,Monday,2018/05/07
743881,1552,Steven Madden,SHOO,48.4,49.0,47.3,48.75,0.40,0.83,"573,866",49.27,36.10,0.80,1.64,22.16,4.39,Tuesday,Tuesday,2018/05/08
743882,1559,Steven Madden,SHOO,48.95,49.35,48.15,49.2,0.45,0.92,"325,067",49.35,36.10,0.80,1.63,22.36,5.35,Wednesday,Wednesday,2018/05/09
743883,1545,Steven Madden,SHOO,49.15,49.15,48.55,48.8,-0.40,-0.81,"203,390",49.35,36.1,0.80,1.64,22.18,4.50,Thursday,Thursday,2018/05/10
743884,1556,Steven Madden,SHOO,48.9,49.25,48.55,48.85,0.05,0.10,"204,194",49.35,36.1,0.80,1.64,22.20,4.60,Friday,Friday,2018/05/11
743885,1559,Steven Madden,SHOO,48.8,49.4,48.7,49.1,0.25,0.51,"232,962",49.4,36.1,0.80,1.63,22.32,5.14,Monday,Monday,2018/05/14
743886,1554,Steven Madden,SHOO,49.1,50.42,49.0,50.1,1.00,2.04,"408,683",50.42,36.1,0.80,1.60,22.77,7.28,Tuesday,Tuesday,2018/05/15
743887,1562,Steven Madden,SHOO,50.4,51.5,50.15,51.15,1.05,2.10,"466,707",51.5,36.1,0.80,1.56,23.25,9.53,Wednesday,Wednesday,2018/05/16
743888,1557,Steven Madden,SHOO,51.3,51.45,50.35,50.65,-0.50,-0.98,"496,325",51.50,36.10,0.80,1.58,23.02,8.46,Thursday,Thursday,2018/05/17
743889,1557,Steven Madden,SHOO,50.85,51.2,50.65,50.85,0.20,0.39,"387,080",51.5,36.1,0.80,1.57,23.11,8.89,Friday,Friday,2018/05/18
743890,1555,Steven Madden,SHOO,50.95,51.85,50.8,51.7,0.85,1.67,"334,629",51.85,36.70,0.80,1.55,23.50,10.71,Monday,Monday,2018/05/21
743891,1558,Steven Madden,SHOO,51.6,52.15,51.3,51.35,-0.35,-0.68,"203,757",52.15,37.15,0.80,1.56,23.34,9.96,Tuesday,Tuesday,2018/05/22
743892,1550,Steven Madden,SHOO,51.35,52.25,50.85,51.7,0.35,0.68,"220,561",52.25,37.15,0.80,1.55,23.50,10.71,Wednesday,Wednesday,2018/05/23
743893,1556,Steven Madden,SHOO,51.65,52.75,51.65,52.5,0.80,1.55,"358,367",52.75,37.25,0.80,1.52,23.86,12.42,Thursday,Thursday,2018/05/24
743894,1562,Steven Madden,SHOO,52.5,52.9,51.1,52.88,0.38,0.71,"211,467",52.90,37.25,0.80,1.51,24.03,13.22,Friday,Friday,2018/05/25
743895,1556,Steven Madden,SHOO,52.5,53.45,52.25,53.05,0.17,0.33,"331,804",53.45,37.25,0.80,1.51,24.11,13.60,Tuesday,Tuesday,2018/05/29
