,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
745393,666,Siebert Financial,SIEB,8.87,9.22,8.4,8.43,-0.44,-4.96,"35,859",21.61,3.27,...,...,...,-37.56,Thursday,Thursday,2018/03/29
745394,651,Siebert Financial,SIEB,7.9,7.99,7.71,7.88,0.15,1.94,"11,601",21.61,3.40,...,...,...,-41.63,Wednesday,Wednesday,2018/04/11
745395,644,Siebert Financial,SIEB,7.72,7.97,7.14,7.79,-0.09,-1.14,"41,399",21.61,3.4,...,...,...,-42.30,Thursday,Thursday,2018/04/12
745396,654,Siebert Financial,SIEB,7.8,8.1,7.65,8.1,0.35,4.52,"5,167",21.61,3.4,...,...,...,-40.00,Tuesday,Tuesday,2018/04/17
745397,663,Siebert Financial,SIEB,8.07,8.25,7.81,7.81,-0.29,-3.58,"15,469",21.61,3.40,...,...,78.41,-42.15,Wednesday,Wednesday,2018/04/18
745398,643,Siebert Financial,SIEB,7.86,8.12,7.76,8.0,0.19,2.43,"7,148",21.61,3.51,...,...,80.32,-40.74,Thursday,Thursday,2018/04/19
745399,648,Siebert Financial,SIEB,7.84,8.0,7.84,7.98,-0.02,-0.25,"1,535",21.61,3.51,...,...,80.12,-40.89,Friday,Friday,2018/04/20
745400,656,Siebert Financial,SIEB,7.92,8.29,7.92,8.23,0.03,0.37,"14,731",21.61,3.52,...,...,82.63,-39.04,Tuesday,Tuesday,2018/04/24
745401,646,Siebert Financial,SIEB,7.95,8.5,7.95,8.14,-0.09,-1.09,"11,926",21.61,3.52,...,...,81.73,-39.70,Wednesday,Wednesday,2018/04/25
745402,640,Siebert Financial,SIEB,8.34,8.5,8.1,8.5,0.22,2.66,"18,642",21.61,3.52,...,...,85.34,-37.04,Friday,Friday,2018/04/27
745403,666,Siebert Financial,SIEB,8.54,9.59,8.54,9.35,0.85,10.00,"24,537",21.61,3.52,...,...,93.88,-30.74,Monday,Monday,2018/04/30
