,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
745784,1496,SI Financial Group,SIFI,14.3,14.55,14.25,14.4,0.15,1.05,"10,848",16.45,13.75,0.24,1.67,32.73,-2.04,Thursday,Thursday,2018/03/29
745785,1475,SI Financial Group,SIFI,14.4,14.4,14.3,14.3,0.05,0.35,"2,443",16.45,13.75,0.24,1.68,32.50,-2.72,Wednesday,Wednesday,2018/04/11
745786,1477,SI Financial Group,SIFI,14.3,14.4,14.3,14.3,...,...,"6,042",16.45,13.75,0.24,1.68,32.50,-2.72,Thursday,Thursday,2018/04/12
745787,1483,SI Financial Group,SIFI,14.25,14.45,14.25,14.4,0.10,0.70,"6,730",16.45,13.75,0.24,1.67,32.73,-2.04,Tuesday,Tuesday,2018/04/17
745788,1488,SI Financial Group,SIFI,14.3,14.4,14.25,14.35,-0.05,-0.35,"5,704",16.45,13.75,0.24,1.67,30.53,-2.38,Wednesday,Wednesday,2018/04/18
745789,1488,SI Financial Group,SIFI,14.3,14.45,14.3,14.4,0.05,0.35,"7,490",16.45,13.75,0.24,1.67,30.64,-2.04,Thursday,Thursday,2018/04/19
745790,1486,SI Financial Group,SIFI,14.35,14.4,14.3,14.3,-0.10,-0.69,"14,819",16.45,13.75,0.24,1.68,30.43,-2.72,Friday,Friday,2018/04/20
745791,1485,SI Financial Group,SIFI,14.25,14.35,14.23,14.25,...,...,"9,823",16.45,13.75,0.24,1.68,30.32,-3.06,Tuesday,Tuesday,2018/04/24
745792,1489,SI Financial Group,SIFI,14.25,14.35,14.25,14.3,0.05,0.35,"7,136",16.45,13.75,0.24,1.68,30.43,-2.72,Wednesday,Wednesday,2018/04/25
745793,1486,SI Financial Group,SIFI,14.3,14.4,14.15,14.2,-0.15,-1.05,"35,492",16.45,13.75,0.24,1.69,30.21,-3.40,Friday,Friday,2018/04/27
