,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
748067,1676,SITE Centers,SITC,12.98,12.98,11.81,11.83,-0.16,-1.33,"666,868",18.26,11.81,...,...,...,-33.98,Friday,Friday,2018/10/12
748068,1676,SITE Centers,SITC,11.74,12.09,11.73,11.99,0.16,1.35,"2,235,812",18.25,6.63,...,...,...,33.82,Monday,Monday,2018/10/15
748069,1679,SITE Centers,SITC,12.04,12.34,11.85,12.3,0.31,2.59,"1,279,487",18.25,6.63,...,...,...,37.28,Tuesday,Tuesday,2018/10/16
748070,1677,SITE Centers,SITC,12.29,12.41,12.15,12.26,-0.04,-0.33,"1,162,523",18.25,6.63,...,...,...,36.83,Wednesday,Wednesday,2018/10/17
748071,1678,SITE Centers,SITC,12.29,12.35,12.14,12.18,-0.08,-0.65,"1,046,018",18.25,6.63,...,...,...,35.94,Thursday,Thursday,2018/10/18
748072,1672,SITE Centers,SITC,12.23,12.31,12.15,12.18,...,...,"839,312",18.25,6.63,...,...,...,35.94,Friday,Friday,2018/10/19
748073,1683,SITE Centers,SITC,12.25,12.38,12.01,12.02,-0.16,-1.31,"888,146",18.25,6.63,...,...,...,34.15,Monday,Monday,2018/10/22
748074,1676,SITE Centers,SITC,11.92,12.0,11.75,11.92,-0.10,-0.83,"1,189,095",18.25,6.63,...,...,...,33.04,Tuesday,Tuesday,2018/10/23
748075,1680,SITE Centers,SITC,11.93,11.97,11.64,11.67,-0.25,-2.10,"1,588,233",18.25,6.63,...,...,...,30.25,Wednesday,Wednesday,2018/10/24
748076,1678,SITE Centers,SITC,12.08,12.62,11.78,12.48,0.81,6.94,"3,890,549",18.25,6.63,...,...,...,39.29,Thursday,Thursday,2018/10/25
748077,1678,SITE Centers,SITC,12.41,12.47,11.94,12.03,-0.45,-3.61,"1,088,163",18.25,6.63,...,...,...,34.26,Friday,Friday,2018/10/26
748078,1675,SITE Centers,SITC,12.06,12.52,12.03,12.28,0.25,2.08,"762,069",18.25,6.63,...,...,...,37.05,Monday,Monday,2018/10/29
748079,1679,SITE Centers,SITC,12.24,12.77,12.18,12.53,0.25,2.04,"1,310,017",18.25,6.63,...,...,...,39.84,Tuesday,Tuesday,2018/10/30
748080,1686,SITE Centers,SITC,12.58,12.71,12.31,12.43,-0.10,-0.80,"981,064",18.25,6.63,...,...,...,38.73,Wednesday,Wednesday,2018/10/31
748081,1684,SITE Centers,SITC,12.49,12.49,12.12,12.23,-0.20,-1.61,"1,007,165",18.25,6.63,...,...,...,36.50,Thursday,Thursday,2018/11/01
748082,1680,SITE Centers,SITC,12.13,12.25,11.78,11.9,-0.33,-2.70,"1,238,278",18.25,6.63,...,...,...,32.81,Friday,Friday,2018/11/02
748083,1675,SITE Centers,SITC,11.92,12.19,11.92,12.03,0.13,1.09,"1,357,138",18.25,6.63,...,...,...,34.26,Monday,Monday,2018/11/05
748084,1683,SITE Centers,SITC,12.05,12.07,11.86,11.92,-0.11,-0.91,"1,517,877",18.25,6.63,...,...,...,33.04,Tuesday,Tuesday,2018/11/06
748085,1676,SITE Centers,SITC,12.06,12.06,11.91,12.02,0.10,0.84,"1,317,210",18.25,6.63,...,...,...,34.15,Wednesday,Wednesday,2018/11/07
748086,1674,SITE Centers,SITC,11.95,12.06,11.88,12.04,0.02,0.17,"1,169,504",18.25,6.63,...,...,...,34.38,Thursday,Thursday,2018/11/08
748087,1671,SITE Centers,SITC,12.00,12.09,11.96,12.01,-0.03,-0.25,"1,537,317",18.25,6.63,...,...,...,34.04,Friday,Friday,2018/11/09
748088,1676,SITE Centers,SITC,11.93,12.13,11.91,11.96,-0.05,-0.42,"1,538,189",18.25,6.63,...,...,...,33.48,Monday,Monday,2018/11/12
748089,1673,SITE Centers,SITC,12.00,12.04,11.83,11.96,...,...,"838,094",18.25,6.63,...,...,...,33.48,Tuesday,Tuesday,2018/11/13
748090,1673,SITE Centers,SITC,12.06,12.08,11.58,11.65,-0.31,-2.59,"835,348",18.25,6.63,...,...,...,30.02,Wednesday,Wednesday,2018/11/14
748091,1675,SITE Centers,SITC,11.54,11.59,11.13,11.26,-0.39,-3.35,"1,116,903",18.25,6.63,0.80,7.10,...,25.67,Thursday,Thursday,2018/11/15
748092,1674,SITE Centers,SITC,11.26,11.4,11.17,11.37,0.11,0.98,"838,811",18.25,6.63,0.80,7.04,...,26.90,Friday,Friday,2018/11/16
748093,1687,SITE Centers,SITC,11.25,11.52,11.21,11.29,-0.08,-0.70,"737,312",18.25,6.63,0.80,7.09,...,26.00,Monday,Monday,2018/11/19
