,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
749469,1663,Shaw Communications Cl B NV,SJR,19.24,19.32,19.04,19.26,0.03,0.16,"647,857",23.44,18.50,0.95,4.95,22.77,-15.64,Thursday,Thursday,2018/03/29
749470,1651,Shaw Communications Cl B NV,SJR,19.08,19.3,18.98,19.29,0.12,0.63,"773,786",23.44,18.50,0.95,4.95,22.80,-15.51,Wednesday,Wednesday,2018/04/11
749471,1655,Shaw Communications Cl B NV,SJR,20.12,21.17,20.11,20.97,1.76,9.15,"3,012,124",23.44,18.50,0.95,4.55,24.79,-8.15,Thursday,Thursday,2018/04/12
749472,1642,Shaw Communications Cl B NV,SJR,20.98,21.06,20.84,21.04,0.10,0.48,"615,188",23.44,18.50,0.93,4.41,59.23,-7.84,Tuesday,Tuesday,2018/04/17
749473,1650,Shaw Communications Cl B NV,SJR,21.05,21.23,20.96,21.07,0.03,0.14,"585,132",23.44,18.5,0.93,4.40,59.32,-7.71,Wednesday,Wednesday,2018/04/18
749474,1653,Shaw Communications Cl B NV,SJR,21.1,21.14,20.71,20.76,-0.31,-1.47,"653,042",23.44,18.50,0.93,4.47,58.45,-9.07,Thursday,Thursday,2018/04/19
749475,1646,Shaw Communications Cl B NV,SJR,20.72,20.93,20.64,20.88,0.12,0.58,"606,008",23.44,18.50,0.93,4.44,58.78,-8.54,Friday,Friday,2018/04/20
749476,1654,Shaw Communications Cl B NV,SJR,21.02,21.06,20.76,20.92,-0.08,-0.38,"634,235",23.44,18.50,0.93,4.43,58.90,-8.37,Tuesday,Tuesday,2018/04/24
749477,1654,Shaw Communications Cl B NV,SJR,20.9,20.92,20.71,20.85,-0.07,-0.33,"614,030",23.44,18.50,0.93,4.45,58.70,-8.67,Wednesday,Wednesday,2018/04/25
749478,1652,Shaw Communications Cl B NV,SJR,20.77,20.86,20.66,20.68,-0.11,-0.53,"466,536",23.44,18.50,0.93,4.48,58.22,-9.42,Friday,Friday,2018/04/27
749479,1652,Shaw Communications Cl B NV,SJR,20.69,20.75,20.56,20.57,-0.11,-0.53,"439,800",23.44,18.50,0.93,4.51,57.91,-9.90,Monday,Monday,2018/04/30
749480,1662,Shaw Communications Cl B NV,SJR,20.54,20.61,20.41,20.59,0.02,0.10,"382,892",23.44,18.50,0.93,4.50,57.97,-9.81,Tuesday,Tuesday,2018/05/01
749481,1654,Shaw Communications Cl B NV,SJR,20.18,20.18,19.97,20.03,-0.15,-0.74,"553,950",23.44,18.50,0.93,4.63,56.39,-12.26,Thursday,Thursday,2018/05/03
749482,1654,Shaw Communications Cl B NV,SJR,19.98,20.28,19.98,20.2,0.17,0.85,"404,489",23.44,18.50,0.93,4.59,56.87,-11.52,Friday,Friday,2018/05/04
749483,1660,Shaw Communications Cl B NV,SJR,20.18,20.27,20.0,20.19,-0.01,-0.05,"562,397",23.44,18.50,0.93,4.59,56.84,-11.56,Monday,Monday,2018/05/07
749484,1651,Shaw Communications Cl B NV,SJR,20.22,20.24,19.79,19.82,-0.37,-1.83,"491,758",23.44,18.5,0.93,4.68,55.80,-13.18,Tuesday,Tuesday,2018/05/08
