,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
751591,1633,Schlumberger,SLB,63.67,65.21,63.48,64.78,1.57,2.48,"7,083,809",80.89,61.02,2.00,3.09,...,-3.87,Thursday,Thursday,2018/03/29
751592,1621,Schlumberger,SLB,66.62,67.98,66.38,67.55,0.84,1.26,"7,376,877",80.89,61.02,2.00,2.96,...,0.24,Wednesday,Wednesday,2018/04/11
751593,1625,Schlumberger,SLB,67.68,68.04,67.21,67.56,0.01,0.01,"5,453,859",80.35,61.02,2.00,2.96,...,0.25,Thursday,Thursday,2018/04/12
751594,1612,Schlumberger,SLB,68.52,68.98,67.95,68.66,0.14,0.20,"5,735,169",80.35,61.02,2.00,2.91,...,1.88,Tuesday,Tuesday,2018/04/17
751595,1620,Schlumberger,SLB,69.62,71.0,69.55,70.34,1.68,2.45,"8,185,789",80.35,61.02,2.00,2.84,...,4.38,Wednesday,Wednesday,2018/04/18
751596,1623,Schlumberger,SLB,70.37,70.92,69.7,70.28,-0.06,-0.09,"6,967,080",80.35,61.02,2.00,2.85,...,4.29,Thursday,Thursday,2018/04/19
751597,1616,Schlumberger,SLB,70.81,71.25,68.63,69.23,-1.05,-1.49,"9,465,215",80.35,61.02,2.00,2.89,...,2.73,Friday,Friday,2018/04/20
751598,1624,Schlumberger,SLB,69.06,69.8,67.72,68.28,-0.63,-0.91,"7,214,123",80.35,61.02,2.00,2.93,...,1.32,Tuesday,Tuesday,2018/04/24
751599,1624,Schlumberger,SLB,67.98,69.27,67.88,69.1,0.82,1.20,"5,425,426",80.35,61.02,2.00,2.89,...,2.54,Wednesday,Wednesday,2018/04/25
751600,1622,Schlumberger,SLB,69.06,69.7,68.9,69.08,-0.39,-0.56,"4,466,164",80.35,61.02,2.00,2.90,...,2.51,Friday,Friday,2018/04/27
751601,1622,Schlumberger,SLB,69.0,69.38,68.43,68.56,-0.52,-0.75,"5,572,136",80.35,61.02,2.00,2.92,...,1.74,Monday,Monday,2018/04/30
751602,1632,Schlumberger,SLB,68.11,68.42,67.08,68.4,-0.16,-0.23,"5,398,302",80.35,61.02,2.00,2.92,...,1.50,Tuesday,Tuesday,2018/05/01
751603,1624,Schlumberger,SLB,68.49,68.58,66.89,67.72,-0.94,-1.37,"6,258,546",80.35,61.02,2.00,2.95,...,0.49,Thursday,Thursday,2018/05/03
751604,1624,Schlumberger,SLB,67.49,69.19,67.13,68.79,1.07,1.58,"5,247,192",80.35,61.02,2.00,2.91,...,2.08,Friday,Friday,2018/05/04
751605,1630,Schlumberger,SLB,69.24,70.85,69.08,69.21,0.42,0.61,"6,280,875",80.35,61.02,2.00,2.89,...,2.70,Monday,Monday,2018/05/07
751606,1621,Schlumberger,SLB,69.45,69.62,67.7,69.54,0.33,0.48,"5,623,007",80.35,61.02,2.00,2.88,...,3.19,Tuesday,Tuesday,2018/05/08
751607,1634,Schlumberger,SLB,70.51,71.78,70.42,70.88,1.34,1.93,"7,553,545",80.35,61.02,2.00,2.82,...,5.18,Wednesday,Wednesday,2018/05/09
751608,1630,Schlumberger,SLB,71.42,71.57,70.24,71.12,0.24,0.34,"5,228,790",80.35,61.02,2.00,2.81,...,5.53,Thursday,Thursday,2018/05/10
751609,1627,Schlumberger,SLB,71.33,71.53,70.87,71.08,-0.04,-0.06,"4,932,655",80.35,61.02,2.00,2.81,...,5.48,Friday,Friday,2018/05/11
751610,1629,Schlumberger,SLB,71.18,72.05,71.17,71.6,0.52,0.73,"4,567,701",80.35,61.02,2.00,2.79,...,6.25,Monday,Monday,2018/05/14
751611,1627,Schlumberger,SLB,71.5,71.75,70.91,71.6,...,...,"3,431,232",80.35,61.02,2.00,2.79,...,6.25,Tuesday,Tuesday,2018/05/15
751612,1630,Schlumberger,SLB,71.6,73.21,71.6,73.11,1.51,2.11,"6,580,976",80.35,61.02,2.00,2.74,...,8.49,Wednesday,Wednesday,2018/05/16
751613,1627,Schlumberger,SLB,73.5,75.43,73.48,74.43,1.32,1.81,"10,041,118",80.35,61.02,2.00,2.69,...,10.45,Thursday,Thursday,2018/05/17
751614,1626,Schlumberger,SLB,74.19,74.86,74.16,74.29,-0.14,-0.19,"5,239,698",80.35,61.02,2.00,2.69,...,10.24,Friday,Friday,2018/05/18
751615,1628,Schlumberger,SLB,74.77,75.06,73.96,75.03,0.74,1.00,"4,487,909",80.35,61.02,2.00,2.67,...,11.34,Monday,Monday,2018/05/21
751616,1626,Schlumberger,SLB,75.0,75.25,73.39,73.73,-1.30,-1.73,"5,584,586",80.35,61.02,2.00,2.71,...,9.41,Tuesday,Tuesday,2018/05/22
751617,1628,Schlumberger,SLB,73.0,73.47,72.35,73.45,-0.28,-0.38,"5,548,106",80.35,61.02,2.00,2.72,...,8.99,Wednesday,Wednesday,2018/05/23
751618,1632,Schlumberger,SLB,72.6,72.72,71.09,71.22,-2.23,-3.04,"8,008,054",80.35,61.02,2.00,2.81,...,5.68,Thursday,Thursday,2018/05/24
751619,1635,Schlumberger,SLB,69.8,69.9,68.03,68.6,-2.62,-3.68,"10,296,561",80.35,61.02,2.00,2.92,...,1.80,Friday,Friday,2018/05/25
751620,1632,Schlumberger,SLB,67.63,68.37,67.17,68.07,-0.53,-0.77,"8,203,202",80.35,61.02,2.00,2.94,...,1.01,Tuesday,Tuesday,2018/05/29
751621,1633,Schlumberger,SLB,68.72,69.83,68.45,69.48,1.41,2.07,"7,279,385",80.35,61.02,2.00,2.88,...,3.10,Wednesday,Wednesday,2018/05/30
751622,1631,Schlumberger,SLB,69.08,69.32,68.25,68.67,-0.81,-1.17,"7,794,965",80.35,61.02,2.00,2.91,...,1.90,Thursday,Thursday,2018/05/31
751623,1633,Schlumberger,SLB,68.64,69.08,68.37,68.96,0.29,0.42,"6,444,599",80.35,61.02,2.00,2.90,...,2.33,Friday,Friday,2018/06/01
751624,1624,Schlumberger,SLB,69.16,69.49,68.68,69.07,0.11,0.16,"8,004,884",80.35,61.02,2.00,2.90,...,2.49,Monday,Monday,2018/06/04
751625,1625,Schlumberger,SLB,68.49,68.86,67.9,68.46,-0.11,-0.16,"6,672,820",80.35,61.02,2.00,2.92,...,1.59,Tuesday,Tuesday,2018/06/05
751626,1632,Schlumberger,SLB,68.83,69.06,68.07,68.89,0.43,0.63,"6,137,762",80.35,61.02,2.00,2.90,...,2.23,Wednesday,Wednesday,2018/06/06
751627,1627,Schlumberger,SLB,69.37,70.29,69.13,69.6,0.71,1.03,"7,986,739",80.35,61.02,2.00,2.87,...,3.28,Thursday,Thursday,2018/06/07
751628,1621,Schlumberger,SLB,69.9,70.09,68.97,69.43,-0.17,-0.24,"4,822,828",80.35,61.02,2.00,2.88,...,3.03,Friday,Friday,2018/06/08
751629,1627,Schlumberger,SLB,69.48,70.44,69.11,69.87,0.44,0.63,"6,591,356",80.35,61.02,2.00,2.86,...,3.68,Monday,Monday,2018/06/11
751630,1623,Schlumberger,SLB,70.0,70.47,68.08,68.6,-1.27,-1.82,"9,171,578",80.35,61.02,2.00,2.92,...,1.80,Tuesday,Tuesday,2018/06/12
751631,1625,Schlumberger,SLB,67.76,68.75,67.43,67.97,-0.63,-0.92,"6,953,342",80.35,61.02,2.00,2.94,...,0.86,Wednesday,Wednesday,2018/06/13
751632,1625,Schlumberger,SLB,68.16,68.57,67.66,68.33,0.36,0.53,"6,398,571",80.35,61.02,2.00,2.93,...,1.39,Thursday,Thursday,2018/06/14
751633,1625,Schlumberger,SLB,67.92,67.98,66.54,66.83,-1.50,-2.20,"14,536,778",80.35,61.02,2.00,2.99,...,-0.83,Friday,Friday,2018/06/15
751634,1624,Schlumberger,SLB,66.26,67.3,66.2,67.04,0.21,0.31,"5,605,439",80.35,61.02,2.00,2.98,...,-0.52,Monday,Monday,2018/06/18
751635,1627,Schlumberger,SLB,66.01,66.15,65.2,65.7,-1.34,-2.00,"10,851,028",80.35,61.02,2.00,3.04,...,-2.51,Tuesday,Tuesday,2018/06/19
751636,1629,Schlumberger,SLB,65.94,66.07,65.28,65.55,-0.15,-0.23,"7,013,876",80.35,61.02,2.00,3.05,...,-2.73,Wednesday,Wednesday,2018/06/20
751637,1624,Schlumberger,SLB,65.42,65.58,64.51,64.79,-0.76,-1.16,"5,736,936",80.35,61.02,2.00,3.09,...,-3.86,Thursday,Thursday,2018/06/21
751638,1624,Schlumberger,SLB,67.13,67.95,66.4,66.58,1.79,2.76,"10,687,451",80.35,61.02,2.00,3.00,...,-1.20,Friday,Friday,2018/06/22
751639,1628,Schlumberger,SLB,66.29,66.36,64.9,65.43,-1.15,-1.73,"6,922,491",80.35,61.02,2.00,3.06,...,-2.91,Monday,Monday,2018/06/25
751640,1634,Schlumberger,SLB,65.4,66.3,65.04,66.02,0.59,0.90,"5,412,288",80.35,61.02,2.00,3.03,...,-2.03,Tuesday,Tuesday,2018/06/26
751641,1636,Schlumberger,SLB,66.74,67.69,66.46,66.81,0.79,1.20,"6,572,917",80.35,61.02,2.00,2.99,...,-0.86,Wednesday,Wednesday,2018/06/27
751642,1632,Schlumberger,SLB,67.11,67.23,66.27,67.01,0.20,0.30,"5,696,336",80.35,61.02,2.00,2.98,...,-0.56,Thursday,Thursday,2018/06/28
751643,1637,Schlumberger,SLB,67.02,67.85,67.01,67.03,0.02,0.03,"5,060,734",80.35,61.02,2.00,2.98,...,-0.53,Friday,Friday,2018/06/29
751644,1634,Schlumberger,SLB,66.45,66.72,65.01,65.21,-1.82,-2.72,"8,584,737",80.35,61.02,2.00,3.07,...,-3.23,Monday,Monday,2018/07/02
751645,1625,Schlumberger,SLB,66.24,66.3,65.23,65.84,0.63,0.97,"5,107,412",80.35,61.02,2.00,3.04,...,-2.30,Tuesday,Tuesday,2018/07/03
751646,1640,Schlumberger,SLB,66.38,66.95,65.94,66.43,0.59,0.90,"5,813,583",80.35,61.02,2.00,3.01,...,-1.42,Thursday,Thursday,2018/07/05
751647,1636,Schlumberger,SLB,65.96,67.25,65.73,67.03,0.60,0.90,"4,186,301",80.35,61.02,2.00,2.98,...,-0.53,Friday,Friday,2018/07/06
751648,1642,Schlumberger,SLB,67.50,68.62,67.5,68.34,1.31,1.95,"4,959,943",80.35,61.02,2.00,2.93,...,1.41,Monday,Monday,2018/07/09
751649,1633,Schlumberger,SLB,68.90,69.61,68.76,69.49,1.15,1.68,"5,586,154",80.35,61.02,2.00,2.88,...,3.12,Tuesday,Tuesday,2018/07/10
751650,1630,Schlumberger,SLB,68.63,69.28,68.1,68.34,-1.15,-1.65,"7,156,570",80.35,61.02,2.00,2.93,...,1.41,Wednesday,Wednesday,2018/07/11
751651,1637,Schlumberger,SLB,68.65,68.71,67.0,67.47,-0.87,-1.27,"6,093,304",80.35,61.02,2.00,2.96,...,0.12,Thursday,Thursday,2018/07/12
751652,1636,Schlumberger,SLB,67.75,68.34,67.41,68.08,0.61,0.90,"4,492,040",80.35,61.02,2.00,2.94,...,1.02,Friday,Friday,2018/07/13
751653,1628,Schlumberger,SLB,67.09,67.52,66.86,67.42,-0.66,-0.97,"4,491,186",80.35,61.02,2.00,2.97,...,0.04,Monday,Monday,2018/07/16
751654,1628,Schlumberger,SLB,67.09,67.2,66.36,66.74,-0.68,-1.01,"6,343,504",80.35,61.02,2.00,3.00,...,-0.96,Tuesday,Tuesday,2018/07/17
751655,1633,Schlumberger,SLB,66.4,67.45,65.89,67.06,0.32,0.48,"6,064,415",80.35,61.02,2.00,2.98,...,-0.49,Wednesday,Wednesday,2018/07/18
751656,1627,Schlumberger,SLB,66.6,67.55,66.5,66.92,-0.14,-0.21,"6,796,147",80.35,61.02,2.00,2.99,...,-0.70,Thursday,Thursday,2018/07/19
751657,1624,Schlumberger,SLB,68.34,68.43,66.03,66.09,-0.83,-1.24,"7,262,083",80.35,61.02,2.00,3.03,...,-1.93,Friday,Friday,2018/07/20
751658,1631,Schlumberger,SLB,65.97,66.6,65.47,65.74,-0.35,-0.53,"8,303,779",80.35,61.02,2.00,3.04,...,-2.45,Monday,Monday,2018/07/23
751659,1632,Schlumberger,SLB,66.01,66.41,65.39,65.52,-0.22,-0.33,"8,658,949",80.35,61.02,2.00,3.05,...,-2.77,Tuesday,Tuesday,2018/07/24
751660,1632,Schlumberger,SLB,65.6,65.86,64.73,65.78,0.26,0.40,"7,373,849",80.35,61.02,2.00,3.04,...,-2.39,Wednesday,Wednesday,2018/07/25
751661,1632,Schlumberger,SLB,66.22,67.02,65.52,66.86,1.08,1.64,"6,333,860",80.35,61.02,2.00,2.99,...,-0.79,Thursday,Thursday,2018/07/26
751662,1630,Schlumberger,SLB,66.33,67.4,66.33,67.04,0.18,0.27,"5,783,389",80.35,61.02,2.00,2.98,...,-0.52,Friday,Friday,2018/07/27
751663,1625,Schlumberger,SLB,67.51,68.3,67.31,67.58,0.54,0.81,"5,654,512",80.35,61.02,2.00,2.96,...,0.28,Monday,Monday,2018/07/30
751664,1632,Schlumberger,SLB,67.63,67.89,67.08,67.52,-0.06,-0.09,"5,734,701",80.35,61.02,2.00,2.96,...,0.19,Tuesday,Tuesday,2018/07/31
751665,1636,Schlumberger,SLB,67.0,67.16,66.01,66.66,-0.86,-1.27,"4,623,660",80.35,61.02,2.00,3.00,...,-1.08,Wednesday,Wednesday,2018/08/01
751666,1636,Schlumberger,SLB,66.04,66.42,65.63,65.94,-0.72,-1.08,"4,889,368",80.35,61.02,2.00,3.03,...,-2.15,Thursday,Thursday,2018/08/02
751667,1640,Schlumberger,SLB,65.84,66.65,65.64,65.89,-0.05,-0.08,"4,517,000",80.35,61.02,2.00,3.04,...,-2.23,Friday,Friday,2018/08/03
751668,1637,Schlumberger,SLB,65.97,66.13,65.55,65.74,-0.15,-0.23,"4,269,326",80.35,61.02,2.00,3.04,...,-2.45,Monday,Monday,2018/08/06
751669,1633,Schlumberger,SLB,66.42,67.31,65.72,66.68,0.94,1.43,"5,624,682",80.35,61.02,2.00,3.00,...,-1.05,Tuesday,Tuesday,2018/08/07
751670,1628,Schlumberger,SLB,66.23,66.63,65.98,66.41,-0.27,-0.40,"3,436,271",80.35,61.02,2.00,3.01,...,-1.45,Wednesday,Wednesday,2018/08/08
751671,1633,Schlumberger,SLB,66.57,66.67,65.12,65.4,-1.01,-1.52,"4,651,395",80.35,61.02,2.00,3.06,...,-2.95,Thursday,Thursday,2018/08/09
751672,1635,Schlumberger,SLB,65.36,66.1,64.88,66.04,0.64,0.98,"4,597,681",80.35,61.02,2.00,3.03,...,-2.00,Friday,Friday,2018/08/10
751673,1628,Schlumberger,SLB,65.95,66.04,64.7,64.97,-1.07,-1.62,"4,478,545",80.35,61.02,2.00,3.08,...,-3.59,Monday,Monday,2018/08/13
751674,1636,Schlumberger,SLB,65.28,65.74,64.78,64.8,-0.17,-0.26,"4,679,137",80.35,61.02,2.00,3.09,...,-3.84,Tuesday,Tuesday,2018/08/14
751675,1635,Schlumberger,SLB,64.32,64.36,61.82,62.29,-2.51,-3.87,"9,682,922",80.35,61.02,2.00,3.21,...,-7.57,Wednesday,Wednesday,2018/08/15
751676,1631,Schlumberger,SLB,62.61,63.08,62.4,62.49,0.20,0.32,"5,640,674",80.35,61.02,2.00,3.20,...,-7.27,Thursday,Thursday,2018/08/16
751677,1625,Schlumberger,SLB,62.47,63.02,62.06,62.83,0.34,0.54,"5,368,115",80.35,61.02,2.00,3.18,...,-6.77,Friday,Friday,2018/08/17
751678,1637,Schlumberger,SLB,63.06,63.66,62.74,63.5,0.67,1.07,"3,425,262",80.35,61.02,2.00,3.15,...,-5.77,Monday,Monday,2018/08/20
751679,1638,Schlumberger,SLB,64.26,65.22,64.14,64.76,1.26,1.98,"5,983,290",80.35,61.02,2.00,3.09,...,-3.90,Tuesday,Tuesday,2018/08/21
751680,1631,Schlumberger,SLB,65.29,65.61,64.91,65.09,0.33,0.51,"5,010,094",80.35,61.02,2.00,3.07,...,-3.41,Wednesday,Wednesday,2018/08/22
751681,1632,Schlumberger,SLB,64.77,64.97,64.27,64.65,-0.44,-0.68,"4,043,834",80.35,61.02,2.00,3.09,...,-4.07,Thursday,Thursday,2018/08/23
751682,1628,Schlumberger,SLB,64.98,65.36,64.98,65.25,0.60,0.93,"6,141,911",80.35,61.02,2.00,3.07,...,-3.18,Friday,Friday,2018/08/24
751683,1638,Schlumberger,SLB,65.36,65.57,64.61,64.85,-0.40,-0.61,"8,348,417",80.35,61.02,2.00,3.08,...,-3.77,Monday,Monday,2018/08/27
751684,1628,Schlumberger,SLB,64.94,65.52,64.03,64.07,-0.78,-1.20,"9,178,188",80.35,61.02,2.00,3.12,...,-4.93,Tuesday,Tuesday,2018/08/28
751685,1625,Schlumberger,SLB,64.23,64.64,63.91,64.49,0.42,0.66,"7,351,304",80.35,61.02,2.00,3.10,...,-4.30,Wednesday,Wednesday,2018/08/29
751686,1616,Schlumberger,SLB,64.6,65.08,64.06,64.34,-0.15,-0.23,"6,090,346",80.35,61.02,2.00,3.11,...,-4.53,Thursday,Thursday,2018/08/30
751687,1620,Schlumberger,SLB,64.07,64.14,62.97,63.16,-1.18,-1.83,"7,660,066",80.35,61.02,2.00,3.17,...,-6.28,Friday,Friday,2018/08/31
751688,1630,Schlumberger,SLB,63.06,63.14,61.74,61.92,-0.74,-1.18,"8,173,043",80.35,61.02,2.00,3.23,...,-8.12,Tuesday,Tuesday,2018/09/04
751689,1629,Schlumberger,SLB,61.47,61.55,60.19,61.02,-0.90,-1.45,"9,901,791",80.35,60.19,2.00,3.28,...,-9.45,Wednesday,Wednesday,2018/09/05
751690,1623,Schlumberger,SLB,60.8,60.96,59.8,60.21,-0.81,-1.33,"9,475,629",80.35,59.8,2.00,3.32,...,-10.65,Thursday,Thursday,2018/09/06
751691,1622,Schlumberger,SLB,59.79,60.19,59.25,59.7,-0.51,-0.85,"10,883,833",80.35,59.25,2.00,3.35,...,-11.41,Friday,Friday,2018/09/07
751692,1622,Schlumberger,SLB,60.0,60.78,59.96,59.98,0.28,0.47,"6,731,681",80.35,59.25,2.00,3.33,...,-11.00,Monday,Monday,2018/09/10
751693,1628,Schlumberger,SLB,60.08,60.8,59.43,60.32,0.34,0.57,"6,795,795",80.35,59.25,2.00,3.32,...,-10.49,Tuesday,Tuesday,2018/09/11
751694,1621,Schlumberger,SLB,60.7,61.6,60.7,60.82,0.50,0.83,"7,776,635",80.35,59.25,2.00,3.29,...,-9.75,Wednesday,Wednesday,2018/09/12
751695,1632,Schlumberger,SLB,60.71,61.31,60.43,61.02,0.20,0.33,"5,657,436",80.35,59.25,2.00,3.28,...,-9.45,Thursday,Thursday,2018/09/13
751696,1621,Schlumberger,SLB,61.00,61.56,60.76,61.23,0.21,0.34,"7,648,235",80.35,59.25,2.00,3.27,...,-9.14,Friday,Friday,2018/09/14
751697,1628,Schlumberger,SLB,61.59,61.67,60.68,60.97,-0.26,-0.42,"6,660,997",80.35,59.25,2.00,3.28,...,-9.53,Monday,Monday,2018/09/17
751698,1627,Schlumberger,SLB,61.62,61.97,60.95,60.99,0.02,0.03,"6,565,115",80.35,59.25,2.00,3.28,...,-9.50,Tuesday,Tuesday,2018/09/18
751699,1630,Schlumberger,SLB,60.83,61.71,60.51,61.23,0.24,0.39,"9,246,876",80.35,59.25,2.00,3.27,...,-9.14,Wednesday,Wednesday,2018/09/19
751700,1638,Schlumberger,SLB,61.95,62.27,61.56,61.57,0.34,0.56,"6,913,407",80.35,59.25,2.00,3.25,...,-8.64,Thursday,Thursday,2018/09/20
751701,1629,Schlumberger,SLB,61.75,61.84,61.13,61.13,-0.44,-0.71,"16,843,955",80.35,59.25,2.00,3.27,...,-9.29,Friday,Friday,2018/09/21
751702,1635,Schlumberger,SLB,61.82,62.08,61.41,61.6,0.47,0.77,"8,309,627",80.35,59.25,2.00,3.25,...,-8.59,Monday,Monday,2018/09/24
751703,1635,Schlumberger,SLB,62.20,62.88,62.07,62.53,0.93,1.51,"8,092,407",80.35,59.25,2.00,3.20,...,-7.21,Tuesday,Tuesday,2018/09/25
751704,1626,Schlumberger,SLB,61.91,62.17,60.8,60.88,-1.65,-2.64,"10,246,611",80.35,59.25,2.00,3.29,...,-9.66,Wednesday,Wednesday,2018/09/26
751705,1628,Schlumberger,SLB,61.14,61.69,60.4,61.17,0.29,0.48,"6,328,610",80.35,59.25,2.00,3.27,...,-9.23,Thursday,Thursday,2018/09/27
751706,1641,Schlumberger,SLB,61.03,61.71,60.86,60.92,-0.25,-0.41,"6,936,699",80.35,59.25,2.00,3.28,...,-9.60,Friday,Friday,2018/09/28
751707,1636,Schlumberger,SLB,61.20,62.37,60.88,61.59,0.67,1.10,"7,373,239",80.35,59.25,2.00,3.25,...,-8.61,Monday,Monday,2018/10/01
751708,1632,Schlumberger,SLB,61.30,62.09,60.87,61.89,0.30,0.49,"5,541,376",80.35,59.25,2.00,3.23,...,-8.16,Tuesday,Tuesday,2018/10/02
751709,1637,Schlumberger,SLB,62.15,62.91,61.59,62.62,0.73,1.18,"7,219,525",80.35,59.25,2.00,3.19,...,-7.08,Wednesday,Wednesday,2018/10/03
751710,1641,Schlumberger,SLB,62.69,63.29,62.3,62.85,0.23,0.37,"6,833,083",80.35,59.25,2.00,3.18,...,-6.74,Thursday,Thursday,2018/10/04
751711,1633,Schlumberger,SLB,62.75,63.36,62.44,63.0,0.15,0.24,"7,294,421",80.35,59.25,2.00,3.17,...,-6.51,Friday,Friday,2018/10/05
751712,1633,Schlumberger,SLB,62.22,63.08,62.09,62.94,-0.06,-0.10,"4,702,517",80.35,59.25,2.00,3.18,...,-6.60,Monday,Monday,2018/10/08
751713,1631,Schlumberger,SLB,63.19,63.65,62.3,63.11,0.17,0.27,"6,287,723",80.35,59.25,2.00,3.17,...,-6.35,Tuesday,Tuesday,2018/10/09
751714,1631,Schlumberger,SLB,62.78,63.04,60.67,60.82,-2.29,-3.63,"10,172,723",80.35,59.25,2.00,3.29,...,-9.75,Wednesday,Wednesday,2018/10/10
751715,1637,Schlumberger,SLB,60.32,60.58,58.65,59.12,-1.70,-2.80,"12,420,070",80.35,58.65,2.00,3.38,...,-12.27,Thursday,Thursday,2018/10/11
