,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
754514,1527,Southern Missouri Bancorp,SMBC,37.3,37.8,36.6,36.6,0.35,0.97,"11,189",40.80,30.30,0.44,1.20,16.79,-2.63,Thursday,Thursday,2018/03/29
754515,1506,Southern Missouri Bancorp,SMBC,36.0,36.7,35.09,35.61,-0.33,-0.92,"4,498",40.80,30.30,0.44,1.24,16.33,-5.27,Wednesday,Wednesday,2018/04/11
754516,1508,Southern Missouri Bancorp,SMBC,36.16,36.7,36.15,36.2,0.59,1.66,"2,233",40.8,30.3,0.44,1.22,16.61,-3.70,Thursday,Thursday,2018/04/12
754517,1514,Southern Missouri Bancorp,SMBC,36.6,37.8,36.6,37.23,0.63,1.72,"4,475",40.80,30.30,0.44,1.18,17.08,-0.96,Tuesday,Tuesday,2018/04/17
754518,1518,Southern Missouri Bancorp,SMBC,37.01,37.01,35.24,36.1,-1.13,-3.04,"10,717",40.8,30.3,0.44,1.22,16.56,-3.96,Wednesday,Wednesday,2018/04/18
754519,1518,Southern Missouri Bancorp,SMBC,36.01,36.76,35.28,36.69,0.59,1.63,"4,527",40.80,30.30,0.44,1.20,16.83,-2.39,Thursday,Thursday,2018/04/19
754520,1516,Southern Missouri Bancorp,SMBC,36.47,37.24,36.3,36.85,0.16,0.44,"10,835",40.80,30.30,0.44,1.19,16.90,-1.97,Friday,Friday,2018/04/20
754521,1516,Southern Missouri Bancorp,SMBC,36.45,36.45,35.1,35.71,-1.31,-3.54,"2,436",40.8,30.3,0.44,1.23,16.38,-5.00,Tuesday,Tuesday,2018/04/24
754522,1519,Southern Missouri Bancorp,SMBC,33.72,35.6,33.71,34.8,-0.91,-2.55,"6,777",40.8,30.3,0.44,1.26,15.47,-7.42,Wednesday,Wednesday,2018/04/25
754523,1516,Southern Missouri Bancorp,SMBC,35.51,36.8,34.3,34.89,-0.01,-0.03,"9,576",40.80,30.30,0.44,1.26,15.51,-7.18,Friday,Friday,2018/04/27
754524,1518,Southern Missouri Bancorp,SMBC,35.5,35.5,34.89,34.9,0.01,0.03,"4,754",40.8,30.3,0.44,1.26,15.51,-7.16,Monday,Monday,2018/04/30
754525,1513,Southern Missouri Bancorp,SMBC,34.96,34.96,34.51,34.79,-0.11,-0.32,"3,956",40.8,30.3,0.44,1.26,15.46,-7.45,Tuesday,Tuesday,2018/05/01
754526,1511,Southern Missouri Bancorp,SMBC,35.15,35.15,34.11,34.33,-0.82,-2.33,"8,356",40.80,30.30,0.44,1.28,15.26,-8.67,Thursday,Thursday,2018/05/03
754527,1515,Southern Missouri Bancorp,SMBC,34.3,34.87,34.23,34.4,0.07,0.20,"3,951",40.80,30.30,0.44,1.28,15.29,-8.49,Friday,Friday,2018/05/04
754528,1520,Southern Missouri Bancorp,SMBC,34.32,34.4,34.05,34.4,...,...,"4,003",40.8,30.3,0.44,1.28,15.29,-8.49,Monday,Monday,2018/05/07
754529,1518,Southern Missouri Bancorp,SMBC,34.64,34.96,34.64,34.93,0.53,1.54,"2,768",40.80,30.30,0.44,1.26,15.52,-7.08,Tuesday,Tuesday,2018/05/08
754530,1525,Southern Missouri Bancorp,SMBC,35.8,35.8,34.93,34.98,0.05,0.14,"9,458",40.80,30.30,0.44,1.26,15.55,-6.94,Wednesday,Wednesday,2018/05/09
754531,1511,Southern Missouri Bancorp,SMBC,35.04,35.05,34.49,34.57,-0.41,-1.17,"9,214",40.8,30.3,0.44,1.27,15.36,-8.03,Thursday,Thursday,2018/05/10
754532,1522,Southern Missouri Bancorp,SMBC,34.7,34.76,34.51,34.67,0.10,0.29,"7,052",40.8,30.3,0.44,1.27,15.41,-7.77,Friday,Friday,2018/05/11
754533,1525,Southern Missouri Bancorp,SMBC,34.73,34.8,34.27,34.33,-0.23,-0.67,"5,329",40.8,30.3,0.44,1.28,15.26,-8.67,Monday,Monday,2018/05/14
754534,1520,Southern Missouri Bancorp,SMBC,34.35,34.5,34.33,34.37,0.04,0.12,"3,624",40.8,30.3,0.44,1.28,15.28,-8.57,Tuesday,Tuesday,2018/05/15
754535,1528,Southern Missouri Bancorp,SMBC,34.06,34.96,34.06,34.5,0.13,0.38,"8,285",40.8,30.3,0.44,1.28,15.33,-8.22,Wednesday,Wednesday,2018/05/16
754536,1523,Southern Missouri Bancorp,SMBC,34.5,35.15,34.5,35.15,0.65,1.88,"2,666",40.80,30.30,0.44,1.25,15.62,-6.49,Thursday,Thursday,2018/05/17
754537,1523,Southern Missouri Bancorp,SMBC,35.4,35.4,35.0,35.14,-0.01,-0.03,"11,569",40.8,30.3,0.44,1.25,15.62,-6.52,Friday,Friday,2018/05/18
754538,1521,Southern Missouri Bancorp,SMBC,35.25,35.25,35.15,35.23,0.09,0.26,"9,336",40.80,30.30,0.44,1.25,15.66,-6.28,Monday,Monday,2018/05/21
754539,1524,Southern Missouri Bancorp,SMBC,35.4,35.51,35.24,35.3,0.07,0.20,"2,552",40.8,30.3,0.44,1.25,15.69,-6.09,Tuesday,Tuesday,2018/05/22
754540,1516,Southern Missouri Bancorp,SMBC,35.3,35.5,35.29,35.46,0.16,0.45,"49,677",40.80,30.30,0.44,1.24,15.76,-5.67,Wednesday,Wednesday,2018/05/23
754541,1522,Southern Missouri Bancorp,SMBC,35.46,35.79,35.34,35.5,0.04,0.11,"9,702",40.80,30.30,0.44,1.24,15.78,-5.56,Thursday,Thursday,2018/05/24
754542,1528,Southern Missouri Bancorp,SMBC,36.8,36.8,35.89,36.4,0.90,2.54,"4,993",40.80,30.30,0.44,1.21,16.18,-3.17,Friday,Friday,2018/05/25
