,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
765511,1523,Sonic,SONC,25.35,25.56,25.15,25.23,-0.01,-0.04,"931,359",30.05,22.11,0.64,2.54,14.50,-8.19,Thursday,Thursday,2018/03/29
765512,1502,Sonic,SONC,26.4,26.62,26.14,26.4,-0.05,-0.19,"559,357",30.05,22.11,0.64,2.42,15.17,-3.93,Wednesday,Wednesday,2018/04/11
765513,1504,Sonic,SONC,26.56,26.74,26.06,26.26,-0.14,-0.53,"582,343",30.05,22.11,0.64,2.44,15.09,-4.44,Thursday,Thursday,2018/04/12
765514,1510,Sonic,SONC,26.37,26.7,26.08,26.58,0.27,1.03,"836,142",30.05,22.11,0.64,2.41,15.28,-3.28,Tuesday,Tuesday,2018/04/17
765515,1514,Sonic,SONC,26.7,27.16,26.55,26.92,0.34,1.28,"776,564",30.05,22.11,0.64,2.38,15.47,-2.04,Wednesday,Wednesday,2018/04/18
765516,1514,Sonic,SONC,26.92,27.18,26.67,26.84,-0.08,-0.30,"760,247",30.05,22.11,0.64,2.38,15.43,-2.33,Thursday,Thursday,2018/04/19
765517,1512,Sonic,SONC,26.75,27.02,26.55,26.71,-0.13,-0.48,"736,050",30.05,22.11,0.64,2.40,15.35,-2.80,Friday,Friday,2018/04/20
765518,1512,Sonic,SONC,26.39,26.78,26.26,26.53,0.26,0.99,"794,222",30.05,22.11,0.64,2.41,15.25,-3.46,Tuesday,Tuesday,2018/04/24
765519,1515,Sonic,SONC,26.54,26.91,26.4,26.73,0.20,0.75,"364,532",30.05,22.11,0.64,2.39,15.36,-2.73,Wednesday,Wednesday,2018/04/25
765520,1512,Sonic,SONC,26.95,27.29,26.42,26.5,-0.39,-1.45,"871,509",30.05,22.11,0.64,2.42,15.23,-3.57,Friday,Friday,2018/04/27
765521,1514,Sonic,SONC,26.66,26.78,25.88,25.91,-0.59,-2.23,"846,346",30.05,22.11,0.64,2.47,14.89,-5.71,Monday,Monday,2018/04/30
765522,1509,Sonic,SONC,25.93,26.42,25.64,26.29,0.38,1.47,"576,263",30.05,22.11,0.64,2.43,15.11,-4.33,Tuesday,Tuesday,2018/05/01
765523,1507,Sonic,SONC,25.33,25.48,24.86,24.94,-0.47,-1.85,"699,550",30.05,22.11,0.64,2.57,14.33,-9.24,Thursday,Thursday,2018/05/03
765524,1511,Sonic,SONC,24.89,25.58,24.71,25.35,0.41,1.64,"690,819",30.05,22.11,0.64,2.52,14.57,-7.75,Friday,Friday,2018/05/04
765525,1516,Sonic,SONC,25.49,25.49,25.21,25.34,-0.01,-0.04,"586,111",30.05,22.11,0.64,2.53,14.56,-7.79,Monday,Monday,2018/05/07
765526,1514,Sonic,SONC,25.15,25.34,24.38,25.27,0.09,0.36,"563,079",30.05,22.11,0.64,2.53,14.52,-8.04,Tuesday,Tuesday,2018/05/08
765527,1521,Sonic,SONC,25.19,25.26,24.64,24.94,-0.33,-1.31,"618,403",30.05,22.11,0.64,2.57,14.33,-9.24,Wednesday,Wednesday,2018/05/09
