,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
774560,687,Sorrento Therapeutics,SRNE,4.75,5.25,4.38,5.15,0.55,11.96,"5,645,324",10.65,1.50,...,...,...,35.53,Thursday,Thursday,2018/03/29
774561,673,Sorrento Therapeutics,SRNE,6.1,6.45,5.96,6.05,-0.15,-2.42,"3,053,138",10.65,1.50,...,...,...,59.21,Wednesday,Wednesday,2018/04/11
774562,666,Sorrento Therapeutics,SRNE,6.05,6.35,6.0,6.3,0.25,4.13,"2,104,064",10.65,1.5,...,...,...,65.79,Thursday,Thursday,2018/04/12
774563,675,Sorrento Therapeutics,SRNE,6.45,6.7,6.1,6.4,-0.10,-1.54,"2,552,138",10.65,1.5,...,...,...,68.42,Tuesday,Tuesday,2018/04/17
774564,683,Sorrento Therapeutics,SRNE,6.4,6.7,6.3,6.5,0.10,1.56,"1,923,501",10.65,1.50,...,...,...,71.05,Wednesday,Wednesday,2018/04/18
774565,661,Sorrento Therapeutics,SRNE,6.45,6.55,6.15,6.2,-0.30,-4.62,"2,105,903",10.65,1.5,...,...,...,63.16,Thursday,Thursday,2018/04/19
774566,668,Sorrento Therapeutics,SRNE,6.25,6.6,6.16,6.3,0.10,1.61,"2,062,030",10.65,1.50,...,...,...,65.79,Friday,Friday,2018/04/20
774567,677,Sorrento Therapeutics,SRNE,6.1,6.2,5.8,6.05,-0.05,-0.82,"2,513,597",10.65,1.5,...,...,...,59.21,Tuesday,Tuesday,2018/04/24
774568,667,Sorrento Therapeutics,SRNE,6.15,6.25,5.83,6.1,0.05,0.83,"1,573,060",10.65,1.50,...,...,...,60.53,Wednesday,Wednesday,2018/04/25
774569,661,Sorrento Therapeutics,SRNE,6.3,6.33,6.05,6.3,0.05,0.80,"1,226,612",10.65,1.5,...,...,...,65.79,Friday,Friday,2018/04/27
774570,686,Sorrento Therapeutics,SRNE,6.3,6.3,5.95,6.15,-0.15,-2.38,"1,512,592",10.65,1.5,...,...,...,61.84,Monday,Monday,2018/04/30
774571,653,Sorrento Therapeutics,SRNE,6.1,6.5,6.05,6.33,0.18,2.85,"1,859,207",10.65,1.50,...,...,...,66.45,Tuesday,Tuesday,2018/05/01
774572,673,Sorrento Therapeutics,SRNE,6.4,6.55,6.25,6.35,-0.10,-1.55,"1,143,071",10.65,1.50,...,...,...,67.11,Thursday,Thursday,2018/05/03
774573,668,Sorrento Therapeutics,SRNE,6.35,6.55,6.3,6.45,0.10,1.57,"1,628,656",10.65,1.50,...,...,...,69.74,Friday,Friday,2018/05/04
774574,703,Sorrento Therapeutics,SRNE,6.45,7.38,6.4,7.15,0.70,10.85,"2,724,640",10.65,1.50,...,...,...,88.16,Monday,Monday,2018/05/07
774575,669,Sorrento Therapeutics,SRNE,7.2,7.2,6.75,6.95,-0.20,-2.80,"1,559,875",10.65,1.5,...,...,...,82.89,Tuesday,Tuesday,2018/05/08
774576,691,Sorrento Therapeutics,SRNE,6.9,7.7,6.9,7.55,0.60,8.63,"1,953,403",10.65,1.5,...,...,...,98.68,Wednesday,Wednesday,2018/05/09
