,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
781029,1733,Steris,STE,91.62,93.75,91.4,93.36,2.16,2.37,"510,715",96.43,68.59,1.24,1.33,...,6.73,Thursday,Thursday,2018/03/29
781030,1721,Steris,STE,93.6,93.97,93.08,93.75,-0.50,-0.53,"228,378",96.43,69.12,1.24,1.32,...,7.18,Wednesday,Wednesday,2018/04/11
781031,1725,Steris,STE,94.19,94.92,93.87,94.39,0.64,0.68,"263,856",96.43,69.12,1.24,1.31,...,7.91,Thursday,Thursday,2018/04/12
781032,1712,Steris,STE,96.15,97.47,95.66,96.96,1.07,1.12,"197,254",97.47,69.33,1.24,1.28,...,10.85,Tuesday,Tuesday,2018/04/17
781033,1721,Steris,STE,97.45,97.45,96.66,96.86,-0.10,-0.10,"282,681",97.47,70.02,1.24,1.28,...,10.74,Wednesday,Wednesday,2018/04/18
781034,1724,Steris,STE,96.9,96.9,95.73,96.22,-0.64,-0.66,"307,464",97.47,70.29,1.24,1.29,...,10.00,Thursday,Thursday,2018/04/19
781035,1717,Steris,STE,96.17,96.91,95.78,96.04,-0.18,-0.19,"227,881",97.47,70.29,1.24,1.29,...,9.80,Friday,Friday,2018/04/20
781036,1725,Steris,STE,96.92,97.09,94.46,95.27,-1.16,-1.20,"304,037",97.47,71.50,1.24,1.30,...,8.92,Tuesday,Tuesday,2018/04/24
781037,1725,Steris,STE,94.93,95.34,94.03,95.1,-0.17,-0.18,"506,869",97.47,72.48,1.24,1.30,...,8.72,Wednesday,Wednesday,2018/04/25
781038,1724,Steris,STE,96.41,96.52,95.08,95.41,-0.52,-0.54,"299,316",97.47,73.19,1.24,1.30,...,9.08,Friday,Friday,2018/04/27
781039,1724,Steris,STE,95.56,96.0,94.51,94.52,-0.89,-0.93,"269,687",97.47,73.50,1.24,1.31,...,8.06,Monday,Monday,2018/04/30
781040,1734,Steris,STE,94.18,95.4,94.1,95.1,0.58,0.61,"246,773",97.47,73.66,1.24,1.30,...,8.72,Tuesday,Tuesday,2018/05/01
781041,1725,Steris,STE,94.41,95.21,93.5,94.44,-0.46,-0.48,"309,744",97.47,73.85,1.24,1.31,...,7.97,Thursday,Thursday,2018/05/03
781042,1726,Steris,STE,94.32,96.9,93.83,96.56,2.12,2.24,"376,214",97.47,73.85,1.24,1.28,...,10.39,Friday,Friday,2018/05/04
781043,1732,Steris,STE,96.45,97.42,96.25,97.04,0.48,0.50,"452,101",97.47,73.85,1.24,1.28,...,10.94,Monday,Monday,2018/05/07
781044,1722,Steris,STE,97.04,98.56,96.61,98.1,1.06,1.09,"775,839",98.56,73.85,1.24,1.26,...,12.15,Tuesday,Tuesday,2018/05/08
781045,1736,Steris,STE,97.5,101.94,96.95,101.02,2.92,2.98,"783,493",101.94,73.85,1.24,1.23,...,15.49,Wednesday,Wednesday,2018/05/09
781046,1732,Steris,STE,101.2,103.32,101.01,102.67,1.65,1.63,"750,910",103.32,73.85,1.24,1.21,...,17.38,Thursday,Thursday,2018/05/10
781047,1728,Steris,STE,102.65,104.09,102.11,103.7,1.03,1.00,"402,954",104.09,73.85,1.24,1.20,...,18.55,Friday,Friday,2018/05/11
781048,1731,Steris,STE,104.0,104.31,102.4,102.6,-1.10,-1.06,"548,898",104.31,73.85,1.24,1.21,...,17.30,Monday,Monday,2018/05/14
781049,1729,Steris,STE,102.12,102.3,100.8,101.24,-1.36,-1.33,"546,523",104.31,73.85,1.24,1.22,...,15.74,Tuesday,Tuesday,2018/05/15
781050,1732,Steris,STE,101.38,103.25,101.28,102.92,1.68,1.66,"583,753",104.31,73.85,1.24,1.20,...,17.66,Wednesday,Wednesday,2018/05/16
781051,1729,Steris,STE,103.02,103.67,102.46,103.27,0.35,0.34,"358,451",104.31,73.85,1.24,1.20,...,18.06,Thursday,Thursday,2018/05/17
781052,1727,Steris,STE,103.14,103.81,103.11,103.46,0.19,0.18,"342,156",104.31,74.94,1.24,1.20,...,18.28,Friday,Friday,2018/05/18
781053,1731,Steris,STE,104.15,105.09,103.52,104.66,1.20,1.16,"410,342",105.09,75.65,1.24,1.18,...,19.65,Monday,Monday,2018/05/21
781054,1729,Steris,STE,104.83,105.0,103.78,104.08,-0.58,-0.55,"239,676",105.09,75.88,1.24,1.19,...,18.99,Tuesday,Tuesday,2018/05/22
781055,1732,Steris,STE,103.53,104.88,103.53,104.68,0.60,0.58,"225,145",105.09,76.06,1.24,1.18,...,19.68,Wednesday,Wednesday,2018/05/23
781056,1736,Steris,STE,104.78,105.38,104.12,104.49,-0.19,-0.18,"293,937",105.38,76.47,1.24,1.19,...,19.46,Thursday,Thursday,2018/05/24
781057,1739,Steris,STE,104.21,105.39,103.17,103.69,-0.80,-0.77,"245,367",105.39,76.47,1.24,1.20,...,18.54,Friday,Friday,2018/05/25
781058,1735,Steris,STE,102.97,104.16,102.53,103.97,0.28,0.27,"337,317",105.39,76.47,1.24,1.19,30.58,18.86,Tuesday,Tuesday,2018/05/29
781059,1735,Steris,STE,104.34,105.47,104.34,104.57,0.60,0.58,"301,983",105.47,77.20,1.24,1.19,30.76,19.55,Wednesday,Wednesday,2018/05/30
781060,1735,Steris,STE,104.54,104.93,103.83,103.84,-0.73,-0.70,"315,873",105.47,77.78,1.24,1.19,30.54,18.71,Thursday,Thursday,2018/05/31
781061,1736,Steris,STE,104.75,105.32,104.08,104.57,0.73,0.70,"311,037",105.47,78.65,1.24,1.19,30.76,19.55,Friday,Friday,2018/06/01
781062,1728,Steris,STE,104.92,105.36,104.37,105.13,0.56,0.54,"328,460",105.47,78.65,1.24,1.18,30.92,20.19,Monday,Monday,2018/06/04
781063,1729,Steris,STE,105.21,105.85,104.58,105.62,0.49,0.47,"303,217",105.85,78.65,1.24,1.17,31.06,20.75,Tuesday,Tuesday,2018/06/05
